model,class,pca_dim,operator_matrix_norm,operator_bias_norm,mean_delta_norm
bert-base-uncased,negation,32,1.4099144036042086,2.78990287070526,3.7547216415405273
bert-base-uncased,question,32,1.3307147689969123,4.156357953307827,4.795387268066406
bert-base-uncased,past_to_future,32,1.3883024814567964,3.2335874621584533,4.068603992462158
bert-base-uncased,certainty_to_uncertainty,32,1.3597589483369092,3.471916166774412,4.104166507720947
bert-base-uncased,active_to_passive,32,1.4193567980683648,2.403167433097289,3.438991069793701
bert-base-uncased,formalization,32,1.1177684822661742,2.622778402839045,3.3120598793029785
roberta-base,negation,32,1.2103496047724485,1.1397543441736313,1.3426274061203003
roberta-base,question,32,1.0613073360177137,1.4676316762380708,1.6065658330917358
roberta-base,past_to_future,32,1.1077065824826553,1.1335899313186495,1.3166329860687256
roberta-base,certainty_to_uncertainty,32,1.5906746135818,1.2945733728329558,1.466728925704956
roberta-base,active_to_passive,32,0.7178912507375966,1.1568245389726513,1.2413692474365234
roberta-base,formalization,32,0.4770239314439513,0.9512350938820238,1.0409374237060547
distilroberta-base,negation,32,0.8031009612594706,1.1989762249507707,1.2947499752044678
distilroberta-base,question,32,0.642366522151177,1.5223360085430218,1.5924619436264038
distilroberta-base,past_to_future,32,0.57972535482611,1.022789133161694,1.084834337234497
distilroberta-base,certainty_to_uncertainty,32,0.5256521681515798,1.2380936709629253,1.2663564682006836
distilroberta-base,active_to_passive,32,0.6230627409297957,1.1332403076467295,1.1978609561920166
distilroberta-base,formalization,32,0.5266475080278534,0.8763395356002972,1.014085054397583
distilgpt2,negation,32,1.9358903094491946,7.8900743931945545,10.61429214477539
distilgpt2,question,32,1.8985248165602688,5.066355357208259,7.309988975524902
distilgpt2,past_to_future,32,1.4304335886438955,7.969867244748727,9.531695365905762
distilgpt2,certainty_to_uncertainty,32,2.1217960830956173,8.438482169230397,8.325250625610352
distilgpt2,active_to_passive,32,3.5799112827240624,5.700659992267086,10.6762113571167
distilgpt2,formalization,32,2.6142731997023083,6.937332272843207,15.52464485168457
gpt2,negation,32,3.4183935515051,17.07648100793922,27.483060836791992
gpt2,question,32,3.3196514278723384,13.726930569803883,22.47894859313965
gpt2,past_to_future,32,3.6288881346271435,11.56667814236567,24.67452049255371
gpt2,certainty_to_uncertainty,32,2.3960114214930672,7.643045784276023,10.523855209350586
gpt2,active_to_passive,32,5.402287075078016,9.861691227520145,16.36284828186035
gpt2,formalization,32,5.384203048390642,18.717322604631256,34.625404357910156
