model,delta_mean,delta_std,y_only_mean,y_only_std,concat_mean,concat_std,x_only_mean,diff_delta_y,diff_delta_concat,max_mcnemar_p,all_mcnemar_sig_0_001
bert-base-uncased,0.9075,0.0117408356696711,0.8632083333333334,0.0166846257408163,0.896875,0.0185451775702232,0.1666666666666666,0.04429166666666662,0.010624999999999996,1.2432241902615715e-09,True
distilgpt2,0.8572083333333333,0.0124561731683531,0.7265416666666666,0.0094253278752283,0.760375,0.0107017246143891,0.1666666666666666,0.1306666666666667,0.09683333333333333,0.0,True
distilroberta-base,0.8810416666666667,0.0053012544374997,0.8306250000000001,0.0055882285754173,0.8416666666666668,0.0059965991519267,0.1666666666666666,0.050416666666666665,0.03937499999999994,0.0,True
gpt2,0.8332499999999999,0.0075628156499782,0.749625,0.0151542989866828,0.7765416666666667,0.0093432332168497,0.1666666666666666,0.08362499999999995,0.05670833333333325,0.0,True
roberta-base,0.8817083333333333,0.0089842164841088,0.8390833333333333,0.0071589105316381,0.8665833333333334,0.0089141351546605,0.1666666666666666,0.042625000000000024,0.015124999999999944,1.1102230246251563e-16,True
