seed,model,classifier,delta_acc,y_only_acc,diff,mcnemar_stat,mcnemar_p
42,bert-base-uncased,linear_svc,0.89375,0.86625,0.02750000000000008,67.03515625,2.220446049250313e-16
42,roberta-base,linear_svc,0.880625,0.8377083333333334,0.0429166666666666,123.6029411764706,0.0
42,distilroberta-base,linear_svc,0.8725,0.8260416666666667,0.04645833333333338,92.46529080675423,0.0
42,gpt2,linear_svc,0.824375,0.7352083333333334,0.08916666666666662,207.19204545454545,0.0
42,distilgpt2,linear_svc,0.835,0.7314583333333333,0.10354166666666664,259.23709167544786,0.0
43,bert-base-uncased,linear_svc,0.9189583333333333,0.8754166666666666,0.0435416666666667,145.67003367003366,0.0
43,roberta-base,linear_svc,0.8858333333333334,0.8383333333333334,0.04749999999999999,112.50873362445415,0.0
43,distilroberta-base,linear_svc,0.8833333333333333,0.831875,0.05145833333333327,116.60115606936417,0.0
43,gpt2,linear_svc,0.8270833333333333,0.7604166666666666,0.06666666666666665,128.48611111111111,0.0
43,distilgpt2,linear_svc,0.8639583333333334,0.7360416666666667,0.12791666666666668,366.9619140625,0.0
44,bert-base-uncased,linear_svc,0.901875,0.8527083333333333,0.04916666666666669,162.4264705882353,0.0
44,roberta-base,linear_svc,0.89375,0.8389583333333334,0.05479166666666668,150.20568927789935,0.0
44,distilroberta-base,linear_svc,0.879375,0.8308333333333333,0.048541666666666705,115.25481798715204,0.0
44,gpt2,linear_svc,0.8335416666666666,0.7383333333333333,0.09520833333333334,233.37373737373738,0.0
44,distilgpt2,linear_svc,0.8633333333333333,0.726875,0.13645833333333324,423.06231454005933,0.0
45,bert-base-uncased,linear_svc,0.920625,0.8404166666666667,0.08020833333333333,345.3302107728337,0.0
45,roberta-base,linear_svc,0.869375,0.8302083333333333,0.03916666666666668,96.06868131868131,0.0
45,distilroberta-base,linear_svc,0.8852083333333334,0.8252083333333333,0.06000000000000005,144.50701754385966,0.0
45,gpt2,linear_svc,0.839375,0.7704166666666666,0.06895833333333334,157.14285714285714,0.0
45,distilgpt2,linear_svc,0.86125,0.7272916666666667,0.1339583333333333,407.67952522255194,0.0
46,bert-base-uncased,linear_svc,0.9022916666666667,0.88125,0.021041666666666736,36.90036900369004,1.2432241902615715e-09
46,roberta-base,linear_svc,0.8789583333333333,0.8502083333333333,0.028749999999999942,68.5,1.1102230246251565e-16
46,distilroberta-base,linear_svc,0.8847916666666666,0.8391666666666666,0.04562500000000003,110.2645011600928,0.0
46,gpt2,linear_svc,0.841875,0.74375,0.09812500000000002,272.3797780517879,0.0
46,distilgpt2,linear_svc,0.8625,0.7110416666666667,0.15145833333333336,490.3032558139535,0.0
