model,classifier,representation,mean,std,count
bert-base-uncased,linear_svc,concat,0.896875,0.018545177570223247,5
bert-base-uncased,linear_svc,delta,0.9075,0.011740835669671127,5
bert-base-uncased,linear_svc,x_only,0.16666666666666666,0.0,5
bert-base-uncased,linear_svc,y_only,0.8632083333333334,0.016684625740816326,5
bert-base-uncased,logreg,concat,0.8703749999999999,0.005908004222145519,5
bert-base-uncased,logreg,delta,0.8943749999999999,0.00657653921569356,5
bert-base-uncased,logreg,x_only,0.16666666666666666,0.0,5
bert-base-uncased,logreg,y_only,0.8499583333333334,0.007669383576562349,5
distilgpt2,linear_svc,concat,0.760375,0.01070172461438912,5
distilgpt2,linear_svc,delta,0.8572083333333333,0.012456173168353138,5
distilgpt2,linear_svc,x_only,0.16666666666666666,0.0,5
distilgpt2,linear_svc,y_only,0.7265416666666666,0.009425327875228318,5
distilgpt2,logreg,concat,0.7329583333333334,0.002510395055232016,5
distilgpt2,logreg,delta,0.771375,0.0019960899278339186,5
distilgpt2,logreg,x_only,0.16666666666666666,0.0,5
distilgpt2,logreg,y_only,0.7064583333333333,0.0028221285800300185,5
distilroberta-base,linear_svc,concat,0.8416666666666668,0.00599659915192678,5
distilroberta-base,linear_svc,delta,0.8810416666666667,0.005301254437499759,5
distilroberta-base,linear_svc,x_only,0.16666666666666666,0.0,5
distilroberta-base,linear_svc,y_only,0.8306250000000001,0.005588228575417352,5
distilroberta-base,logreg,concat,0.8258333333333333,0.0016989069198229372,5
distilroberta-base,logreg,delta,0.8644999999999999,0.0060391517754289385,5
distilroberta-base,logreg,x_only,0.16666666666666666,0.0,5
distilroberta-base,logreg,y_only,0.8169166666666667,0.003324859019567614,5
gpt2,linear_svc,concat,0.7765416666666667,0.009343233216849722,5
gpt2,linear_svc,delta,0.8332499999999999,0.00756281564997827,5
gpt2,linear_svc,x_only,0.16666666666666666,0.0,5
gpt2,linear_svc,y_only,0.749625,0.015154298986682876,5
gpt2,logreg,concat,0.767375,0.005687538156160177,5
gpt2,logreg,delta,0.7466250000000001,0.004753927469880993,5
gpt2,logreg,x_only,0.16666666666666666,0.0,5
gpt2,logreg,y_only,0.757625,0.005449818422051638,5
roberta-base,linear_svc,concat,0.8665833333333334,0.008914135154660541,5
roberta-base,linear_svc,delta,0.8817083333333333,0.008984216484108876,5
roberta-base,linear_svc,x_only,0.16666666666666666,0.0,5
roberta-base,linear_svc,y_only,0.8390833333333333,0.007158910531638195,5
roberta-base,logreg,concat,0.8181666666666667,0.01156522115126978,5
roberta-base,logreg,delta,0.8002083333333333,0.0026962873136551434,5
roberta-base,logreg,x_only,0.16666666666666666,0.0,5
roberta-base,logreg,y_only,0.8075833333333333,0.014107259015997582,5
