seed,model,representation,classifier,accuracy,random_baseline,n_train,n_test
43,bert-base-uncased,y_only,logreg,0.858125,0.16666666666666666,2400,4800
43,bert-base-uncased,y_only,linear_svc,0.8754166666666666,0.16666666666666666,2400,4800
43,bert-base-uncased,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
43,bert-base-uncased,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
43,bert-base-uncased,concat,logreg,0.87875,0.16666666666666666,2400,4800
43,bert-base-uncased,concat,linear_svc,0.9283333333333333,0.16666666666666666,2400,4800
43,roberta-base,delta,logreg,0.796875,0.16666666666666666,2400,4800
43,roberta-base,delta,linear_svc,0.8858333333333334,0.16666666666666666,2400,4800
43,roberta-base,y_only,logreg,0.8166666666666667,0.16666666666666666,2400,4800
43,roberta-base,y_only,linear_svc,0.8383333333333334,0.16666666666666666,2400,4800
43,roberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
43,roberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
43,roberta-base,concat,logreg,0.82375,0.16666666666666666,2400,4800
43,roberta-base,concat,linear_svc,0.8525,0.16666666666666666,2400,4800
43,distilroberta-base,delta,logreg,0.8670833333333333,0.16666666666666666,2400,4800
43,distilroberta-base,delta,linear_svc,0.8833333333333333,0.16666666666666666,2400,4800
43,distilroberta-base,y_only,logreg,0.8197916666666667,0.16666666666666666,2400,4800
43,distilroberta-base,y_only,linear_svc,0.831875,0.16666666666666666,2400,4800
43,distilroberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
43,distilroberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
43,distilroberta-base,concat,logreg,0.8277083333333334,0.16666666666666666,2400,4800
43,distilroberta-base,concat,linear_svc,0.8345833333333333,0.16666666666666666,2400,4800
43,gpt2,delta,logreg,0.75,0.16666666666666666,2400,4800
43,gpt2,delta,linear_svc,0.8270833333333333,0.16666666666666666,2400,4800
43,gpt2,y_only,logreg,0.765625,0.16666666666666666,2400,4800
43,gpt2,y_only,linear_svc,0.7604166666666666,0.16666666666666666,2400,4800
43,gpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
43,gpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
43,gpt2,concat,logreg,0.7754166666666666,0.16666666666666666,2400,4800
43,gpt2,concat,linear_svc,0.7739583333333333,0.16666666666666666,2400,4800
43,distilgpt2,delta,logreg,0.774375,0.16666666666666666,2400,4800
43,distilgpt2,delta,linear_svc,0.8639583333333334,0.16666666666666666,2400,4800
43,distilgpt2,y_only,logreg,0.7102083333333333,0.16666666666666666,2400,4800
43,distilgpt2,y_only,linear_svc,0.7360416666666667,0.16666666666666666,2400,4800
43,distilgpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
43,distilgpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
43,distilgpt2,concat,logreg,0.7358333333333333,0.16666666666666666,2400,4800
43,distilgpt2,concat,linear_svc,0.7777083333333333,0.16666666666666666,2400,4800
44,bert-base-uncased,delta,logreg,0.8870833333333333,0.16666666666666666,2400,4800
44,bert-base-uncased,delta,linear_svc,0.901875,0.16666666666666666,2400,4800
44,bert-base-uncased,y_only,logreg,0.841875,0.16666666666666666,2400,4800
44,bert-base-uncased,y_only,linear_svc,0.8527083333333333,0.16666666666666666,2400,4800
44,bert-base-uncased,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
44,bert-base-uncased,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
44,bert-base-uncased,concat,logreg,0.864375,0.16666666666666666,2400,4800
44,bert-base-uncased,concat,linear_svc,0.8914583333333334,0.16666666666666666,2400,4800
44,roberta-base,delta,logreg,0.7991666666666667,0.16666666666666666,2400,4800
44,roberta-base,delta,linear_svc,0.89375,0.16666666666666666,2400,4800
44,roberta-base,y_only,logreg,0.8125,0.16666666666666666,2400,4800
44,roberta-base,y_only,linear_svc,0.8389583333333334,0.16666666666666666,2400,4800
44,roberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
44,roberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
44,roberta-base,concat,logreg,0.8208333333333333,0.16666666666666666,2400,4800
44,roberta-base,concat,linear_svc,0.86375,0.16666666666666666,2400,4800
44,distilroberta-base,delta,logreg,0.8677083333333333,0.16666666666666666,2400,4800
44,distilroberta-base,delta,linear_svc,0.879375,0.16666666666666666,2400,4800
44,distilroberta-base,y_only,logreg,0.81625,0.16666666666666666,2400,4800
44,distilroberta-base,y_only,linear_svc,0.8308333333333333,0.16666666666666666,2400,4800
44,distilroberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
44,distilroberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
44,distilroberta-base,concat,logreg,0.8254166666666667,0.16666666666666666,2400,4800
44,distilroberta-base,concat,linear_svc,0.8439583333333334,0.16666666666666666,2400,4800
44,gpt2,delta,logreg,0.745,0.16666666666666666,2400,4800
44,gpt2,delta,linear_svc,0.8335416666666666,0.16666666666666666,2400,4800
44,gpt2,y_only,logreg,0.7533333333333333,0.16666666666666666,2400,4800
44,gpt2,y_only,linear_svc,0.7383333333333333,0.16666666666666666,2400,4800
44,gpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
44,gpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
44,gpt2,concat,logreg,0.7658333333333334,0.16666666666666666,2400,4800
44,gpt2,concat,linear_svc,0.7672916666666667,0.16666666666666666,2400,4800
44,distilgpt2,delta,logreg,0.7725,0.16666666666666666,2400,4800
44,distilgpt2,delta,linear_svc,0.8633333333333333,0.16666666666666666,2400,4800
44,distilgpt2,y_only,logreg,0.70375,0.16666666666666666,2400,4800
44,distilgpt2,y_only,linear_svc,0.726875,0.16666666666666666,2400,4800
44,distilgpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
44,distilgpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
44,distilgpt2,concat,logreg,0.7320833333333333,0.16666666666666666,2400,4800
44,distilgpt2,concat,linear_svc,0.7622916666666667,0.16666666666666666,2400,4800
45,bert-base-uncased,delta,logreg,0.8947916666666667,0.16666666666666666,2400,4800
45,bert-base-uncased,delta,linear_svc,0.920625,0.16666666666666666,2400,4800
45,bert-base-uncased,y_only,logreg,0.8435416666666666,0.16666666666666666,2400,4800
45,bert-base-uncased,y_only,linear_svc,0.8404166666666667,0.16666666666666666,2400,4800
45,bert-base-uncased,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
45,bert-base-uncased,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
45,bert-base-uncased,concat,logreg,0.865,0.16666666666666666,2400,4800
45,bert-base-uncased,concat,linear_svc,0.8841666666666667,0.16666666666666666,2400,4800
45,roberta-base,delta,logreg,0.799375,0.16666666666666666,2400,4800
45,roberta-base,delta,linear_svc,0.869375,0.16666666666666666,2400,4800
45,roberta-base,y_only,logreg,0.7952083333333333,0.16666666666666666,2400,4800
45,roberta-base,y_only,linear_svc,0.8302083333333333,0.16666666666666666,2400,4800
45,roberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
45,roberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
45,roberta-base,concat,logreg,0.809375,0.16666666666666666,2400,4800
45,roberta-base,concat,linear_svc,0.8754166666666666,0.16666666666666666,2400,4800
45,distilroberta-base,delta,logreg,0.86375,0.16666666666666666,2400,4800
45,distilroberta-base,delta,linear_svc,0.8852083333333334,0.16666666666666666,2400,4800
45,distilroberta-base,y_only,logreg,0.8125,0.16666666666666666,2400,4800
45,distilroberta-base,y_only,linear_svc,0.8252083333333333,0.16666666666666666,2400,4800
45,distilroberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
45,distilroberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
45,distilroberta-base,concat,logreg,0.8239583333333333,0.16666666666666666,2400,4800
45,distilroberta-base,concat,linear_svc,0.836875,0.16666666666666666,2400,4800
45,gpt2,delta,logreg,0.7514583333333333,0.16666666666666666,2400,4800
45,gpt2,delta,linear_svc,0.839375,0.16666666666666666,2400,4800
45,gpt2,y_only,logreg,0.7552083333333334,0.16666666666666666,2400,4800
45,gpt2,y_only,linear_svc,0.7704166666666666,0.16666666666666666,2400,4800
45,gpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
45,gpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
45,gpt2,concat,logreg,0.7639583333333333,0.16666666666666666,2400,4800
45,gpt2,concat,linear_svc,0.779375,0.16666666666666666,2400,4800
45,distilgpt2,delta,logreg,0.77,0.16666666666666666,2400,4800
45,distilgpt2,delta,linear_svc,0.86125,0.16666666666666666,2400,4800
45,distilgpt2,y_only,logreg,0.7035416666666666,0.16666666666666666,2400,4800
45,distilgpt2,y_only,linear_svc,0.7272916666666667,0.16666666666666666,2400,4800
45,distilgpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
45,distilgpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
45,distilgpt2,concat,logreg,0.7310416666666667,0.16666666666666666,2400,4800
45,distilgpt2,concat,linear_svc,0.7552083333333334,0.16666666666666666,2400,4800
46,bert-base-uncased,delta,logreg,0.8885416666666667,0.16666666666666666,2400,4800
46,bert-base-uncased,delta,linear_svc,0.9022916666666667,0.16666666666666666,2400,4800
46,bert-base-uncased,y_only,logreg,0.8577083333333333,0.16666666666666666,2400,4800
46,bert-base-uncased,y_only,linear_svc,0.88125,0.16666666666666666,2400,4800
46,bert-base-uncased,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
46,bert-base-uncased,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
46,bert-base-uncased,concat,logreg,0.8716666666666667,0.16666666666666666,2400,4800
46,bert-base-uncased,concat,linear_svc,0.8975,0.16666666666666666,2400,4800
46,roberta-base,delta,logreg,0.8039583333333333,0.16666666666666666,2400,4800
46,roberta-base,delta,linear_svc,0.8789583333333333,0.16666666666666666,2400,4800
46,roberta-base,y_only,logreg,0.823125,0.16666666666666666,2400,4800
46,roberta-base,y_only,linear_svc,0.8502083333333333,0.16666666666666666,2400,4800
46,roberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
46,roberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
46,roberta-base,concat,logreg,0.8329166666666666,0.16666666666666666,2400,4800
46,roberta-base,concat,linear_svc,0.87,0.16666666666666666,2400,4800
46,distilroberta-base,delta,logreg,0.8695833333333334,0.16666666666666666,2400,4800
46,distilroberta-base,delta,linear_svc,0.8847916666666666,0.16666666666666666,2400,4800
46,distilroberta-base,y_only,logreg,0.820625,0.16666666666666666,2400,4800
46,distilroberta-base,y_only,linear_svc,0.8391666666666666,0.16666666666666666,2400,4800
46,distilroberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
46,distilroberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
46,distilroberta-base,concat,logreg,0.8275,0.16666666666666666,2400,4800
46,distilroberta-base,concat,linear_svc,0.8495833333333334,0.16666666666666666,2400,4800
46,gpt2,delta,logreg,0.7472916666666667,0.16666666666666666,2400,4800
46,gpt2,delta,linear_svc,0.841875,0.16666666666666666,2400,4800
46,gpt2,y_only,logreg,0.7608333333333334,0.16666666666666666,2400,4800
46,gpt2,y_only,linear_svc,0.74375,0.16666666666666666,2400,4800
46,gpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
46,gpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
46,gpt2,concat,logreg,0.770625,0.16666666666666666,2400,4800
46,gpt2,concat,linear_svc,0.79125,0.16666666666666666,2400,4800
46,distilgpt2,delta,logreg,0.77,0.16666666666666666,2400,4800
46,distilgpt2,delta,linear_svc,0.8625,0.16666666666666666,2400,4800
46,distilgpt2,y_only,logreg,0.7070833333333333,0.16666666666666666,2400,4800
46,distilgpt2,y_only,linear_svc,0.7110416666666667,0.16666666666666666,2400,4800
46,distilgpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
46,distilgpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
46,distilgpt2,concat,logreg,0.7304166666666667,0.16666666666666666,2400,4800
46,distilgpt2,concat,linear_svc,0.7570833333333333,0.16666666666666666,2400,4800
