source,model,classifier,true_class,predicted_class,count,true_support,share_of_true,involves_negation
full_semantic,bert-base-uncased,logreg,uncertainty,future,68,800,0.085,False
full_semantic,gpt2,linear_svc,question,formalization,65,800,0.08125,False
full_semantic,roberta-base,logreg,uncertainty,negation,65,800,0.08125,True
full_semantic,distilroberta-base,linear_svc,formalization,uncertainty,64,800,0.08,False
full_semantic,roberta-base,logreg,negation,passive,56,800,0.07,True
full_semantic,roberta-base,linear_svc,formalization,negation,52,800,0.065,True
full_semantic,gpt2,logreg,formalization,negation,45,800,0.05625,True
full_semantic,bert-base-uncased,linear_svc,formalization,future,44,800,0.055,False
full_semantic,roberta-base,linear_svc,uncertainty,future,44,800,0.055,False
full_semantic,distilroberta-base,logreg,uncertainty,future,43,800,0.05375,False
full_semantic,bert-base-uncased,logreg,formalization,uncertainty,42,800,0.0525,False
full_semantic,distilroberta-base,logreg,uncertainty,negation,33,800,0.04125,True
full_semantic,distilroberta-base,logreg,formalization,future,27,800,0.03375,False
full_semantic,gpt2,linear_svc,negation,passive,26,800,0.0325,True
full_semantic,bert-base-uncased,logreg,formalization,future,22,800,0.0275,False
full_semantic,distilgpt2,logreg,negation,future,22,800,0.0275,True
full_semantic,gpt2,logreg,passive,future,21,800,0.02625,False
full_semantic,bert-base-uncased,logreg,uncertainty,negation,17,800,0.02125,True
full_semantic,gpt2,linear_svc,uncertainty,passive,15,800,0.01875,False
full_semantic,distilgpt2,logreg,question,future,12,800,0.015,False
full_semantic,bert-base-uncased,logreg,negation,passive,11,800,0.01375,True
full_semantic,bert-base-uncased,logreg,passive,negation,11,800,0.01375,True
full_semantic,roberta-base,linear_svc,formalization,future,9,800,0.01125,False
full_semantic,distilroberta-base,linear_svc,formalization,future,8,800,0.01,False
full_semantic,gpt2,logreg,question,passive,8,800,0.01,False
full_semantic,roberta-base,logreg,formalization,uncertainty,8,800,0.01,False
full_semantic,bert-base-uncased,linear_svc,uncertainty,passive,7,800,0.00875,False
full_semantic,distilroberta-base,logreg,formalization,uncertainty,7,800,0.00875,False
full_semantic,roberta-base,logreg,uncertainty,passive,7,800,0.00875,False
full_semantic,bert-base-uncased,logreg,formalization,passive,6,800,0.0075,False
full_semantic,gpt2,linear_svc,negation,future,6,800,0.0075,True
full_semantic,roberta-base,linear_svc,formalization,uncertainty,5,800,0.00625,False
full_semantic,bert-base-uncased,linear_svc,question,future,4,800,0.005,False
full_semantic,bert-base-uncased,logreg,question,future,4,800,0.005,False
full_semantic,distilgpt2,linear_svc,formalization,negation,4,800,0.005,True
full_semantic,roberta-base,linear_svc,uncertainty,negation,4,800,0.005,True
full_semantic,bert-base-uncased,linear_svc,formalization,negation,3,800,0.00375,True
full_semantic,bert-base-uncased,logreg,formalization,negation,3,800,0.00375,True
full_semantic,bert-base-uncased,logreg,future,negation,3,800,0.00375,True
full_semantic,distilgpt2,linear_svc,passive,question,3,800,0.00375,False
full_semantic,distilroberta-base,linear_svc,formalization,negation,3,800,0.00375,True
full_semantic,distilroberta-base,logreg,formalization,passive,3,800,0.00375,False
full_semantic,gpt2,logreg,question,formalization,3,800,0.00375,False
full_semantic,distilroberta-base,logreg,passive,negation,2,800,0.0025,True
full_semantic,bert-base-uncased,linear_svc,uncertainty,negation,1,800,0.00125,True
full_semantic,distilgpt2,logreg,passive,question,1,800,0.00125,False
full_semantic,distilgpt2,logreg,uncertainty,passive,1,800,0.00125,False
full_semantic,gpt2,linear_svc,passive,negation,1,800,0.00125,True
full_semantic,gpt2,logreg,formalization,future,1,800,0.00125,False
full_semantic,roberta-base,linear_svc,formalization,passive,1,800,0.00125,False
full_semantic,roberta-base,linear_svc,negation,passive,1,800,0.00125,True
full_semantic,roberta-base,logreg,passive,negation,1,800,0.00125,True
