model,language,triple,mean_relative_signed_permutation_norm,mean_ratio_to_null_mean,mean_null_percentile,max_p_smaller_or_equal_null,n
intfloat/multilingual-e5-large,ar,NMT,0.28278427695234615,0.6983418703249403,23.196875000000002,0.6981509245377311,48
intfloat/multilingual-e5-large,ar,NQM,0.38243557047098875,0.4817151407570119,24.28072916666667,0.617191404297851,48
intfloat/multilingual-e5-large,ar,NQT,0.419391805306077,0.5861662505001997,32.30625,0.6256871564217891,48
intfloat/multilingual-e5-large,ar,QMT,0.31158955333133537,0.4867879340712276,35.39635416666667,0.6366816591704147,48
intfloat/multilingual-e5-large,de,NMT,0.7159614333262047,0.7762213816668168,24.094791666666666,0.7091454272863568,48
intfloat/multilingual-e5-large,de,NQM,0.6766489843527476,0.6642558908730697,21.614583333333332,0.6061969015492253,48
intfloat/multilingual-e5-large,de,NQT,0.7458286806941032,0.7804183700061244,31.043750000000003,0.6211894052973513,48
intfloat/multilingual-e5-large,de,QMT,0.5104977910717329,0.6748396972905901,32.78854166666667,0.623688155922039,48
intfloat/multilingual-e5-large,en,NMT,0.38773926844199497,0.7896369738438397,28.73385416666667,0.7991004497751124,48
intfloat/multilingual-e5-large,en,NQM,0.5816630739718676,0.6730554578606786,23.17135416666667,0.6166916541729135,48
intfloat/multilingual-e5-large,en,NQT,0.6663640240828196,0.7561927971996881,32.14791666666667,0.6176911544227887,48
intfloat/multilingual-e5-large,en,QMT,0.48278932832181454,0.7558527547967525,33.259375,0.6241879060469765,48
intfloat/multilingual-e5-large,es,NMT,0.44829240813851357,0.7247083999397237,19.6609375,0.5047476261869065,48
intfloat/multilingual-e5-large,es,NQM,0.5836301650851965,0.600782503168881,19.203645833333336,0.6081959020489756,48
intfloat/multilingual-e5-large,es,NQT,0.6500349789857864,0.7391663156895424,30.488541666666666,0.6196901549225388,48
intfloat/multilingual-e5-large,es,QMT,0.5048174038529396,0.672090058235235,30.630208333333332,0.6251874062968515,48
intfloat/multilingual-e5-large,fr,NMT,0.5319380586345991,0.799117435464186,30.453645833333336,0.7186406796601699,48
intfloat/multilingual-e5-large,fr,NQM,0.6501197454830011,0.6348756505191556,18.2234375,0.600199900049975,48
intfloat/multilingual-e5-large,fr,NQT,0.7069892187913259,0.7815174804753963,32.37864583333334,0.624687656171914,48
intfloat/multilingual-e5-large,fr,QMT,0.44714217260479927,0.7039571831927303,30.36822916666667,0.6201899050474763,48
intfloat/multilingual-e5-large,ru,NMT,1.0458693218727906,0.8302291390007998,39.170833333333334,0.9140429785107447,48
intfloat/multilingual-e5-large,ru,NQM,0.4928552607695262,0.4958452405697838,21.295833333333334,0.6006996501749126,48
intfloat/multilingual-e5-large,ru,NQT,0.5028185670574506,0.6848459489165118,29.192708333333332,0.6221889055472264,48
intfloat/multilingual-e5-large,ru,QMT,0.4001461071893573,0.6241750655293004,30.770312500000003,0.6251874062968515,48
intfloat/multilingual-e5-large,zh,NMT,0.40500505547970533,0.8329232899625693,45.89166666666667,0.9145427286356822,48
intfloat/multilingual-e5-large,zh,NQM,0.6845317333936691,0.6342001030728431,29.970833333333335,0.6291854072963519,48
intfloat/multilingual-e5-large,zh,NQT,0.6608005786935488,0.7026296484249234,28.89375,0.6221889055472264,48
intfloat/multilingual-e5-large,zh,QMT,0.4107033371304472,0.5656713922735012,30.997395833333332,0.6146926536731634,48
