model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
BAAI/bge-m3,en,0,NQM,0.5876692533493042,1.0898275202810763,0.6473087091490172,0.5392314310407574,19.875,0.3978010994502748
BAAI/bge-m3,en,0,NQT,0.7390453219413757,0.9795857689082622,0.4390159171727819,0.7544467727050377,29.625,0.592703648175912
BAAI/bge-m3,en,0,NMT,0.3259947896003723,0.5030313546657562,0.2399780766839337,0.6480605762961525,19.075,0.3818090954522739
BAAI/bge-m3,en,0,QMT,0.5386011004447937,0.7373287820219994,0.2856942521211497,0.7304761641977964,30.025,0.6006996501749126
BAAI/bge-m3,en,1,NQM,0.5769330263137817,0.9463699624538422,0.5165328822337549,0.6096273647752332,30.275,0.4047976011994003
BAAI/bge-m3,en,1,NQT,0.5966654419898987,0.8227178820371628,0.4080007377894859,0.7252369919464344,46.0,0.6176911544227887
BAAI/bge-m3,en,1,NMT,0.6570418477058411,0.7499367203116417,0.3454663922731885,0.8761297185606892,50.6,0.7181409295352323
BAAI/bge-m3,en,1,QMT,0.4187104403972626,0.6164626277983188,0.2409466384776134,0.6792146377015545,29.1,0.5822088955522239
BAAI/bge-m3,en,2,NQM,0.5651782155036926,0.9083680401146412,0.4625004809739489,0.6221907757033611,9.625,0.192903548225887
BAAI/bge-m3,en,2,NQT,0.6730730533599854,0.9034352819025516,0.434777656715293,0.7450152399868759,20.55,0.4112943528235882
BAAI/bge-m3,en,2,NMT,0.5256836414337158,0.6878438401818275,0.3229008972484529,0.7642485266626654,20.675,0.4137931034482758
BAAI/bge-m3,en,2,QMT,0.6577751636505127,0.7965591766834259,0.2643290554294516,0.8257706180580536,24.200000000000003,0.4842578710644677
BAAI/bge-m3,en,3,NQM,0.6002914309501648,1.0614769523441792,0.6005721620063641,0.5655246961546437,19.825000000000003,0.3968015992003998
BAAI/bge-m3,en,3,NQT,0.7264472842216492,0.980161792308092,0.4484994972797771,0.741150379377944,54.375,0.5892053973013494
BAAI/bge-m3,en,3,NMT,0.4736409783363342,0.5752624029517174,0.2829521073464505,0.8233477034223359,31.075000000000003,0.4077961019490255
BAAI/bge-m3,en,3,QMT,0.6892611980438232,0.9161422378122808,0.3321760323219173,0.752351730544599,5.0,0.1004497751124437
BAAI/bge-m3,en,4,NQM,0.6938674449920654,1.0466040486097337,0.507235521867117,0.6629703429038973,19.775,0.2933533233383308
BAAI/bge-m3,en,4,NQT,0.7300099730491638,0.900639866143465,0.3772828960479011,0.8105459246149651,24.425,0.3973013493253373
BAAI/bge-m3,en,4,NMT,0.4301071763038635,0.5303530662208795,0.2419968454141743,0.8109827277286318,14.95,0.2993503248375812
BAAI/bge-m3,en,4,QMT,0.6706748008728027,0.8207436449229717,0.2822661397883071,0.8171550337559174,5.050000000000001,0.1014492753623188
