model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
intfloat/multilingual-e5-large,10.0,en,linear,NQM,4,0.07405607488605671,0.010920889896108794,0.003921030073694702,-0.0008916521314154633,-0.008089423185947343,0.00613657463731296
intfloat/multilingual-e5-large,10.0,en,linear,NQT,4,0.06539990533659475,0.014882626276928537,-0.00024435170809892354,-0.003277591788748098,-0.007594214253251621,0.012370050892519153
intfloat/multilingual-e5-large,10.0,en,linear,NMT,4,0.09136975547928357,0.012767035143959136,0.004710924775161643,-0.001444935612501863,-0.010146975043608225,0.005979584656978412
intfloat/multilingual-e5-large,10.0,en,linear,QMT,4,0.14038277720052333,0.018428799380266075,-0.001253249554461878,-0.00039689250164449096,-0.01179963164219946,0.01409472176393986
intfloat/multilingual-e5-large,10.0,en,affine,NQM,4,0.06976976058961268,0.01000020948015749,0.004677561697428185,-0.0013599258498521692,-0.0074616304659069835,0.004538642824340451
intfloat/multilingual-e5-large,10.0,en,affine,NQT,4,0.0538813091902754,0.01246054989453324,0.00017690595121802946,-0.00503637485965997,-0.005057164163861816,0.01021244470493294
intfloat/multilingual-e5-large,10.0,en,affine,NMT,4,0.09877776744473354,0.013179175249941562,0.0056678203896351285,-0.0005088465322954272,-0.010787008525654352,0.004994796749972892
intfloat/multilingual-e5-large,10.0,en,affine,QMT,4,0.14518613020692434,0.019121803518391305,-0.0010151295692698119,-0.0004548949394880689,-0.012373162624854198,0.014536533252687708
intfloat/multilingual-e5-large,10.0,es,linear,NQM,4,0.0734629825061728,0.00804343587397986,0.004162672571289284,0.0002701178868042323,-0.005650263629222713,0.003920532485590882
intfloat/multilingual-e5-large,10.0,es,linear,NQT,4,0.07289013390644171,0.012374189546522486,0.0022093442317859518,-0.00014894249218375642,-0.00933311581221922,0.0078172968709437
intfloat/multilingual-e5-large,10.0,es,linear,NMT,4,0.08843034047579987,0.009594466317577289,0.0020519330556728003,-0.0008894632539632843,-0.007391841118256681,0.00569323235574144
intfloat/multilingual-e5-large,10.0,es,linear,QMT,4,0.11852149008185303,0.015368504402613302,-0.0010056622397233593,0.000745414661138857,-0.010267308279814959,0.011366895297439027
intfloat/multilingual-e5-large,10.0,es,affine,NQM,4,0.07206971262640641,0.007463087707740812,0.00453152641829794,-0.00030210567949556875,-0.0051866040056023485,0.0028584641857448655
