model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
Qwen/Qwen3-Embedding-0.6B,1.0,ru,affine,Q,0.6238809823989868,10.445146560668945,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,additive,M,0.8828107118606567,3.198439598083496,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,linear,M,0.6624823177633996,9.9001598869843,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,affine,M,0.5018704533576965,15.109991073608398,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,additive,T,0.9248131513595581,1.988074541091919,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,linear,T,0.4517768510377628,16.943909270669117,160
Qwen/Qwen3-Embedding-0.6B,1.0,ru,affine,T,0.512719452381134,13.9075927734375,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,additive,N,0.9595996141433716,1.6706628799438477,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,linear,N,0.7079730438440978,12.877848326125095,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,affine,N,0.7042809724807739,13.233896255493164,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,additive,Q,0.9838617444038391,0.713767409324646,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,linear,Q,0.8032490310582109,7.972679673157171,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,affine,Q,0.7804073095321655,8.76071548461914,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,additive,M,0.9784742593765259,0.8604695200920105,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,linear,M,0.7696636248463655,10.275203882945263,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,affine,M,0.7436842918395996,11.353581428527832,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,additive,T,0.9756708145141602,0.9964414834976196,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,linear,T,0.659403626118647,15.937204574779027,160
Qwen/Qwen3-Embedding-0.6B,1.0,zh,affine,T,0.6919652819633484,13.727701187133789,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,additive,N,0.9097604751586914,2.8117756843566895,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,linear,N,0.6181001915161012,15.91134465878547,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,affine,N,0.523541271686554,20.56819725036621,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,additive,Q,0.9471591711044312,1.8018051385879517,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,linear,Q,0.7192883005320286,9.397001405288574,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,affine,Q,0.6312720775604248,13.183473587036133,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,additive,M,0.9619234800338745,1.248718023300171,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,linear,M,0.7138229791925175,9.358651117944994,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,affine,M,0.6283829808235168,13.877306938171387,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,additive,T,0.9211870431900024,2.5584747791290283,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,linear,T,0.6323348294309736,13.4049942165389,160
Qwen/Qwen3-Embedding-0.6B,1.0,ar,affine,T,0.635707676410675,12.07025146484375,160
