model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
intfloat/multilingual-e5-large-instruct,1.0,en,linear,NQM,4,0.06369494564503374,0.0026179552862586847,-0.0009488732974525892,5.586236869226319e-05,0.002150760719264743,0.0011508418963798363
intfloat/multilingual-e5-large-instruct,1.0,en,linear,NQT,4,0.06077562830697165,0.0036793878237423388,-0.0011199899997373654,-0.0020494824390663597,-0.000909214296781914,0.0026937832601153446
intfloat/multilingual-e5-large-instruct,1.0,en,linear,NMT,4,0.08131999338500674,0.006360852319619761,0.0008169057088428991,0.0019095388833540927,-0.004307846643967037,-0.004193951101275826
intfloat/multilingual-e5-large-instruct,1.0,en,linear,QMT,4,0.04356927527769064,0.0028874430919107333,-0.0008768405296172039,0.0015672195512251835,-0.0003285020501728403,-0.002237048854167788
intfloat/multilingual-e5-large-instruct,1.0,en,affine,NQM,4,0.06724723265495272,0.0037511039644596744,-0.00148922941306862,-0.0003246485632474993,0.001961011823985721,0.0028110518750115426
intfloat/multilingual-e5-large-instruct,1.0,en,affine,NQT,4,0.06289850860593454,0.004169919281476527,-0.0010524251943178553,-0.0022486959561400016,-0.0011440006099816722,0.003148850127522094
intfloat/multilingual-e5-large-instruct,1.0,en,affine,NMT,4,0.10134118179460204,0.009844873633575972,0.0010873562685578622,0.0045000743062972495,-0.003241520315602065,-0.008061083704294956
intfloat/multilingual-e5-large-instruct,1.0,en,affine,QMT,4,0.03683065026046747,0.002510030928202861,-0.0006558509454354482,0.0014661396964758822,-0.0006902389586995023,-0.0018011439054715695
intfloat/multilingual-e5-large-instruct,1.0,es,linear,NQM,4,0.08706452496619423,0.005890779210284593,-0.0029536526228372047,0.001028801029841926,0.004991791564715044,-2.830730230882455e-05
intfloat/multilingual-e5-large-instruct,1.0,es,linear,NQT,4,0.10713093024560304,0.00568665652325634,-0.0005590718441067734,-0.0003910873031484984,-0.0031076655743018594,0.0047132755580632105
intfloat/multilingual-e5-large-instruct,1.0,es,linear,NMT,4,0.1613472080395153,0.014849644174059085,0.012260314301156986,-0.008147338879050954,-0.0019469690771787116,-0.0001637251826292407
intfloat/multilingual-e5-large-instruct,1.0,es,linear,QMT,4,0.04406931335498006,0.003062151008367051,0.001956764255074136,-0.0020556912277564735,-0.0008472576706274443,-0.0007772582992773705
intfloat/multilingual-e5-large-instruct,1.0,es,affine,NQM,4,0.09562572723332315,0.00711817348693441,-0.0034628039316004187,0.0015390627200982006,0.005998542088130771,0.0005711054910577545
intfloat/multilingual-e5-large-instruct,1.0,es,affine,NQT,4,0.10710451090650389,0.005618244430891372,-0.0008595705267503133,-0.0004133393794183087,-0.002834808969157305,0.0047559244801186114
intfloat/multilingual-e5-large-instruct,1.0,es,affine,NMT,4,0.1566042000806998,0.01442835655345061,0.01250935105382284,-0.006382499991672124,-0.0023308612741461073,-0.002350401800270299
intfloat/multilingual-e5-large-instruct,1.0,es,affine,QMT,4,0.05024630646972591,0.0035797896826366316,0.0022879808169825972,-0.001921854110390931,-0.001842900973574293,-0.0007001647898914418
intfloat/multilingual-e5-large-instruct,1.0,fr,linear,NQM,4,0.08394734641655544,0.004585575669536947,-0.0005255358929666058,-2.7178329861290073e-05,0.003932004070216079,-0.0022999829513375004
intfloat/multilingual-e5-large-instruct,1.0,fr,linear,NQT,4,0.04923018987491989,0.0027956254168580072,0.00013859599600017473,-0.0018231943470079423,-4.7951330512458184e-05,0.0021142316959632387
intfloat/multilingual-e5-large-instruct,1.0,fr,linear,NMT,4,0.057203100096525204,0.005158581054673637,-1.6401548216909674e-06,-0.003731022206577509,0.00335606965128881,0.0011946654750404537
intfloat/multilingual-e5-large-instruct,1.0,fr,linear,QMT,4,0.0361140950704292,0.0019041287220265,-0.0012192684381707212,0.00018143383777123525,0.0014276369937763047,-0.0002608161080914265
intfloat/multilingual-e5-large-instruct,1.0,fr,affine,NQM,4,0.09042861255078462,0.005477182152025811,-0.000592958853952935,0.0011080311594610975,0.004036069669330644,-0.0034828627159222683
intfloat/multilingual-e5-large-instruct,1.0,fr,affine,NQT,4,0.04505852072349034,0.002588656670165057,0.0005815448185498834,-0.0019100070938103857,0.0004767072225319868,0.0015772038884011375
intfloat/multilingual-e5-large-instruct,1.0,fr,affine,NMT,4,0.045442910696258776,0.004003986050292081,-0.0011931378814968628,-0.0018783318200070826,0.003110222513269052,0.0011860488095242869
intfloat/multilingual-e5-large-instruct,1.0,fr,affine,QMT,4,0.03527817200124786,0.002081846739371642,-0.0012115081841534122,0.0010330647655548183,0.0007092754995474966,-0.0011384371839818206
intfloat/multilingual-e5-large-instruct,1.0,de,linear,NQM,4,0.06519934970402512,0.0031476466302352048,-0.0007164784700603328,0.001631892361158898,0.0013406622695153613,-0.0022212361224012637
intfloat/multilingual-e5-large-instruct,1.0,de,linear,NQT,4,0.04529161526997453,0.0025332155282407572,-0.00018851123987729656,0.0017141786731969643,-0.001854387383479638,6.695769790143703e-05
intfloat/multilingual-e5-large-instruct,1.0,de,linear,NMT,4,0.08941038660208905,0.007255431291884305,0.003674657190614871,-0.005573765472914365,0.002149825635547698,0.0018573007167408313
intfloat/multilingual-e5-large-instruct,1.0,de,linear,QMT,4,0.030821692025052427,0.0021445349455556408,0.0006709031429058109,-0.001742495505910508,0.000901865855082073,0.0005470525540267621
intfloat/multilingual-e5-large-instruct,1.0,de,affine,NQM,4,0.08474091778769369,0.004525016548260638,-0.00010359537413726868,0.002110683189454787,0.0011708048110775113,-0.003826130594817786
intfloat/multilingual-e5-large-instruct,1.0,de,affine,NQT,4,0.04213086904238334,0.0023413897037274922,-0.0005844459883421348,0.0019027562920496894,-0.0012326209791327244,-2.6318174311695504e-05
intfloat/multilingual-e5-large-instruct,1.0,de,affine,NMT,4,0.06452261478117204,0.005581968210915434,0.0024548340326178263,-0.004521303650355605,0.0020327520345024682,0.0007469213127759217
intfloat/multilingual-e5-large-instruct,1.0,de,affine,QMT,4,0.0347225461269179,0.002198613320907969,0.0011758097300545928,-0.0018194311223403133,0.00010264985327396062,0.0003612553283554648
intfloat/multilingual-e5-large-instruct,1.0,ru,linear,NQM,4,0.08614153746734242,0.007918391443055173,0.002969558286707166,-0.004602963918676443,-0.004904313700677126,0.002939911038792098
intfloat/multilingual-e5-large-instruct,1.0,ru,linear,NQT,4,0.054041345537621306,0.004555979431610907,0.0008492485514808683,0.0014332824173325532,-0.00011868674574423482,-0.004238789974464326
intfloat/multilingual-e5-large-instruct,1.0,ru,linear,NMT,4,0.05109989099949248,0.007185268010133576,-0.0009095680671975244,0.006370260437566776,0.0006379350846751129,-0.003132663897371626
intfloat/multilingual-e5-large-instruct,1.0,ru,linear,QMT,4,0.032576280555512524,0.0028977834268844745,-0.00039631597528538755,0.0022838088660679266,0.0017167794366002758,0.00027743083137223706
intfloat/multilingual-e5-large-instruct,1.0,ru,affine,NQM,4,0.0768874282901577,0.008180408370775459,0.0017476834897063335,-0.004430552737784337,-0.003760151935485274,0.005485995205269428
intfloat/multilingual-e5-large-instruct,1.0,ru,affine,NQT,4,0.07011018721891389,0.00716360095996224,0.0009771931650891302,0.0038559898161045457,-6.617888257381488e-05,-0.005957284207193268
intfloat/multilingual-e5-large-instruct,1.0,ru,affine,NMT,4,0.09173039742935053,0.013904168701143336,-0.00048787846149187224,0.009860342483997784,0.00013768865710834426,-0.009789921848954587
intfloat/multilingual-e5-large-instruct,1.0,ru,affine,QMT,4,0.015429001392820258,0.001536598239752738,0.000245055621658097,0.0010029613973036506,0.001034818023523643,-0.00047360530657321234
intfloat/multilingual-e5-large-instruct,1.0,zh,linear,NQM,4,0.0603440674831413,0.0019607012983741635,-0.0012251419866835594,0.000432840459385508,0.0006660968457557494,0.0013085644128984922
intfloat/multilingual-e5-large-instruct,1.0,zh,linear,NQT,4,0.08265090801303802,0.004544774212736113,-0.0003558359763243769,-0.0022143697915265816,-0.002686973977388263,0.0028991534409060276
intfloat/multilingual-e5-large-instruct,1.0,zh,linear,NMT,4,0.10451415304098594,0.007967830759684439,0.0018860417252273749,-0.001166811274510006,-0.00757327053119594,-0.0011014983144201189
intfloat/multilingual-e5-large-instruct,1.0,zh,linear,QMT,4,0.034647630543112234,0.0034424012710983203,-0.0011530825424834168,0.002525212268616333,0.0016267032954583086,-0.001223791873013521
intfloat/multilingual-e5-large-instruct,1.0,zh,affine,NQM,4,0.05178481643224204,0.0014723375137123543,0.00018052203747926282,-0.0001678086520083867,0.0009353672339158633,0.0011100080820862198
intfloat/multilingual-e5-large-instruct,1.0,zh,affine,NQT,4,0.07267153244722627,0.0028423805777473277,-0.001264289180504129,-0.0007088564020468829,-0.0020262186897984477,0.0013684519133692788
intfloat/multilingual-e5-large-instruct,1.0,zh,affine,NMT,4,0.09662572728668131,0.00718194422164621,-0.001926426023098919,0.0018563316049316026,-0.006209802096606853,-0.002421073413565532
intfloat/multilingual-e5-large-instruct,1.0,zh,affine,QMT,4,0.026549472473716352,0.003189480110632248,-0.00023788643751551224,0.00229687617343832,-0.0005058726706608117,-0.002141178671651367
intfloat/multilingual-e5-large-instruct,1.0,ar,linear,NQM,4,0.08444590564070391,0.005159500874522833,0.00021830036965935103,-0.00127968134868573,0.004899804280760324,-0.0009628747991702481
intfloat/multilingual-e5-large-instruct,1.0,ar,linear,NQT,4,0.04124668332089852,0.002433166739265292,-0.0005146404731480678,-0.001223465849119476,-0.0003791664612433005,0.002003698998146033
intfloat/multilingual-e5-large-instruct,1.0,ar,linear,NMT,4,0.03380203169926145,0.0036913386397911616,0.001555759413944102,0.002139886560280282,-0.0006794061440436605,-0.002482918927413281
intfloat/multilingual-e5-large-instruct,1.0,ar,linear,QMT,4,0.04715591053433964,0.003048738616410506,-0.0001719247594048915,0.0018589575135249965,0.002182912646061753,0.0010219678913101205
intfloat/multilingual-e5-large-instruct,1.0,ar,affine,NQM,4,0.0945671778714454,0.0056666999793366845,0.0011415652687288367,-0.0006204510033330224,0.0051820272154248495,-0.0018894316299103457
