model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,0.1,fr,affine,N,0.8665207028388977,0.3828657269477844,160.0,,,
BAAI/bge-m3,0.1,fr,additive,Q,0.9153528213500975,0.2388777732849121,160.0,,,
BAAI/bge-m3,0.1,fr,linear,Q,0.8828674434387762,0.3450190475569759,160.0,,,
BAAI/bge-m3,0.1,fr,affine,Q,0.8842464685440063,0.3395859599113464,160.0,,,
BAAI/bge-m3,0.1,fr,additive,M,0.956037163734436,0.1127687916159629,160.0,,,
BAAI/bge-m3,0.1,fr,linear,M,0.924848551451766,0.1876040259345293,160.0,,,
BAAI/bge-m3,0.1,fr,affine,M,0.9239585995674132,0.1901202201843261,160.0,,,
BAAI/bge-m3,0.1,fr,additive,T,0.9529949426651,0.1234264597296714,160.0,,,
BAAI/bge-m3,0.1,fr,linear,T,0.9042175761873577,0.2596618494145312,160.0,,,
BAAI/bge-m3,0.1,fr,affine,T,0.9072877764701844,0.2498461008071899,160.0,,,
BAAI/bge-m3,0.1,de,additive,N,0.8885700106620789,0.3138696849346161,160.0,,,
BAAI/bge-m3,0.1,de,linear,N,0.8285202943480374,0.4684233883463815,160.0,,,
BAAI/bge-m3,0.1,de,affine,N,0.8388530611991882,0.4481311738491058,160.0,,,
BAAI/bge-m3,0.1,de,additive,Q,0.918076992034912,0.2228874415159225,160.0,,,
BAAI/bge-m3,0.1,de,linear,Q,0.8941084049931434,0.2910425038445926,160.0,,,
BAAI/bge-m3,0.1,de,affine,Q,0.8958608508110046,0.2869116365909576,160.0,,,
BAAI/bge-m3,0.1,de,additive,M,0.9618545770645142,0.1009022444486618,160.0,,,
BAAI/bge-m3,0.1,de,linear,M,0.9188926083320444,0.2067876883767701,160.0,,,
BAAI/bge-m3,0.1,de,affine,M,0.9215324521064758,0.2022624462842941,160.0,,,
BAAI/bge-m3,0.1,de,additive,T,0.9246416091918944,0.21071657538414,160.0,,,
BAAI/bge-m3,0.1,de,linear,T,0.8617761263324795,0.3931084238390354,160.0,,,
BAAI/bge-m3,0.1,de,affine,T,0.8712665438652039,0.3693943917751312,160.0,,,
BAAI/bge-m3,0.1,ru,additive,N,0.7809357643127441,0.7109681963920593,160.0,,,
BAAI/bge-m3,0.1,ru,linear,N,0.533400359344936,1.7344046739668006,160.0,,,
BAAI/bge-m3,0.1,ru,affine,N,0.5256001353263855,1.953290581703186,160.0,,,
BAAI/bge-m3,0.1,ru,additive,Q,0.8412039875984192,0.5216783285140991,160.0,,,
BAAI/bge-m3,0.1,ru,linear,Q,0.6239353783743118,1.5087613760506973,160.0,,,
BAAI/bge-m3,0.1,ru,affine,Q,0.6236475110054016,1.5847513675689695,160.0,,,
BAAI/bge-m3,0.1,ru,additive,M,0.935832142829895,0.1877458840608596,160.0,,,
BAAI/bge-m3,0.1,ru,linear,M,0.7313913689876486,0.9230463799501306,160.0,,,
BAAI/bge-m3,0.1,ru,affine,M,0.7276597023010254,0.9649320840835572,160.0,,,
BAAI/bge-m3,0.1,ru,additive,T,0.9027081727981568,0.2873455286026001,160.0,,,
BAAI/bge-m3,0.1,ru,linear,T,0.6223015290796278,1.2961708073793812,160.0,,,
BAAI/bge-m3,0.1,ru,affine,T,0.6615363359451294,1.178596258163452,160.0,,,
