model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
distilbert-base-multilingual-cased,0.1,en,linear,NQ_minus_QN,4,6.382552783971614,0.9892338961167322,0.9998740204683141,9.09626942485474e-05,0.0033222591362126247,0.11427776578445539,-0.08963693997181282,0.006581652949396623,-0.03378041786577732
distilbert-base-multilingual-cased,0.1,en,linear,NM_minus_MN,4,7.168258629877023,0.9852356876366909,0.9998769131798421,8.916148369273485e-05,0.0033222591362126247,0.0983639160993855,-0.01700296158900251,-0.13234419390919724,-0.027308388134939028
distilbert-base-multilingual-cased,0.1,en,linear,NT_minus_TN,4,8.090205724937567,0.9909588738499082,0.9998798579754307,8.354064993681338e-05,0.0033222591362126247,0.09251220282833808,0.05010429356376083,-0.014378265980606857,-0.12858952561560077
distilbert-base-multilingual-cased,0.1,en,linear,QM_minus_MQ,4,5.683483010040486,0.9862132056602996,0.9998838663532221,8.163365523621585e-05,0.0033222591362126247,0.004520073391401122,0.03274201100295798,-0.12393160431501568,0.004197016523310042
distilbert-base-multilingual-cased,0.1,en,linear,QT_minus_TQ,4,5.9207736306256304,0.9913255436230407,0.9998822800743778,8.175665792729672e-05,0.0033222591362126247,0.04373680590311723,0.07971678073113994,-0.02350723016568085,-0.08251321331780997
distilbert-base-multilingual-cased,0.1,en,linear,MT_minus_TM,4,6.861748166415296,0.988459498847762,0.9998712456500607,9.399258463617982e-05,0.0033222591362126247,0.041995916906607665,0.026503984275195652,0.07611818681842715,-0.12027891402945168
distilbert-base-multilingual-cased,0.1,en,affine,NQ_minus_QN,4,6.140414713483083,0.9883566833657637,0.999875219191897,8.655469514680745e-05,0.0033222591362126247,0.11930282302494669,-0.08568303811874853,0.00030498339495276655,-0.02732587135322779
distilbert-base-multilingual-cased,0.1,en,affine,NM_minus_MN,4,7.517245981003212,0.9841404834360244,0.9998784085680021,8.010683834629067e-05,0.0033222591362126247,0.09540020169502922,-0.02401794498193946,-0.15044847568963943,-0.012660081785224217
distilbert-base-multilingual-cased,0.1,en,affine,NT_minus_TN,4,8.05892303481747,0.99160018380932,0.999874625648067,0.00010012100078965563,0.0033222591362126247,0.09165091219618277,0.04441039686011925,-0.010442764555918473,-0.12234918812478297
distilbert-base-multilingual-cased,0.1,en,affine,QM_minus_MQ,4,5.623928663602119,0.9838062907323615,0.9998736537616185,9.608792762772668e-05,0.0033222591362126247,0.002473271847471569,0.03620831507043761,-0.13137073802981208,0.006478678608325299
distilbert-base-multilingual-cased,0.1,en,affine,QT_minus_TQ,4,5.751530226277898,0.9919713187220565,0.9998786629099067,8.191180364265024e-05,0.0033222591362126247,0.037296770375691186,0.07700070361953096,-0.018628330961899534,-0.08404447530309682
distilbert-base-multilingual-cased,0.1,en,affine,MT_minus_TM,4,7.034139921589952,0.9886006369508352,0.9998803283902092,8.816465526351915e-05,0.0033222591362126247,0.04397988792080389,0.028636355884954594,0.07661829611757096,-0.12244906652828294
distilbert-base-multilingual-cased,0.1,es,linear,NQ_minus_QN,4,6.298499240950909,0.994713117236357,0.999881339519686,8.341314469326016e-05,0.0033222591362126247,0.07791819453883377,-0.03628839146374633,-0.010386658285024355,-0.0447736757859596
distilbert-base-multilingual-cased,0.1,es,linear,NM_minus_MN,4,7.1959960034073704,0.9910168123458019,0.9998833813844332,7.249722402849396e-05,0.0033222591362126247,0.09336301261556088,-0.029496617959814612,-0.08880108796297556,-0.013710625520991847
distilbert-base-multilingual-cased,0.1,es,linear,NT_minus_TN,4,7.9749452155405525,0.9924946350587447,0.9998735251748233,8.643946957612176e-05,0.0033222591362126247,0.1121446524779869,0.006399386575334717,-0.010229823264510985,-0.08119964845359792
distilbert-base-multilingual-cased,0.1,es,linear,QM_minus_MQ,4,5.744228126245305,0.996838599294326,0.9998706136922402,9.398397044860803e-05,0.0033222591362126247,0.014328599267415868,-0.008897222169728734,-0.058092237248796995,0.001511263092153128
