ridge_alpha,method,pair,mean_closure_residual_ratio,std_closure_residual_ratio,mean_random_subspace_null,mean_empirical_p,cells
0.1,affine,MT_minus_TM,0.9941367453294407,0.005796252207244863,0.999877269294796,0.022201128513420848,63
0.1,affine,NM_minus_MN,0.9954441914835491,0.00466857930728631,0.9998770229389099,0.01756051257712385,63
0.1,affine,NQ_minus_QN,0.9943119652311179,0.0057654758786266835,0.9998790327246269,0.009966777408637849,63
0.1,affine,NT_minus_TN,0.9935320666165077,0.004528147120146183,0.9998778821765697,0.006380846912408348,63
0.1,affine,QM_minus_MQ,0.9966113177237037,0.0029065558392348755,0.9998779344699054,0.006591784000421849,63
0.1,affine,QT_minus_TQ,0.9919679252717798,0.012563338022535822,0.9998789318469674,0.003796867584242973,63
0.1,linear,MT_minus_TM,0.9941066087871862,0.005648089624452719,0.9998782198411085,0.008068343616516347,63
0.1,linear,NM_minus_MN,0.9958345976334957,0.004070356448036596,0.9998776923949071,0.016136687233032722,63
0.1,linear,NQ_minus_QN,0.9951255339155954,0.004174308214559639,0.999878007085925,0.0033222591362126,63
0.1,linear,NT_minus_TN,0.9941302584277503,0.004181199632489578,0.9998779901664757,0.0044824131202868475,63
0.1,linear,QM_minus_MQ,0.9969345879210826,0.0023928685034814417,0.9998781822477973,0.005220692928334095,63
0.1,linear,QT_minus_TQ,0.9922161640952938,0.010858605126632843,0.9998778272630416,0.007541000896482598,63
1.0,affine,MT_minus_TM,0.9906645333383286,0.008244035616377049,0.9998772409871912,0.0033222591362126,63
1.0,affine,NM_minus_MN,0.9920170911710692,0.011566359970354366,0.9998774336826156,0.012287085376786347,63
1.0,affine,NQ_minus_QN,0.9883730052028593,0.01517054630977695,0.999878730366385,0.011126931392712099,63
1.0,affine,NT_minus_TN,0.9908000581282416,0.011884775805192328,0.9998781233788874,0.003638664768232849,63
1.0,affine,QM_minus_MQ,0.9951673544837005,0.004970901564292446,0.9998773858473264,0.0045351473922902235,63
1.0,affine,QT_minus_TQ,0.9889159942324856,0.016381687738500794,0.9998791773700925,0.011759742656752599,63
1.0,linear,MT_minus_TM,0.9907100150010213,0.008061308166338524,0.9998783920583734,0.0033222591362126,63
1.0,linear,NM_minus_MN,0.9927216626372827,0.011016459785168332,0.9998774348206902,0.009755840320624347,63
1.0,linear,NQ_minus_QN,0.9904160039172171,0.01204749308832969,0.9998776835418639,0.0038496018562463492,63
1.0,linear,NT_minus_TN,0.9910994490971425,0.010729542308809289,0.9998785053973096,0.004798818752307098,63
1.0,linear,QM_minus_MQ,0.995110146271353,0.006257045059997537,0.9998777964750561,0.015292938880978725,63
1.0,linear,QT_minus_TQ,0.9889048219729448,0.015237127028439863,0.9998780299784341,0.005800769920371224,63
10.0,affine,MT_minus_TM,0.9871102623621514,0.017395021555031875,0.9998769201183529,0.0033222591362126,63
10.0,affine,NM_minus_MN,0.9742092119773166,0.045221105613835924,0.9998783598888497,0.009439434688604099,63
10.0,affine,NQ_minus_QN,0.9583229905102799,0.05196178754223211,0.9998787895291544,0.0033749934082159747,63
10.0,affine,NT_minus_TN,0.9665127778211153,0.05346385169724616,0.9998775302490969,0.0037441333122395985,63
10.0,affine,QM_minus_MQ,0.974120401656998,0.03218032563364492,0.9998777063864208,0.014027316352897725,63
10.0,affine,QT_minus_TQ,0.9625812026792113,0.04820495368768321,0.999879420343021,0.0033222591362126,63
10.0,linear,MT_minus_TM,0.9845816073240626,0.024240747524713675,0.9998774191197014,0.0033222591362126,63
10.0,linear,NM_minus_MN,0.9761691810677101,0.03896435813223882,0.9998783295686262,0.004957021568317224,63
10.0,linear,NQ_minus_QN,0.9778120419806818,0.025766984740240192,0.9998779608297522,0.004007804672256475,63
10.0,linear,NT_minus_TN,0.9643630227741096,0.05626587717641744,0.99987788945884,0.004007804672256471,63
10.0,linear,QM_minus_MQ,0.9769763937768536,0.02925651679540973,0.9998776960202546,0.00659178400042185,63
10.0,linear,QT_minus_TQ,0.968336776887512,0.04223497915133275,0.9998776098305882,0.0033222591362126,63
100.0,affine,MT_minus_TM,0.893542870861943,0.09929590271751661,0.9998772913124236,0.0033222591362126,63
100.0,affine,NM_minus_MN,0.8706674934693898,0.10018362247170559,0.9998779019730923,0.0033222591362126,63
100.0,affine,NQ_minus_QN,0.8320425065054631,0.08702982560224186,0.9998789691144664,0.0033222591362126,63
100.0,affine,NT_minus_TN,0.8449941159810027,0.10787426844585793,0.9998766946346432,0.0033222591362126,63
100.0,affine,QM_minus_MQ,0.8526916850300897,0.08144391070466046,0.9998772390722671,0.0033222591362126,63
100.0,affine,QT_minus_TQ,0.8363174514670587,0.09374334660546967,0.999878920782323,0.0033222591362126,63
100.0,linear,MT_minus_TM,0.8803701162048224,0.10993012203628105,0.9998780262622983,0.0033222591362126,63
100.0,linear,NM_minus_MN,0.8784183686767006,0.08613978174369863,0.9998789049489482,0.0033222591362126,63
100.0,linear,NQ_minus_QN,0.9120966873844923,0.04698083948935433,0.9998784282107482,0.0033222591362126,63
100.0,linear,NT_minus_TN,0.8556335721509634,0.09201522575660599,0.9998781726212045,0.0033222591362126,63
100.0,linear,QM_minus_MQ,0.8809365738129699,0.06778666251783709,0.9998769349829391,0.0033222591362126,63
100.0,linear,QT_minus_TQ,0.8825628031168314,0.06387709324973237,0.999876951664768,0.0033222591362126,63
