ridge_alpha,method,mean_relative_jacobi_operator_norm,mean_jacobi_coeff_norm,cells
0.1,affine,0.09703143734051323,0.011146151451960424,252
0.1,linear,0.09339991486598481,0.010525281708880889,252
1.0,affine,0.08343967674627042,0.009579015666879728,252
1.0,linear,0.07972089060587878,0.008679821069979258,252
10.0,affine,0.06432610268432207,0.009688473374205881,252
10.0,linear,0.06696072404174586,0.010119384964279408,252
100.0,affine,0.042173408307201836,0.017850132134255993,252
100.0,linear,0.07229720494076138,0.02735639546158826,252
