model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
bert-base-multilingual-cased,1.0,en,linear,NQM,4,0.024100443850940425,0.0019663830268105927,-0.0005235548738695286,0.0005919601477545942,-0.0017374622321374175,0.0004726104924170343
bert-base-multilingual-cased,1.0,en,linear,NQT,4,0.018821256924635852,0.001406472266838399,0.00046482740475112163,-0.0010579819927542073,-0.00022326062801927566,0.0007700185167657699
bert-base-multilingual-cased,1.0,en,linear,NMT,4,0.07625988475813471,0.004416669854819845,0.003171655178552721,-0.0003611198023087816,0.0021604305676809314,-0.0021563182245309645
bert-base-multilingual-cased,1.0,en,linear,QMT,4,0.05876897829846697,0.004162489496699557,0.003786653341629538,-0.00028926954974781735,-0.0005519685150995185,-0.0016122125065845092
bert-base-multilingual-cased,1.0,en,affine,NQM,4,0.03311290837281,0.0030320801711508235,-0.0021498812074145857,0.000625013530846255,-0.0011968958406947826,0.001657805595079905
bert-base-multilingual-cased,1.0,en,affine,NQT,4,0.012401623769729968,0.0006760807253822998,0.00034334253951924434,-0.0004688308776374262,-0.0002538953654589284,-0.00023438387180463316
bert-base-multilingual-cased,1.0,en,affine,NMT,4,0.07385318398497015,0.004588172301307291,0.003388473120292775,0.00028799282494721117,0.001465677476224509,-0.0027089526847111733
bert-base-multilingual-cased,1.0,en,affine,QMT,4,0.04570960593302024,0.003270809761038572,0.003039204752510839,-0.00040070578933940016,-0.00035595417947401195,-0.0010835877711222108
bert-base-multilingual-cased,1.0,es,linear,NQM,4,0.05281589297199581,0.003482540716883522,0.0021428695765927596,-0.0010826544530420847,-0.0025205011584344184,0.0001055133550962148
bert-base-multilingual-cased,1.0,es,linear,NQT,4,0.025169513729388956,0.0018590746841550558,0.0015906114622411811,-0.0007398270868195084,-0.00047465645240366277,-0.0003917537380203552
bert-base-multilingual-cased,1.0,es,linear,NMT,4,0.03472617137110167,0.0015136672432325055,0.0006831947336208946,0.0006366875019354503,0.000596526348881922,-0.0010311250259578454
bert-base-multilingual-cased,1.0,es,linear,QMT,4,0.06893740219440055,0.0040815232319474015,0.002784332459989773,0.00010664641052090759,-0.0029753743240704404,-0.00020517996968280215
bert-base-multilingual-cased,1.0,es,affine,NQM,4,0.04619963553336038,0.003141540381439771,0.0015533227018970858,-0.0010699750811089081,-0.002372425113229197,0.0008265693920738268
bert-base-multilingual-cased,1.0,es,affine,NQT,4,0.0224671255898755,0.0017044400293062393,0.0013371604525299592,-0.0006635930395779178,0.000275022162309326,-0.0007753224011685536
bert-base-multilingual-cased,1.0,es,affine,NMT,4,0.028814741959146108,0.0015150120381124772,0.0009682410095210962,0.0005385444173628027,-3.286478656157397e-05,-0.001032792641065433
bert-base-multilingual-cased,1.0,es,affine,QMT,4,0.061829129076064,0.0037209546125585276,0.0023318534034033845,7.875723440148676e-05,-0.002891880915871316,0.0001969390773953714
bert-base-multilingual-cased,1.0,fr,linear,NQM,4,0.0309953260253644,0.0023129770689719414,0.0010514846390793525,8.371850566698939e-05,-0.001672689579524136,-0.0011997265345612945
bert-base-multilingual-cased,1.0,fr,linear,NQT,4,0.027122805509472197,0.0018268414166629696,0.0014263775115058498,-0.0010833882697044495,-0.0001759963318400539,0.00031319627161125255
bert-base-multilingual-cased,1.0,fr,linear,NMT,4,0.05775711023231513,0.0025574297815994353,0.002233634334713031,-0.0009950260742832473,0.0007451307650536588,7.764020266477962e-05
bert-base-multilingual-cased,1.0,fr,linear,QMT,4,0.07154180945837509,0.004003863083660818,0.0034713336925888093,-0.0006070780087711486,-0.001698540246178522,-0.0008527480933886143
bert-base-multilingual-cased,1.0,fr,affine,NQM,4,0.026403844830083005,0.0018394204949403806,0.0005364170165151694,-8.67727845905678e-05,-0.0017146620436721723,-0.00038487543627003227
bert-base-multilingual-cased,1.0,fr,affine,NQT,4,0.02971669195416414,0.002021739088897057,0.0015747330223775885,-0.0012385136129880333,4.946375050609035e-06,0.0002714855716700877
bert-base-multilingual-cased,1.0,fr,affine,NMT,4,0.061035643733124034,0.0031408512470167344,0.0029267142231905784,-0.0009923422477338582,0.000517402151354523,-0.00021643079447428984
bert-base-multilingual-cased,1.0,fr,affine,QMT,4,0.06646706711577521,0.003903472733828298,0.00325637179103323,-0.0005580431755371467,-0.0020340091835628384,-0.00042957723138273133
bert-base-multilingual-cased,1.0,de,linear,NQM,4,0.032002048438005436,0.0023580539093252515,-0.0001393694799454912,9.47464082938429e-05,-0.0023395211172534697,0.00024219506061090297
bert-base-multilingual-cased,1.0,de,linear,NQT,4,0.025101614092271,0.002261789336597924,0.0014958916103350395,-0.0005425091320458214,0.0008937745761542007,-0.0013359828374438758
bert-base-multilingual-cased,1.0,de,linear,NMT,4,0.05326056223256834,0.002746996579866269,0.002496144648561637,-0.0011246804183717637,0.00010730296435174612,0.00019705870604091926
bert-base-multilingual-cased,1.0,de,linear,QMT,4,0.06204559966684329,0.004323323886947103,0.002754601540702853,-0.0010510748353385294,-0.002973039531326242,0.0010768367652965786
bert-base-multilingual-cased,1.0,de,affine,NQM,4,0.029974244056240437,0.002215411209694178,-0.0011543339367414732,0.0004830747934774312,-0.001719639879173593,0.0006205138357749328
bert-base-multilingual-cased,1.0,de,affine,NQT,4,0.029712681121496252,0.002481607600930944,0.0011536751368623512,-0.0007415362564646014,0.0015231378383179334,-0.0013991372589622895
bert-base-multilingual-cased,1.0,de,affine,NMT,4,0.051701776006862654,0.0025341387583619856,0.0024327251936920842,-0.0006489164008864753,-0.0002449309227318848,0.00015041185577768811
bert-base-multilingual-cased,1.0,de,affine,QMT,4,0.04816056609194379,0.0029740266634378657,0.0013949088584235497,-0.00035462984590604093,-0.0021400598985852003,0.0014810284178202095
bert-base-multilingual-cased,1.0,ru,linear,NQM,4,0.05406671826682141,0.0043017596994277575,0.0033051444478609405,-0.0011841720752388842,-0.0024642307236008567,0.00032628228189839396
