model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
BAAI/bge-m3,1.0,en,linear,NQ_minus_QN,4,9.32609164691105,0.9991397259765974,0.9998777759600305,8.625316288447768e-05,0.0033222591362126247,-0.016569994431600385,-0.03558130228197971,0.029490964084169333,0.010474752549150585
BAAI/bge-m3,1.0,en,linear,NM_minus_MN,4,8.115670694307907,0.9991350002332681,0.9998752703660301,9.821119639597656e-05,0.0033222591362126247,-0.008039994342189763,0.008259461657151995,0.04441265475472385,0.010276868774792822
BAAI/bge-m3,1.0,en,linear,NT_minus_TN,4,9.927992470687204,0.9954368234991645,0.9998809493725915,8.556184239234231e-05,0.0033222591362126247,-0.04416816540005636,-0.012360865277942938,-0.0051329253870856986,0.11978477944798942
BAAI/bge-m3,1.0,en,linear,QM_minus_MQ,4,6.388944497676419,0.9986441680489286,0.9998847574346251,8.284435321744037e-05,0.0033222591362126247,-0.014313072922955056,0.02698998663292851,0.02119620689172805,0.013471253884588613
BAAI/bge-m3,1.0,en,linear,QT_minus_TQ,4,7.159550299870358,0.995727791255151,0.9998764386320047,9.08666538215454e-05,0.0033222591362126247,-0.01663923035308561,0.04328335044734753,-0.0023746535766408735,0.05186527166423928
BAAI/bge-m3,1.0,en,linear,MT_minus_TM,4,6.872709935559675,0.9966281203303685,0.9998749857754364,9.225733013674145e-05,0.0033222591362126247,0.017779533664327708,0.018768853533983703,0.011444544262928,-0.07467483307476494
BAAI/bge-m3,1.0,en,affine,NQ_minus_QN,4,9.2876376192659,0.9991761494767875,0.9998785531332728,8.671724228290866e-05,0.0033222591362126247,-0.026354421843607884,-0.01825196295492302,0.03716976463677443,0.018812492349775143
BAAI/bge-m3,1.0,en,affine,NM_minus_MN,4,8.232840491098894,0.9990518705845094,0.9998765957381708,8.276636038944034e-05,0.0033222591362126247,0.009221318711907654,-0.00134607037591589,0.040274282853979215,0.014409836318378128
BAAI/bge-m3,1.0,en,affine,NT_minus_TN,4,9.689185091162093,0.9936927955939553,0.9998697998588534,9.244822918036939e-05,0.0033222591362126247,-0.030590443640357193,-0.03091423003620042,-0.013471616026151082,0.14351489736175263
BAAI/bge-m3,1.0,en,affine,QM_minus_MQ,4,6.367062669491406,0.9982789611813334,0.9998790016660158,8.468592360516147e-05,0.0033222591362126247,-0.014978518697268907,0.0340059117218352,0.024570573592804172,0.009291113019443648
