model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T,mean_closure_residual_ratio,mean_matrix_commutator_norm,mean_random_subspace_null,mean_empirical_p,cells
BAAI/bge-m3,0.1,en,linear,NQ_minus_QN,4.0,10.188801126263412,0.999161392533212,0.9998791089565676,8.597269933990085e-05,0.0033222591362126,-0.0244506909323664,-0.0300903155592999,0.0290307296265622,0.0132131262408105,,,,,
BAAI/bge-m3,0.1,en,linear,NM_minus_MN,4.0,9.004827691134363,0.9986346892234588,0.9998740717167772,9.989608121216252e-05,0.0033222591362126,-0.0243010030586677,0.0147581024392336,0.0555809195351708,0.0138629403515184,,,,,
BAAI/bge-m3,0.1,en,linear,NT_minus_TN,4.0,11.069310914418978,0.9935396925767912,0.999880852742756,8.515498758834492e-05,0.0033222591362126,-0.0592594538398657,-0.0145246255219027,-0.0095369638740918,0.149112987457125,,,,,
BAAI/bge-m3,0.1,en,linear,QM_minus_MQ,4.0,6.936085962307804,0.9987499304960576,0.9998848199198288,8.291431401489028e-05,0.0033222591362126,-0.0117227852026267,0.0175688105111181,0.0352037801930687,0.0126928474076859,,,,,
BAAI/bge-m3,0.1,en,linear,QT_minus_TQ,4.0,7.84322684235321,0.9947047108140392,0.9998766751573204,9.016877988202328e-05,0.0033222591362126,-0.0178016952194288,0.0389357039637753,-0.0026701823260836,0.0701636932815929,,,,,
BAAI/bge-m3,0.1,en,linear,MT_minus_TM,4.0,7.653100604444157,0.9983041616339488,0.9998748882735984,9.299637669910752e-05,0.0033222591362126,0.0127696587343288,0.015409985814801,0.0016439822918354,-0.0554485751965309,,,,,
BAAI/bge-m3,0.1,en,affine,NQ_minus_QN,4.0,10.21806922319426,0.999107666002678,0.999878455263214,8.651462435706241e-05,0.0033222591362126,-0.0335384585475658,-0.0092129528551136,0.0371569997329324,0.0219832928479725,,,,,
BAAI/bge-m3,0.1,en,affine,NM_minus_MN,4.0,9.180022673689905,0.9988671265960016,0.9998760526224896,8.393412345576132e-05,0.0033222591362126,-0.003484983552333,0.0051247004598283,0.0529203475129423,0.017274149249385,,,,,
BAAI/bge-m3,0.1,en,affine,NT_minus_TN,4.0,10.848048796788405,0.9914841798141488,0.9998704444471104,9.236569174328128e-05,0.0033222591362126,-0.0438415874988931,-0.0334227168834261,-0.0171872893897616,0.1751939544154442,,,,,
BAAI/bge-m3,0.1,en,affine,QM_minus_MQ,4.0,6.929372799180968,0.9984097985380757,0.9998784833597424,8.536570479678015e-05,0.0033222591362126,-0.0126638368586017,0.0255877901170961,0.0382322858693322,0.0086180613917068,,,,,
