model,feature,acc,f1,baseline
bert-base-uncased,norm_only,0.226,0.16363905368822468,0.2
bert-base-uncased,unit_delta_direction_only,0.732,0.7175470262426784,0.2
bert-base-uncased,full_delta_normalized,0.732,0.7175470262426784,0.2
bert-base-uncased,raw_delta_scaled,0.47,0.397317109133729,0.2
roberta-base,norm_only,0.236,0.20377689370981425,0.2
roberta-base,unit_delta_direction_only,0.746,0.7251354634280238,0.2
roberta-base,full_delta_normalized,0.746,0.7251354634280238,0.2
roberta-base,raw_delta_scaled,0.512,0.4382309177309177,0.2
distilroberta-base,norm_only,0.322,0.3227666275107482,0.2
distilroberta-base,unit_delta_direction_only,0.736,0.721816357111846,0.2
distilroberta-base,full_delta_normalized,0.736,0.721816357111846,0.2
distilroberta-base,raw_delta_scaled,0.402,0.3411579860532946,0.2
sentence-transformers/all-MiniLM-L6-v2,norm_only,0.416,0.3548517484901699,0.2
sentence-transformers/all-MiniLM-L6-v2,unit_delta_direction_only,0.764,0.7556993289377506,0.2
sentence-transformers/all-MiniLM-L6-v2,full_delta_normalized,0.764,0.7556993289377506,0.2
sentence-transformers/all-MiniLM-L6-v2,raw_delta_scaled,0.684,0.6999198684607781,0.2
sentence-transformers/all-mpnet-base-v2,norm_only,0.438,0.3650972167681874,0.2
sentence-transformers/all-mpnet-base-v2,unit_delta_direction_only,0.752,0.7420568653415152,0.2
sentence-transformers/all-mpnet-base-v2,full_delta_normalized,0.752,0.7420568653415152,0.2
sentence-transformers/all-mpnet-base-v2,raw_delta_scaled,0.484,0.45371458298918377,0.2
microsoft/deberta-v3-base,norm_only,0.274,0.22934847517581564,0.2
microsoft/deberta-v3-base,unit_delta_direction_only,0.712,0.6989604890721121,0.2
microsoft/deberta-v3-base,full_delta_normalized,0.712,0.6989604890721121,0.2
microsoft/deberta-v3-base,raw_delta_scaled,0.518,0.46297702525083884,0.2
