model,train_size,repeat,acc,f1
roberta-base,500,10,0.746,0.7251354634280238
roberta-base,500,11,0.746,0.7251354634280238
roberta-base,500,12,0.746,0.7251354634280238
roberta-base,500,13,0.746,0.7251354634280238
roberta-base,500,14,0.746,0.7251354634280238
roberta-base,500,15,0.746,0.7251354634280238
roberta-base,500,16,0.746,0.7251354634280238
roberta-base,500,17,0.746,0.7251354634280238
roberta-base,500,18,0.746,0.7251354634280238
roberta-base,500,19,0.746,0.7251354634280238
distilroberta-base,25,0,0.374,0.28669599057973694
distilroberta-base,25,1,0.396,0.28534330126677865
distilroberta-base,25,2,0.506,0.4621989206291429
distilroberta-base,25,3,0.264,0.18379527436476062
distilroberta-base,25,4,0.58,0.5465108804239238
distilroberta-base,25,5,0.366,0.27605177738710823
distilroberta-base,25,6,0.518,0.48397956101940914
distilroberta-base,25,7,0.33,0.22084769690403494
distilroberta-base,25,8,0.44,0.3654208144907349
distilroberta-base,25,9,0.466,0.4291615654652402
distilroberta-base,25,10,0.61,0.5422976727383491
distilroberta-base,25,11,0.424,0.28172802195516056
distilroberta-base,25,12,0.418,0.3376009749365435
distilroberta-base,25,13,0.484,0.3876589075288791
distilroberta-base,25,14,0.548,0.44134455955935464
distilroberta-base,25,15,0.49,0.41196898489070577
distilroberta-base,25,16,0.394,0.2430803338796934
distilroberta-base,25,17,0.45,0.3953297250013668
distilroberta-base,25,18,0.424,0.3920012558390115
distilroberta-base,25,19,0.478,0.43569188246771057
distilroberta-base,50,0,0.652,0.5951760970928966
distilroberta-base,50,1,0.66,0.6018521531140427
distilroberta-base,50,2,0.594,0.5224032385567632
distilroberta-base,50,3,0.684,0.6110917728406697
distilroberta-base,50,4,0.604,0.5428817449688504
distilroberta-base,50,5,0.632,0.5599188573101617
distilroberta-base,50,6,0.666,0.6062527461875061
distilroberta-base,50,7,0.626,0.6132354233835343
distilroberta-base,50,8,0.474,0.3534186944389925
distilroberta-base,50,9,0.468,0.44691086646369954
distilroberta-base,50,10,0.648,0.6397387894445202
distilroberta-base,50,11,0.558,0.5455056561591773
distilroberta-base,50,12,0.568,0.5119370111003088
distilroberta-base,50,13,0.53,0.43752765201951976
distilroberta-base,50,14,0.584,0.5313362990148589
distilroberta-base,50,15,0.666,0.6055703611777794
distilroberta-base,50,16,0.674,0.6003909516104639
distilroberta-base,50,17,0.504,0.4912454847613665
distilroberta-base,50,18,0.578,0.4960412956510517
