model,train_size,repeat,acc,f1
sentence-transformers/all-mpnet-base-v2,25,13,0.624,0.5959692838096744
sentence-transformers/all-mpnet-base-v2,25,14,0.52,0.4427281993132663
sentence-transformers/all-mpnet-base-v2,25,15,0.612,0.5494787166159749
sentence-transformers/all-mpnet-base-v2,25,16,0.586,0.5007873807873808
sentence-transformers/all-mpnet-base-v2,25,17,0.584,0.5423148760641956
sentence-transformers/all-mpnet-base-v2,25,18,0.514,0.46529769224105805
sentence-transformers/all-mpnet-base-v2,25,19,0.574,0.45679446888749214
sentence-transformers/all-mpnet-base-v2,50,0,0.696,0.6250817822770961
sentence-transformers/all-mpnet-base-v2,50,1,0.742,0.662671270287141
sentence-transformers/all-mpnet-base-v2,50,2,0.72,0.7058235780343268
sentence-transformers/all-mpnet-base-v2,50,3,0.518,0.516285047478763
sentence-transformers/all-mpnet-base-v2,50,4,0.55,0.4982196289055369
sentence-transformers/all-mpnet-base-v2,50,5,0.742,0.7149691327886816
sentence-transformers/all-mpnet-base-v2,50,6,0.73,0.7218161221667533
sentence-transformers/all-mpnet-base-v2,50,7,0.606,0.5613001070091758
sentence-transformers/all-mpnet-base-v2,50,8,0.596,0.5907577203045922
sentence-transformers/all-mpnet-base-v2,50,9,0.566,0.5130878722657559
sentence-transformers/all-mpnet-base-v2,50,10,0.758,0.727017745834568
sentence-transformers/all-mpnet-base-v2,50,11,0.758,0.7076058217504869
sentence-transformers/all-mpnet-base-v2,50,12,0.84,0.8375118270310173
sentence-transformers/all-mpnet-base-v2,50,13,0.854,0.8477078256930785
sentence-transformers/all-mpnet-base-v2,50,14,0.842,0.8375187007045637
sentence-transformers/all-mpnet-base-v2,50,15,0.738,0.6659396638593654
sentence-transformers/all-mpnet-base-v2,50,16,0.778,0.7054301645788108
sentence-transformers/all-mpnet-base-v2,50,17,0.678,0.5925603586542839
sentence-transformers/all-mpnet-base-v2,50,18,0.81,0.7901758685655258
sentence-transformers/all-mpnet-base-v2,50,19,0.524,0.4677385123103771
sentence-transformers/all-mpnet-base-v2,100,0,0.756,0.743782266202225
sentence-transformers/all-mpnet-base-v2,100,1,0.716,0.716508162504118
sentence-transformers/all-mpnet-base-v2,100,2,0.686,0.6727857023962479
sentence-transformers/all-mpnet-base-v2,100,3,0.786,0.7505867276604604
sentence-transformers/all-mpnet-base-v2,100,4,0.784,0.747951473843061
sentence-transformers/all-mpnet-base-v2,100,5,0.804,0.8000950011084133
sentence-transformers/all-mpnet-base-v2,100,6,0.806,0.8056090817629611
sentence-transformers/all-mpnet-base-v2,100,7,0.746,0.7115218827868233
sentence-transformers/all-mpnet-base-v2,100,8,0.68,0.6424917309131166
sentence-transformers/all-mpnet-base-v2,100,9,0.742,0.6644939017386289
sentence-transformers/all-mpnet-base-v2,100,10,0.662,0.6240172812461969
sentence-transformers/all-mpnet-base-v2,100,11,0.664,0.6411313704334748
sentence-transformers/all-mpnet-base-v2,100,12,0.798,0.7734791401393155
sentence-transformers/all-mpnet-base-v2,100,13,0.726,0.7130222253006291
sentence-transformers/all-mpnet-base-v2,100,14,0.786,0.7665517976183903
sentence-transformers/all-mpnet-base-v2,100,15,0.76,0.711297717871708
sentence-transformers/all-mpnet-base-v2,100,16,0.766,0.7407424392904912
sentence-transformers/all-mpnet-base-v2,100,17,0.68,0.6307250517776835
sentence-transformers/all-mpnet-base-v2,100,18,0.714,0.6592452619658757
sentence-transformers/all-mpnet-base-v2,100,19,0.712,0.6950012871220728
sentence-transformers/all-mpnet-base-v2,200,0,0.776,0.754093530894224
sentence-transformers/all-mpnet-base-v2,200,1,0.77,0.7493212027358369
sentence-transformers/all-mpnet-base-v2,200,2,0.81,0.8064873316007569
sentence-transformers/all-mpnet-base-v2,200,3,0.77,0.7448435597012447
sentence-transformers/all-mpnet-base-v2,200,4,0.768,0.7524109168985217
sentence-transformers/all-mpnet-base-v2,200,5,0.782,0.773853955077135
sentence-transformers/all-mpnet-base-v2,200,6,0.774,0.7652904682792551
sentence-transformers/all-mpnet-base-v2,200,7,0.764,0.738922353310439
sentence-transformers/all-mpnet-base-v2,200,8,0.788,0.7799492166656636
sentence-transformers/all-mpnet-base-v2,200,9,0.794,0.7762162956543992
sentence-transformers/all-mpnet-base-v2,200,10,0.736,0.73171808183196
sentence-transformers/all-mpnet-base-v2,200,11,0.702,0.6754888769718627
sentence-transformers/all-mpnet-base-v2,200,12,0.802,0.7895640039179657
sentence-transformers/all-mpnet-base-v2,200,13,0.75,0.7381739571797711
sentence-transformers/all-mpnet-base-v2,200,14,0.778,0.7545305370772538
sentence-transformers/all-mpnet-base-v2,200,15,0.748,0.7259935543936274
