train_model,test_model,null_type,n_null,observed_raw_f1,observed_aligned_f1,observed_gain_f1,null_mean_f1,null_std_f1,null_max_f1,null_mean_acc,p_empirical_null_ge_observed,observed_minus_null_mean_f1
bert-base-uncased,roberta-base,random_pairing,1000,0.2462072183356395,0.6498234346398973,0.4036162163042578,0.13836937580669048,0.06588368748181739,0.43510656590795965,0.19951800000000003,0.000999000999000999,0.5114540588332068
bert-base-uncased,roberta-base,random_labels,1000,0.2462072183356395,0.6498234346398973,0.4036162163042578,0.17168660093565227,0.08018490991355456,0.47512482594526284,0.20088600000000004,0.000999000999000999,0.4781368337042451
bert-base-uncased,roberta-base,random_orthogonal,1000,0.2462072183356395,0.6498234346398973,0.4036162163042578,0.11717694923456477,0.048407710047878326,0.31054411273167565,0.20413,0.000999000999000999,0.5326464854053325
bert-base-uncased,distilroberta-base,random_pairing,1000,0.2316825942466093,0.6132691468617952,0.3815865526151859,0.1352004136769854,0.06636713973799702,0.4505659835935066,0.200926,0.000999000999000999,0.4780687331848098
bert-base-uncased,distilroberta-base,random_labels,1000,0.2316825942466093,0.6132691468617952,0.3815865526151859,0.1655146651774737,0.0800366729207476,0.5104648330826939,0.200466,0.000999000999000999,0.4477544816843215
bert-base-uncased,distilroberta-base,random_orthogonal,1000,0.2316825942466093,0.6132691468617952,0.3815865526151859,0.1141216111591271,0.047351950916336386,0.29131631631631627,0.204102,0.000999000999000999,0.4991475357026681
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,random_pairing,1000,0.1657294157379263,0.7538170115036008,0.5880875957656744,0.15130192424666436,0.07175210337980754,0.4153359221974961,0.199028,0.000999000999000999,0.6025150872569365
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,random_labels,1000,0.1657294157379263,0.7538170115036008,0.5880875957656744,0.1746076988487917,0.0762180816567004,0.4602469623218151,0.198884,0.000999000999000999,0.5792093126548091
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,random_orthogonal,1000,0.1657294157379263,0.7538170115036008,0.5880875957656744,0.12883216734792194,0.05540206636692034,0.38468407108053837,0.201222,0.000999000999000999,0.6249848441556789
bert-base-uncased,sentence-transformers/all-mpnet-base-v2,random_pairing,1000,0.151719981920688,0.8570105256098959,0.7052905436892078,0.1569081046761905,0.08053395142498532,0.5048637916425384,0.202596,0.000999000999000999,0.7001024209337053
bert-base-uncased,sentence-transformers/all-mpnet-base-v2,random_labels,1000,0.151719981920688,0.8570105256098959,0.7052905436892078,0.1780075948232273,0.08312625992169628,0.5112480159038018,0.19861199999999998,0.000999000999000999,0.6790029307866685
bert-base-uncased,sentence-transformers/all-mpnet-base-v2,random_orthogonal,1000,0.151719981920688,0.8570105256098959,0.7052905436892078,0.1243085452696466,0.05185868229216216,0.30364933550444373,0.200608,0.000999000999000999,0.7327019803402492
bert-base-uncased,microsoft/deberta-v3-base,random_pairing,1000,0.1264393054103368,0.6845208126950875,0.5580815072847507,0.15425186838031726,0.06071569119690212,0.4211510693519268,0.199158,0.000999000999000999,0.5302689443147702
bert-base-uncased,microsoft/deberta-v3-base,random_labels,1000,0.1264393054103368,0.6845208126950875,0.5580815072847507,0.17458400878651661,0.06913619886175387,0.43985645860720995,0.196692,0.000999000999000999,0.5099368039085709
bert-base-uncased,microsoft/deberta-v3-base,random_orthogonal,1000,0.1264393054103368,0.6845208126950875,0.5580815072847507,0.11679791804725409,0.04338842169809193,0.29791530363409263,0.199512,0.000999000999000999,0.5677228946478334
roberta-base,bert-base-uncased,random_pairing,1000,0.1994588225604192,0.6789906125053523,0.479531789944933,0.1476853926762734,0.061811557350038085,0.4226890430200697,0.19960000000000003,0.000999000999000999,0.5313052198290789
roberta-base,bert-base-uncased,random_labels,1000,0.1994588225604192,0.6789906125053523,0.479531789944933,0.17917967625978695,0.07137674733227864,0.5296105320612362,0.19651200000000002,0.000999000999000999,0.4998109362455654
roberta-base,bert-base-uncased,random_orthogonal,1000,0.1994588225604192,0.6789906125053523,0.479531789944933,0.09685740887048801,0.02930540096072545,0.2373579503527259,0.200694,0.000999000999000999,0.5821332036348643
roberta-base,distilroberta-base,random_pairing,1000,0.4373816645690323,0.6890647576915783,0.2516830931225459,0.1324383158253289,0.06460654452088063,0.36321730194482205,0.200616,0.000999000999000999,0.5566264418662494
