train_model,test_model,alignment_size,mean_f1,std_f1,mean_acc,observed_full_anchor_f1,observed_raw_f1,mean_gap_to_full_anchor,mean_gain_over_raw,n
bert-base-uncased,distilroberta-base,25,0.47618029318849775,0.120628430218055,0.5356,0.6132691468617952,0.2316825942466093,-0.13708885367329754,0.24449769894188841,10
bert-base-uncased,distilroberta-base,50,0.5766021039632048,0.0679138125463417,0.6258,0.6132691468617952,0.2316825942466093,-0.03666704289859054,0.3449195097165954,10
bert-base-uncased,distilroberta-base,100,0.6100200635792217,0.0468767434868931,0.661,0.6132691468617952,0.2316825942466093,-0.0032490832825736505,0.3783374693326123,10
bert-base-uncased,distilroberta-base,250,0.5892680034983131,0.03353047702089654,0.6404,0.6132691468617952,0.2316825942466093,-0.02400114336348208,0.35758540925170385,10
bert-base-uncased,distilroberta-base,500,0.5914177369546442,0.02581955337273803,0.6517999999999999,0.6132691468617952,0.2316825942466093,-0.021851409907151086,0.35973514270803486,10
bert-base-uncased,distilroberta-base,1000,0.5978539536070029,0.008848330449486935,0.6578,0.6132691468617952,0.2316825942466093,-0.015415193254792348,0.3661713593603936,10
bert-base-uncased,microsoft/deberta-v3-base,25,0.47257843072548245,0.08202673831312783,0.49539999999999995,0.6845208126950875,0.1264393054103368,-0.21194238196960508,0.3461391253151456,10
bert-base-uncased,microsoft/deberta-v3-base,50,0.5963623056484212,0.05286736142007532,0.6086,0.6845208126950875,0.1264393054103368,-0.08815850704666627,0.4699230002380844,10
bert-base-uncased,microsoft/deberta-v3-base,100,0.6503381418906654,0.024688579089018222,0.6674,0.6845208126950875,0.1264393054103368,-0.034182670804421986,0.5238988364803288,10
bert-base-uncased,microsoft/deberta-v3-base,250,0.6319642474290188,0.02144789074372826,0.6488,0.6845208126950875,0.1264393054103368,-0.0525565652660687,0.505524942018682,10
bert-base-uncased,microsoft/deberta-v3-base,500,0.665440355512829,0.013623223756878251,0.6836,0.6845208126950875,0.1264393054103368,-0.019080457182258436,0.5390010501024923,10
bert-base-uncased,microsoft/deberta-v3-base,1000,0.66096319087949,0.006416365850312891,0.678,0.6845208126950875,0.1264393054103368,-0.02355762181559754,0.5345238854691532,10
bert-base-uncased,roberta-base,25,0.4980346853671202,0.11219956616697441,0.5398,0.6498234346398973,0.2462072183356395,-0.1517887492727771,0.25182746703148073,10
bert-base-uncased,roberta-base,50,0.6448515224139066,0.09204734172446245,0.6816,0.6498234346398973,0.2462072183356395,-0.004971912225990738,0.3986443040782671,10
bert-base-uncased,roberta-base,100,0.644459050393149,0.02433397441627214,0.708,0.6498234346398973,0.2462072183356395,-0.005364384246748277,0.3982518320575095,10
bert-base-uncased,roberta-base,250,0.6744578144099168,0.024121424680502913,0.7323999999999999,0.6498234346398973,0.2462072183356395,0.024634379770019466,0.4282505960742773,10
bert-base-uncased,roberta-base,500,0.6652455265781722,0.009191018740268394,0.731,0.6498234346398973,0.2462072183356395,0.015422091938274795,0.4190383082425326,10
bert-base-uncased,roberta-base,1000,0.6699463311065486,0.0071840776899459976,0.7318,0.6498234346398973,0.2462072183356395,0.02012289646665122,0.42373911277090903,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,0.4505724722882854,0.05016868400448315,0.5128,0.7538170115036008,0.1657294157379263,-0.30324453921531547,0.2848430565503591,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,0.5990177071349649,0.09633894005994041,0.6327999999999999,0.7538170115036008,0.1657294157379263,-0.15479930436863581,0.4332882913970387,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,0.7241850271536232,0.07388437092677415,0.7374,0.7538170115036008,0.1657294157379263,-0.029631984349977623,0.5584556114156969,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,250,0.776908555060486,0.04083469184882561,0.7874,0.7538170115036008,0.1657294157379263,0.02309154355688514,0.6111791393225596,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,0.7834762888657804,0.029051753501009567,0.7936,0.7538170115036008,0.1657294157379263,0.029659277362179593,0.6177468731278541,10
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,0.7964842735658677,0.008718875517504257,0.8048,0.7538170115036008,0.1657294157379263,0.04266726206226686,0.6307548578279414,10
