comparison,train_model,test_model,method,mean_target_cosine,std_target_cosine,median_target_cosine,retrieval_top1_acc,retrieval_label_acc,retrieval_label_f1,observed_raw_f1,observed_aligned_f1
within_model,bert-base-uncased,bert-base-uncased,linear_delta,0.8274236917495728,0.04714680835604668,0.829430341720581,0.388,0.478,0.43846780940670305,,
within_model,bert-base-uncased,bert-base-uncased,spherical_delta,0.8269753456115723,0.04774349927902222,0.8295048475265503,0.392,0.478,0.4371500162690979,,
within_model,bert-base-uncased,bert-base-uncased,rise_only,0.8352400064468384,0.04513387382030487,0.8402604460716248,0.416,0.526,0.4811024992369545,,
within_model,bert-base-uncased,bert-base-uncased,rise_then_ours_residual,0.8354091644287109,0.045173436403274536,0.8399899005889893,0.412,0.524,0.4806746525592196,,
within_model,bert-base-uncased,bert-base-uncased,linear_then_residual,0.8273537158966064,0.04707050696015358,0.8287227153778076,0.392,0.482,0.4420571804654753,,
within_model,bert-base-uncased,bert-base-uncased,spherical_then_residual,0.8260601162910461,0.04762524366378784,0.8281141519546509,0.396,0.486,0.44581654067008225,,
within_model,bert-base-uncased,bert-base-uncased,hybrid_average,0.8326038122177124,0.04620826989412308,0.8358508348464966,0.41,0.506,0.46241799341356044,,
within_model,roberta-base,roberta-base,linear_delta,0.9909027814865112,0.004515416920185089,0.9909454584121704,0.344,0.476,0.4246299657027953,,
within_model,roberta-base,roberta-base,spherical_delta,0.9909071922302246,0.004513437859714031,0.99095618724823,0.342,0.474,0.42239782782373847,,
within_model,roberta-base,roberta-base,rise_only,0.9909512996673584,0.0044923280365765095,0.9910057783126831,0.346,0.478,0.426593173255933,,
within_model,roberta-base,roberta-base,rise_then_ours_residual,0.9909496307373047,0.004498000256717205,0.9909986853599548,0.346,0.478,0.426593173255933,,
within_model,roberta-base,roberta-base,linear_then_residual,0.990898072719574,0.004519234877079725,0.9909452795982361,0.344,0.476,0.4246299657027953,,
within_model,roberta-base,roberta-base,spherical_then_residual,0.9908925890922546,0.004521271213889122,0.9909387230873108,0.344,0.476,0.4246299657027953,,
within_model,roberta-base,roberta-base,hybrid_average,0.9909322261810303,0.004502632189542055,0.9909775853157043,0.344,0.476,0.42449907543697246,,
within_model,distilroberta-base,distilroberta-base,linear_delta,0.994371235370636,0.002657112665474415,0.99419105052948,0.394,0.51,0.4755215067797415,,
within_model,distilroberta-base,distilroberta-base,spherical_delta,0.9943748116493225,0.0026560614351183176,0.9941871762275696,0.394,0.508,0.47357623985303243,,
within_model,distilroberta-base,distilroberta-base,rise_only,0.9943943023681641,0.002647286979481578,0.9942165017127991,0.394,0.512,0.47691633932775834,,
within_model,distilroberta-base,distilroberta-base,rise_then_ours_residual,0.9943948984146118,0.0026478476356714964,0.9942100644111633,0.394,0.512,0.47691633932775834,,
within_model,distilroberta-base,distilroberta-base,linear_then_residual,0.9943702220916748,0.0026573771610856056,0.9941887855529785,0.394,0.51,0.4755215067797415,,
within_model,distilroberta-base,distilroberta-base,spherical_then_residual,0.994368314743042,0.002658443059772253,0.9941869974136353,0.394,0.51,0.4755215067797415,,
within_model,distilroberta-base,distilroberta-base,hybrid_average,0.9943853616714478,0.0026515687350183725,0.9942017793655396,0.394,0.512,0.47691633932775834,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,linear_delta,0.888630747795105,0.06536439061164856,0.8965531587600708,0.436,0.436,0.3956769224195654,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,spherical_delta,0.8883798718452454,0.06554548442363739,0.8966135382652283,0.436,0.436,0.3956769224195654,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,rise_only,0.8880622386932373,0.06622754037380219,0.9001806974411011,0.446,0.446,0.4087060103692509,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,rise_then_ours_residual,0.8884239792823792,0.06605513393878937,0.898989200592041,0.444,0.444,0.4033475761029094,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,linear_then_residual,0.888655424118042,0.06548848003149033,0.896891713142395,0.44,0.44,0.40008822010835904,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,spherical_then_residual,0.8883579969406128,0.06564834713935852,0.8970917463302612,0.444,0.444,0.4038116483714929,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,hybrid_average,0.8891234993934631,0.06556591391563416,0.8997269868850708,0.44,0.44,0.40049754317595754,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,linear_delta,0.8540881276130676,0.07169776409864426,0.8703724145889282,0.502,0.502,0.4631953853706431,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,spherical_delta,0.854345440864563,0.07166080921888351,0.8716129064559937,0.5,0.502,0.46217427017427015,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,rise_only,0.8543025851249695,0.07337938994169235,0.8724714517593384,0.508,0.514,0.47342859438942664,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,rise_then_ours_residual,0.8557977080345154,0.07136598974466324,0.8729339838027954,0.51,0.514,0.47252868234613643,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,linear_then_residual,0.854552149772644,0.07126253098249435,0.8706737160682678,0.506,0.506,0.46576108018965157,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,spherical_then_residual,0.8545203804969788,0.07126527279615402,0.8725124597549438,0.51,0.512,0.47002299646114026,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,hybrid_average,0.8562919497489929,0.07162287831306458,0.8733533024787903,0.504,0.506,0.4647837950163531,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,linear_delta,0.97509765625,0.01227569580078125,0.9775390625,0.142,0.614,0.583451050573905,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,spherical_delta,0.97509765625,0.01226806640625,0.9775390625,0.142,0.616,0.5866238913950523,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,rise_only,0.97509765625,0.012237548828125,0.97802734375,0.134,0.628,0.5969269839801491,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,rise_then_ours_residual,0.9755859375,0.0122833251953125,0.97802734375,0.138,0.624,0.5937267699138293,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,linear_then_residual,0.97509765625,0.0122833251953125,0.9775390625,0.144,0.622,0.5898726315462118,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,spherical_then_residual,0.97509765625,0.01226806640625,0.9775390625,0.142,0.618,0.5873591524754315,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,hybrid_average,0.97509765625,0.01224517822265625,0.9775390625,0.138,0.624,0.5948671047418429,,
cross_model_full_anchor,bert-base-uncased,roberta-base,linear_delta,0.5879997611045837,0.17328333854675293,0.6077544689178467,0.332,0.43,0.3840568373388714,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,spherical_delta,0.5869089365005493,0.17659194767475128,0.60941481590271,0.32,0.414,0.3682632528598281,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,rise_only,0.5292940735816956,0.18850943446159363,0.5445871353149414,0.332,0.46,0.4210309393942727,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,rise_then_ours_residual,0.5724126100540161,0.1773386150598526,0.5915024280548096,0.34,0.444,0.4037911019119568,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,linear_then_residual,0.5863661766052246,0.17241710424423218,0.6035856008529663,0.334,0.444,0.3989053584893669,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,spherical_then_residual,0.5851559042930603,0.17255516350269318,0.6051073670387268,0.338,0.44,0.3948274073133123,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,roberta-base,hybrid_average,0.564024031162262,0.18381521105766296,0.58648681640625,0.34,0.454,0.41433911149172503,0.2462072183356395,0.6498234346398973
cross_model_full_anchor,bert-base-uncased,distilroberta-base,linear_delta,0.6283460855484009,0.15498638153076172,0.658983588218689,0.348,0.432,0.4007604036365656,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,spherical_delta,0.6282792091369629,0.1590953767299652,0.6632801294326782,0.322,0.402,0.3714721733939329,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,rise_only,0.5669953227043152,0.17229324579238892,0.5991165637969971,0.36,0.462,0.4320434252856383,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,rise_then_ours_residual,0.612489640712738,0.15939533710479736,0.642035722732544,0.35,0.444,0.4129854387421104,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,linear_then_residual,0.6263906359672546,0.15380728244781494,0.6553577184677124,0.368,0.456,0.4228658302520004,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,spherical_then_residual,0.6260654330253601,0.15394631028175354,0.658460795879364,0.352,0.438,0.4059590429957212,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,distilroberta-base,hybrid_average,0.6043249368667603,0.1667637825012207,0.6390523910522461,0.336,0.426,0.3968695742432211,0.2316825942466093,0.6132691468617952
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,linear_delta,0.7976115942001343,0.07305669784545898,0.8171371221542358,0.468,0.468,0.4444404215459886,0.1657294157379263,0.7538170115036008
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,spherical_delta,0.7797104120254517,0.08287006616592407,0.8084609508514404,0.498,0.498,0.47344839169396735,0.1657294157379263,0.7538170115036008
