comparison,prototype_method,feature,mean_acc,mean_f1,std_f1,mean_gain_vs_observed_aligned_f1,n
cross_model_full_anchor,mdv_raw,delta_only,0.7175999999999999,0.6846506543865406,0.07935892496888862,0.0,30
cross_model_full_anchor,mdv_unit,delta_only,0.7175999999999999,0.6846506543865406,0.07935892496888862,0.0,30
cross_model_full_anchor,rise_style,delta_only,0.7175999999999999,0.6846506543865406,0.07935892496888862,0.0,30
cross_model_full_anchor,mdv_raw,mdv_raw_hybrid_delta_scores,0.5037333333333334,0.4308393168710892,0.13963445174995567,-0.25381133751545143,30
cross_model_full_anchor,mdv_raw,mdv_raw_prototype_scores,0.48540000000000005,0.41358173394263326,0.15135380574433605,-0.27106892044390735,30
cross_model_full_anchor,rise_style,rise_style_prototype_scores,0.45526666666666665,0.3755632053077992,0.20402040634469637,-0.3090874490787413,30
cross_model_full_anchor,mdv_unit,mdv_unit_prototype_scores,0.44580000000000003,0.3694802888967327,0.19646171460052816,-0.31517036548980787,30
cross_model_full_anchor,rise_style,rise_style_hybrid_delta_scores,0.3801333333333333,0.28436535478058705,0.17416086677882728,-0.40028529960595355,30
cross_model_full_anchor,mdv_unit,mdv_unit_hybrid_delta_scores,0.37106666666666666,0.2764755736717854,0.16692775265270887,-0.40817508071475517,30
within_model,mdv_raw,delta_only,0.7393333333333333,0.7156237834002338,0.03384741792554819,,6
within_model,mdv_unit,delta_only,0.7393333333333333,0.7156237834002338,0.03384741792554819,,6
within_model,rise_style,delta_only,0.7393333333333333,0.7156237834002338,0.03384741792554819,,6
within_model,mdv_raw,mdv_raw_prototype_scores,0.6699999999999999,0.6332940133598507,0.07812995236328629,,6
within_model,mdv_raw,mdv_raw_hybrid_delta_scores,0.6686666666666666,0.6207561678236948,0.07647101327477336,,6
within_model,rise_style,rise_style_prototype_scores,0.6216666666666667,0.5887225441053543,0.07645515256232441,,6
within_model,mdv_unit,mdv_unit_prototype_scores,0.622,0.5885114907323826,0.08250250113074963,,6
within_model,rise_style,rise_style_hybrid_delta_scores,0.6053333333333334,0.5559753034540554,0.08222471948575946,,6
within_model,mdv_unit,mdv_unit_hybrid_delta_scores,0.6033333333333334,0.5546385748244591,0.0861163027349661,,6
