train_model,test_model,method,mean_target_cosine,std_target_cosine,median_target_cosine,retrieval_top1_acc,retrieval_label_acc,retrieval_label_f1,comparison,delta_classifier_acc,delta_classifier_f1,observed_raw_f1,observed_aligned_f1
distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,0.8570136,0.0830571,0.872421,0.248,0.248,0.1682674375608491,cross_model_full_anchor,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334
distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,0.8006516,0.0747808,0.8093507,0.566,0.566,0.530898553123306,cross_model_full_anchor,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334
distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,0.7692832,0.11239006,0.7909521,0.626,0.626,0.5843354417761997,cross_model_full_anchor,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334
distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,0.7885181,0.101880185,0.8110894,0.444,0.444,0.3578614362543499,cross_model_full_anchor,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636
distilroberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,0.7552666,0.08693974,0.754442,0.502,0.502,0.4088662573534306,cross_model_full_anchor,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636
distilroberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,0.7223401,0.10941906,0.7296853,0.554,0.562,0.469144961426065,cross_model_full_anchor,0.766,0.7550407862758636,0.1983320155126322,0.7550407862758636
distilroberta-base,microsoft/deberta-v3-base,mdv_raw,0.29837427,0.23177688,0.32505217,0.056,0.252,0.20338124048780717,cross_model_full_anchor,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064
distilroberta-base,microsoft/deberta-v3-base,mdv_unit,0.39464703,0.19180125,0.40695477,0.106,0.53,0.5206077237600449,cross_model_full_anchor,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064
distilroberta-base,microsoft/deberta-v3-base,rise_style,0.34222323,0.2020265,0.35847953,0.138,0.572,0.545881461132385,cross_model_full_anchor,0.624,0.6093627565750064,0.1739566244831048,0.6093627565750064
sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_raw,0.54552895,0.12178,0.5460037,0.302,0.424,0.3743524740216435,cross_model_full_anchor,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706
sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,mdv_unit,0.5430159,0.12725107,0.5406836,0.296,0.408,0.35670220719190626,cross_model_full_anchor,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706
sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,rise_style,0.5320222,0.12517405,0.5292342,0.296,0.408,0.3519029513111001,cross_model_full_anchor,0.688,0.6806657552611706,0.3490506294462586,0.6806657552611706
sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_raw,0.48248166,0.18462314,0.50054467,0.302,0.63,0.5926671370334926,cross_model_full_anchor,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751
sentence-transformers/all-MiniLM-L6-v2,roberta-base,mdv_unit,0.5089523,0.24154884,0.54523814,0.232,0.338,0.2298052653101513,cross_model_full_anchor,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751
sentence-transformers/all-MiniLM-L6-v2,roberta-base,rise_style,0.49438098,0.241944,0.5286223,0.242,0.354,0.24184169793923144,cross_model_full_anchor,0.676,0.6085628934661751,0.1254204328464616,0.6085628934661751
sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_raw,0.5228231,0.16861309,0.5431205,0.326,0.628,0.5977646290381434,cross_model_full_anchor,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757
sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,mdv_unit,0.56138986,0.21640779,0.594677,0.238,0.352,0.2667686061857383,cross_model_full_anchor,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757
sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,rise_style,0.5461044,0.21765655,0.5771358,0.242,0.352,0.2664887459134938,cross_model_full_anchor,0.662,0.5876716424014757,0.1319834209898403,0.5876716424014757
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,0.76644945,0.09579598,0.7785933,0.602,0.664,0.6152680409562834,cross_model_full_anchor,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,0.8153012,0.09217377,0.8291458,0.382,0.382,0.33435834861148106,cross_model_full_anchor,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,rise_style,0.812776,0.09328515,0.82779235,0.426,0.426,0.37255696041608244,cross_model_full_anchor,0.774,0.7582615545746682,0.2265264356015801,0.7582615545746682
sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_raw,0.28435627,0.26060143,0.30068886,0.08,0.376,0.294944334683768,cross_model_full_anchor,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815
sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,mdv_unit,0.27068964,0.265961,0.2870205,0.08,0.36,0.278491053025835,cross_model_full_anchor,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815
sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,rise_style,0.25629514,0.26483575,0.27178878,0.074,0.352,0.27000331308508857,cross_model_full_anchor,0.722,0.7126893132076815,0.1443987312422325,0.7126893132076815
sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_raw,0.5285099,0.1282258,0.5228889,0.234,0.302,0.23163649110244572,cross_model_full_anchor,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256
sentence-transformers/all-mpnet-base-v2,bert-base-uncased,mdv_unit,0.5399933,0.12178331,0.5382452,0.28,0.37,0.29980912576186725,cross_model_full_anchor,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256
sentence-transformers/all-mpnet-base-v2,bert-base-uncased,rise_style,0.52372986,0.11758333,0.5263928,0.292,0.384,0.313445456122181,cross_model_full_anchor,0.646,0.6090215612099256,0.1959279184405885,0.6090215612099256
sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_raw,0.54989684,0.1910342,0.57583004,0.248,0.39,0.2873509691023962,cross_model_full_anchor,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541
sentence-transformers/all-mpnet-base-v2,roberta-base,mdv_unit,0.5530774,0.20388135,0.5794736,0.248,0.364,0.24913474083122616,cross_model_full_anchor,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541
sentence-transformers/all-mpnet-base-v2,roberta-base,rise_style,0.5342041,0.20107578,0.5586087,0.238,0.37,0.25647613978233696,cross_model_full_anchor,0.686,0.6122214404465541,0.3084008246165166,0.6122214404465541
sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_raw,0.58830553,0.18104137,0.6166665,0.248,0.398,0.30867882851317324,cross_model_full_anchor,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219
sentence-transformers/all-mpnet-base-v2,distilroberta-base,mdv_unit,0.5920323,0.193226,0.6276497,0.26,0.372,0.27417383843119336,cross_model_full_anchor,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219
sentence-transformers/all-mpnet-base-v2,distilroberta-base,rise_style,0.5718063,0.19169092,0.6024003,0.25,0.38,0.28175046338124365,cross_model_full_anchor,0.578,0.5322147931313219,0.2738993958272756,0.5322147931313219
sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,0.85720044,0.07791007,0.87285346,0.232,0.232,0.15673201345755694,cross_model_full_anchor,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465
sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,0.85696375,0.07407858,0.8633646,0.496,0.496,0.45304424511288605,cross_model_full_anchor,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465
sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,0.8473151,0.0822907,0.8614043,0.51,0.51,0.46351819570214275,cross_model_full_anchor,0.716,0.6681281215989465,0.3468954379673927,0.6681281215989465
sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_raw,0.28439745,0.25695637,0.30963737,0.062,0.276,0.18195116919160895,cross_model_full_anchor,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844
sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,mdv_unit,0.32056725,0.2650745,0.33921546,0.098,0.36,0.259317724573726,cross_model_full_anchor,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844
sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,rise_style,0.30485603,0.26314604,0.32321978,0.092,0.358,0.2619391992624819,cross_model_full_anchor,0.706,0.6894125794001844,0.1959718520098091,0.6894125794001844
microsoft/deberta-v3-base,bert-base-uncased,mdv_raw,0.56213903,0.11873733,0.56508356,0.446,0.592,0.5373732814369028,cross_model_full_anchor,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124
microsoft/deberta-v3-base,bert-base-uncased,mdv_unit,0.5716498,0.11511379,0.5740957,0.404,0.524,0.4704377743277174,cross_model_full_anchor,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124
microsoft/deberta-v3-base,bert-base-uncased,rise_style,0.5203202,0.13040836,0.5315927,0.46,0.616,0.5557583301626123,cross_model_full_anchor,0.782,0.7613906874812124,0.1028011513794887,0.7613906874812124
