comparison,method,mean_target_cosine,std_target_cosine,mean_retrieval_top1_acc,mean_retrieval_label_acc,mean_retrieval_label_f1,mean_delta_classifier_f1,n
cross_model_full_anchor,mdv_raw,0.5768973,0.18219629,0.3156666666666667,0.46673333333333333,0.4113623059365004,0.6846506543865406,30
cross_model_full_anchor,mdv_unit,0.6135592,0.1583256,0.3485333333333333,0.4632,0.4076738677736128,0.6846506543865406,30
cross_model_full_anchor,rise_style,0.5783469,0.1614122,0.37779999999999997,0.5036666666666666,0.44551804890407903,0.6846506543865406,30
within_model,mdv_raw,0.9224262,0.07327304,0.36033333333333334,0.49533333333333335,0.4567459520171418,0.7156237834002338,6
within_model,mdv_unit,0.9217524,0.07412744,0.36766666666666664,0.5026666666666667,0.46349044004222556,0.7156237834002338,6
within_model,rise_style,0.923008,0.07220871,0.37399999999999994,0.5173333333333333,0.4772789334265788,0.7156237834002338,6
