model,true_f1,shuffle_mean_f1,shuffle_std_f1,shuffle_max_f1,p_empirical
bert-base-uncased,0.7175470262426784,0.18066219817956192,0.06970435060482104,0.42530765275926197,0.009900990099009901
roberta-base,0.7251354634280238,0.17377914879562123,0.07657706731868372,0.4139412706019991,0.009900990099009901
distilroberta-base,0.721816357111846,0.17671172761591197,0.08287700865598747,0.42206145170210474,0.009900990099009901
sentence-transformers/all-MiniLM-L6-v2,0.7556993289377506,0.18561903059135673,0.09047241494023342,0.3984375250315798,0.009900990099009901
sentence-transformers/all-mpnet-base-v2,0.7420568653415152,0.20847993170312262,0.09851448513384951,0.4838102286682435,0.009900990099009901
microsoft/deberta-v3-base,0.6989604890721121,0.18164200868741653,0.07041304078518786,0.4433741528596541,0.009900990099009901
