comparison,method,mean_target_cosine,std_target_cosine,mean_retrieval_top1_acc,mean_retrieval_label_acc,mean_retrieval_label_f1,n
cross_model_full_anchor,linear_delta,0.6135591864585876,0.15832559063522592,0.3485333333333333,0.4632,0.4076738677736128,30
cross_model_full_anchor,linear_then_residual,0.6128526488939922,0.15784919183326007,0.3486,0.4639333333333333,0.40750627323270466,30
cross_model_full_anchor,spherical_delta,0.6047949800888698,0.1538318920315245,0.3581333333333333,0.4696666666666667,0.41269531263197234,30
cross_model_full_anchor,rise_then_ours_residual,0.5998117804527283,0.15497133878001065,0.3669333333333333,0.4861333333333333,0.42850938563116725,30
cross_model_full_anchor,spherical_then_residual,0.5973875204722087,0.14652907773757423,0.37093333333333334,0.49046666666666666,0.4326300855102279,30
cross_model_full_anchor,hybrid_average,0.5968525658051173,0.1587244897964259,0.3716666666666667,0.49133333333333334,0.43390166485099646,30
cross_model_full_anchor,rise_only,0.5783468584219614,0.16141219928856929,0.37779999999999997,0.5036666666666666,0.44551804890407903,30
within_model,rise_then_ours_residual,0.923426886399587,0.071919920742295,0.37399999999999994,0.516,0.475631198917631,6
within_model,hybrid_average,0.9230724175771078,0.07237933898978431,0.37166666666666665,0.5106666666666667,0.47066364185207415,6
within_model,rise_only,0.923008014758428,0.07220871053070589,0.37399999999999994,0.5173333333333333,0.4772789334265788,6
within_model,linear_then_residual,0.9218212068080902,0.07405748456827324,0.37000000000000005,0.506,0.46632176413203913,6
within_model,linear_delta,0.9217523733774821,0.07412744387515424,0.36766666666666664,0.5026666666666667,0.46349044004222556,6
within_model,spherical_delta,0.9216800530751547,0.07421886382309487,0.36766666666666664,0.5023333333333333,0.4629331946557928,6
within_model,spherical_then_residual,0.921549508968989,0.07441941945624032,0.37166666666666665,0.5076666666666666,0.4678603017434473,6
