model,compare,delta_acc,y_only_acc,diff,b_delta_correct_y_wrong,c_delta_wrong_y_correct,p_value
bert-base-uncased,delta_vs_y_only,0.8,0.748,0.052000000000000046,78,52,0.027944840955287726
roberta-base,delta_vs_y_only,0.828,0.634,0.19399999999999995,110,13,2.6124651194145632e-20
distilroberta-base,delta_vs_y_only,0.852,0.644,0.20799999999999996,114,10,1.6790570008398702e-23
sentence-transformers/all-MiniLM-L6-v2,delta_vs_y_only,0.77,0.622,0.14800000000000002,133,59,9.662849171339733e-08
sentence-transformers/all-mpnet-base-v2,delta_vs_y_only,0.588,0.598,-0.010000000000000009,79,84,0.7541603898054376
microsoft/deberta-v3-base,delta_vs_y_only,0.752,0.748,0.0040000000000000036,31,29,0.8974218269914307
