train_model,test_model,alignment_size,repeat,heldout_anchor_pool_size,observed_full_anchor_f1,observed_raw_f1,heldout_acc,heldout_f1,heldout_minus_raw_f1,heldout_minus_full_anchor_f1
bert-base-uncased,roberta-base,25,0,1200,0.6498234346398973,0.2462072183356395,0.514,0.43261196211397446,0.18640474377833496,-0.21721147252592288
bert-base-uncased,roberta-base,25,1,1200,0.6498234346398973,0.2462072183356395,0.492,0.4578403120587947,0.21163309372315522,-0.19198312258110262
bert-base-uncased,roberta-base,25,2,1200,0.6498234346398973,0.2462072183356395,0.652,0.6285419490693023,0.38233473073366275,-0.02128148557059506
bert-base-uncased,roberta-base,25,3,1200,0.6498234346398973,0.2462072183356395,0.52,0.4762800375223931,0.23007281918675362,-0.17354339711750422
bert-base-uncased,roberta-base,25,4,1200,0.6498234346398973,0.2462072183356395,0.354,0.28863216915135925,0.04242495081571976,-0.3611912654885381
bert-base-uncased,roberta-base,25,5,1200,0.6498234346398973,0.2462072183356395,0.54,0.46285942780877837,0.21665220947313887,-0.18696400683111897
bert-base-uncased,roberta-base,25,6,1200,0.6498234346398973,0.2462072183356395,0.48,0.45085764706177256,0.20465042872613307,-0.19896578757812478
bert-base-uncased,roberta-base,25,7,1200,0.6498234346398973,0.2462072183356395,0.642,0.6441217658976944,0.3979145475620549,-0.005701668742202903
bert-base-uncased,roberta-base,25,8,1200,0.6498234346398973,0.2462072183356395,0.534,0.49484940957462753,0.24864219123898804,-0.1549740250652698
bert-base-uncased,roberta-base,25,9,1200,0.6498234346398973,0.2462072183356395,0.67,0.6437521734125057,0.39754495507686616,-0.0060712612273916555
bert-base-uncased,roberta-base,50,0,1200,0.6498234346398973,0.2462072183356395,0.762,0.7151062264680315,0.46889900813239194,0.06528279182813412
bert-base-uncased,roberta-base,50,1,1200,0.6498234346398973,0.2462072183356395,0.778,0.7672304036379096,0.5210231853022701,0.11740696899801228
bert-base-uncased,roberta-base,50,2,1200,0.6498234346398973,0.2462072183356395,0.708,0.6548648579806774,0.4086576396450379,0.00504142334078006
bert-base-uncased,roberta-base,50,3,1200,0.6498234346398973,0.2462072183356395,0.73,0.6545121596861982,0.4083049413505587,0.004688725046300912
bert-base-uncased,roberta-base,50,4,1200,0.6498234346398973,0.2462072183356395,0.61,0.5821787101001354,0.3359714917644959,-0.06764472453976189
bert-base-uncased,roberta-base,50,5,1200,0.6498234346398973,0.2462072183356395,0.796,0.7819004973347103,0.5356932789990708,0.132077062694813
bert-base-uncased,roberta-base,50,6,1200,0.6498234346398973,0.2462072183356395,0.628,0.5682844574780058,0.3220772391423663,-0.08153897716189151
bert-base-uncased,roberta-base,50,7,1200,0.6498234346398973,0.2462072183356395,0.548,0.5599082617326298,0.31370104339699023,-0.08991517290726758
bert-base-uncased,roberta-base,50,8,1200,0.6498234346398973,0.2462072183356395,0.688,0.6614043975603632,0.41519717922472366,0.011580962920465843
bert-base-uncased,roberta-base,50,9,1200,0.6498234346398973,0.2462072183356395,0.568,0.5031252521604047,0.2569180338247652,-0.14669818247949262
bert-base-uncased,roberta-base,100,0,1200,0.6498234346398973,0.2462072183356395,0.716,0.6555574143888988,0.4093501960532593,0.005733979749001472
bert-base-uncased,roberta-base,100,1,1200,0.6498234346398973,0.2462072183356395,0.704,0.6213259765549213,0.37511875821928176,-0.028497458084976057
bert-base-uncased,roberta-base,100,2,1200,0.6498234346398973,0.2462072183356395,0.716,0.6502253688214614,0.4040181504858219,0.0004019341815640898
bert-base-uncased,roberta-base,100,3,1200,0.6498234346398973,0.2462072183356395,0.68,0.6074573643624486,0.36125014602680905,-0.042366070277448764
bert-base-uncased,roberta-base,100,4,1200,0.6498234346398973,0.2462072183356395,0.696,0.6474791811697027,0.4012719628340632,-0.002344253470194624
bert-base-uncased,roberta-base,100,5,1200,0.6498234346398973,0.2462072183356395,0.714,0.6398468160500728,0.39363959771443324,-0.00997661858982457
bert-base-uncased,roberta-base,100,6,1200,0.6498234346398973,0.2462072183356395,0.748,0.69706263488074,0.45085541654510053,0.047239200240842716
bert-base-uncased,roberta-base,100,7,1200,0.6498234346398973,0.2462072183356395,0.678,0.6271867238828255,0.38097950554718596,-0.022636710757071854
bert-base-uncased,roberta-base,100,8,1200,0.6498234346398973,0.2462072183356395,0.726,0.6572028985140708,0.41099568017843124,0.007379463874173431
bert-base-uncased,roberta-base,100,9,1200,0.6498234346398973,0.2462072183356395,0.702,0.6412461253063487,0.3950389069707092,-0.00857730933354861
bert-base-uncased,roberta-base,250,0,1200,0.6498234346398973,0.2462072183356395,0.744,0.6843156081367886,0.4381083898011491,0.034492173496891265
bert-base-uncased,roberta-base,250,1,1200,0.6498234346398973,0.2462072183356395,0.714,0.6425344439905256,0.3963272256548861,-0.007288990649371718
bert-base-uncased,roberta-base,250,2,1200,0.6498234346398973,0.2462072183356395,0.724,0.6685652616132499,0.4223580432776104,0.018741826973352582
bert-base-uncased,roberta-base,250,3,1200,0.6498234346398973,0.2462072183356395,0.76,0.7230637657750036,0.4768565474393641,0.0732403311351063
bert-base-uncased,roberta-base,250,4,1200,0.6498234346398973,0.2462072183356395,0.706,0.6363129310561628,0.3901057127205233,-0.013510503583734512
bert-base-uncased,roberta-base,250,5,1200,0.6498234346398973,0.2462072183356395,0.748,0.6861041566481337,0.4398969383124942,0.0362807220082364
bert-base-uncased,roberta-base,250,6,1200,0.6498234346398973,0.2462072183356395,0.718,0.6777150471604829,0.4315078288248434,0.027891612520585585
bert-base-uncased,roberta-base,250,7,1200,0.6498234346398973,0.2462072183356395,0.738,0.6674002544073657,0.4211930360717262,0.017576819767468388
bert-base-uncased,roberta-base,250,8,1200,0.6498234346398973,0.2462072183356395,0.738,0.6757203112932929,0.4295130929576534,0.025896876653395573
bert-base-uncased,roberta-base,250,9,1200,0.6498234346398973,0.2462072183356395,0.734,0.6828463640181621,0.4366391456825226,0.03302292937826479
bert-base-uncased,roberta-base,500,0,1200,0.6498234346398973,0.2462072183356395,0.722,0.6633363578609118,0.4171291395252723,0.013512923221014495
bert-base-uncased,roberta-base,500,1,1200,0.6498234346398973,0.2462072183356395,0.728,0.6620421454303852,0.4158349270947457,0.012218710790487863
bert-base-uncased,roberta-base,500,2,1200,0.6498234346398973,0.2462072183356395,0.722,0.657347010469101,0.4111397921334615,0.00752357582920371
bert-base-uncased,roberta-base,500,3,1200,0.6498234346398973,0.2462072183356395,0.736,0.6832336301194655,0.43702641178382595,0.03341019547956814
bert-base-uncased,roberta-base,500,4,1200,0.6498234346398973,0.2462072183356395,0.75,0.6682967795193553,0.42208956118371577,0.018473344879457954
bert-base-uncased,roberta-base,500,5,1200,0.6498234346398973,0.2462072183356395,0.738,0.6750231673301712,0.4288159489945317,0.02519973269027387
bert-base-uncased,roberta-base,500,6,1200,0.6498234346398973,0.2462072183356395,0.722,0.6573599115628822,0.4111526932272427,0.007536476922984869
bert-base-uncased,roberta-base,500,7,1200,0.6498234346398973,0.2462072183356395,0.736,0.6647582036007308,0.41855098526509127,0.014934768960833456
bert-base-uncased,roberta-base,500,8,1200,0.6498234346398973,0.2462072183356395,0.734,0.6691483377940561,0.4229411194584166,0.0193249031541588
bert-base-uncased,roberta-base,500,9,1200,0.6498234346398973,0.2462072183356395,0.722,0.6519097220946621,0.4057025037590226,0.0020862874547648014
bert-base-uncased,roberta-base,1000,0,1200,0.6498234346398973,0.2462072183356395,0.736,0.6740319875153109,0.4278247691796714,0.02420855287541357
bert-base-uncased,roberta-base,1000,1,1200,0.6498234346398973,0.2462072183356395,0.744,0.6852515794768416,0.43904436114120204,0.03542814483694423
bert-base-uncased,roberta-base,1000,2,1200,0.6498234346398973,0.2462072183356395,0.732,0.6711149308417452,0.4249077125061057,0.021291496201847893
bert-base-uncased,roberta-base,1000,3,1200,0.6498234346398973,0.2462072183356395,0.732,0.6727148733118883,0.42650765497624876,0.02289143867199095
bert-base-uncased,roberta-base,1000,4,1200,0.6498234346398973,0.2462072183356395,0.728,0.6667950667594198,0.4205878484237803,0.016971632119522462
bert-base-uncased,roberta-base,1000,5,1200,0.6498234346398973,0.2462072183356395,0.726,0.6612685533614544,0.4150613350258149,0.011445118721557068
bert-base-uncased,roberta-base,1000,6,1200,0.6498234346398973,0.2462072183356395,0.728,0.6604974320991717,0.41429021376353214,0.010673997459274331
bert-base-uncased,roberta-base,1000,7,1200,0.6498234346398973,0.2462072183356395,0.73,0.6666231654316292,0.42041594709598973,0.016799730791731915
bert-base-uncased,roberta-base,1000,8,1200,0.6498234346398973,0.2462072183356395,0.728,0.6675699451078909,0.4213627267722514,0.01774651046799358
bert-base-uncased,roberta-base,1000,9,1200,0.6498234346398973,0.2462072183356395,0.734,0.6735957771601335,0.427388558824494,0.02377234252023619
bert-base-uncased,distilroberta-base,25,0,1200,0.6132691468617952,0.2316825942466093,0.698,0.6914889988652124,0.4598064046186031,0.07821985200341719
bert-base-uncased,distilroberta-base,25,1,1200,0.6132691468617952,0.2316825942466093,0.648,0.5794408968355329,0.3477583025889236,-0.03382825002626233
bert-base-uncased,distilroberta-base,25,2,1200,0.6132691468617952,0.2316825942466093,0.46,0.41236075645324827,0.18067816220663896,-0.20090839040854697
bert-base-uncased,distilroberta-base,25,3,1200,0.6132691468617952,0.2316825942466093,0.568,0.5009476847775974,0.2692650905309881,-0.1123214620841978
bert-base-uncased,distilroberta-base,25,4,1200,0.6132691468617952,0.2316825942466093,0.604,0.5904886183430376,0.35880602409642826,-0.02278052851875767
bert-base-uncased,distilroberta-base,25,5,1200,0.6132691468617952,0.2316825942466093,0.468,0.3832125644363701,0.15152997018976078,-0.23005658242542515
bert-base-uncased,distilroberta-base,25,6,1200,0.6132691468617952,0.2316825942466093,0.512,0.4707329266623287,0.23905033241571938,-0.14253622019946655
bert-base-uncased,distilroberta-base,25,7,1200,0.6132691468617952,0.2316825942466093,0.436,0.3128953960814736,0.08121280183486429,-0.30037375078032164
bert-base-uncased,distilroberta-base,25,8,1200,0.6132691468617952,0.2316825942466093,0.434,0.332257352881011,0.10057475863440168,-0.28101179398078424
bert-base-uncased,distilroberta-base,25,9,1200,0.6132691468617952,0.2316825942466093,0.528,0.4879777365491652,0.2562951423025559,-0.12529141031263002
bert-base-uncased,distilroberta-base,50,0,1200,0.6132691468617952,0.2316825942466093,0.674,0.6141304463057516,0.38244785205914233,0.0008612994439564092
bert-base-uncased,distilroberta-base,50,1,1200,0.6132691468617952,0.2316825942466093,0.536,0.5199962820022295,0.28831368775562016,-0.09327286485956576
bert-base-uncased,distilroberta-base,50,2,1200,0.6132691468617952,0.2316825942466093,0.63,0.5793479930539145,0.3476653988073052,-0.033921153807880744
bert-base-uncased,distilroberta-base,50,3,1200,0.6132691468617952,0.2316825942466093,0.584,0.5012439772619828,0.26956138301537347,-0.11202516959981246
bert-base-uncased,distilroberta-base,50,4,1200,0.6132691468617952,0.2316825942466093,0.588,0.5511735146266287,0.31949092038001936,-0.062095632235166565
bert-base-uncased,distilroberta-base,50,5,1200,0.6132691468617952,0.2316825942466093,0.576,0.5196877258896804,0.28800513164307107,-0.09358142097211486
bert-base-uncased,distilroberta-base,50,6,1200,0.6132691468617952,0.2316825942466093,0.732,0.6963329874145814,0.4646503931679721,0.08306384055278615
bert-base-uncased,distilroberta-base,50,7,1200,0.6132691468617952,0.2316825942466093,0.73,0.6570931745198064,0.4254105802731971,0.04382402765801119
bert-base-uncased,distilroberta-base,50,8,1200,0.6132691468617952,0.2316825942466093,0.528,0.5079714661277837,0.27628887188117435,-0.10529768073401158
bert-base-uncased,distilroberta-base,50,9,1200,0.6132691468617952,0.2316825942466093,0.68,0.619043472429688,0.38736087818307874,0.005774325567892813
bert-base-uncased,distilroberta-base,100,0,1200,0.6132691468617952,0.2316825942466093,0.61,0.5604185853603311,0.32873599111372176,-0.052850561501464166
bert-base-uncased,distilroberta-base,100,1,1200,0.6132691468617952,0.2316825942466093,0.586,0.5339677813649747,0.3022851871183654,-0.07930136549682054
bert-base-uncased,distilroberta-base,100,2,1200,0.6132691468617952,0.2316825942466093,0.672,0.6134208671057607,0.3817382728591514,0.00015172024396548078
bert-base-uncased,distilroberta-base,100,3,1200,0.6132691468617952,0.2316825942466093,0.692,0.6269492945701278,0.3952667003235185,0.01368014770833259
bert-base-uncased,distilroberta-base,100,4,1200,0.6132691468617952,0.2316825942466093,0.662,0.6084686166067647,0.37678602236015535,-0.004800530255030577
bert-base-uncased,distilroberta-base,100,5,1200,0.6132691468617952,0.2316825942466093,0.702,0.6798395213861392,0.4481569271395299,0.066570374524344
bert-base-uncased,distilroberta-base,100,6,1200,0.6132691468617952,0.2316825942466093,0.722,0.6834758159570238,0.45179322171041447,0.07020666909522855
bert-base-uncased,distilroberta-base,100,7,1200,0.6132691468617952,0.2316825942466093,0.66,0.6056742043959077,0.3739916101492984,-0.007594942465887544
bert-base-uncased,distilroberta-base,100,8,1200,0.6132691468617952,0.2316825942466093,0.63,0.5793487226039906,0.3476661283573813,-0.033920424257804616
bert-base-uncased,distilroberta-base,100,9,1200,0.6132691468617952,0.2316825942466093,0.674,0.6086372264411956,0.37695463219458625,-0.004631920420599678
bert-base-uncased,distilroberta-base,250,0,1200,0.6132691468617952,0.2316825942466093,0.666,0.6058258713948003,0.37414327714819096,-0.00744327546699497
bert-base-uncased,distilroberta-base,250,1,1200,0.6132691468617952,0.2316825942466093,0.624,0.5789518106659598,0.3472692164193505,-0.034317336195835435
bert-base-uncased,distilroberta-base,250,2,1200,0.6132691468617952,0.2316825942466093,0.696,0.6443899620987426,0.41270736785213324,0.03112081523694732
bert-base-uncased,distilroberta-base,250,3,1200,0.6132691468617952,0.2316825942466093,0.666,0.6251182919011591,0.3934356976545498,0.011849145039363851
bert-base-uncased,distilroberta-base,250,4,1200,0.6132691468617952,0.2316825942466093,0.622,0.5710100131613896,0.33932741891478024,-0.04225913370040568
bert-base-uncased,distilroberta-base,250,5,1200,0.6132691468617952,0.2316825942466093,0.678,0.6196144770490447,0.3879318828024354,0.006345330187249476
bert-base-uncased,distilroberta-base,250,6,1200,0.6132691468617952,0.2316825942466093,0.614,0.5658475801740588,0.3341649859274495,-0.04742156668773645
bert-base-uncased,distilroberta-base,250,7,1200,0.6132691468617952,0.2316825942466093,0.6,0.550755179142276,0.3190725848956667,-0.06251396771951923
bert-base-uncased,distilroberta-base,250,8,1200,0.6132691468617952,0.2316825942466093,0.588,0.5431508524165896,0.31146825816998025,-0.07011829444520568
bert-base-uncased,distilroberta-base,250,9,1200,0.6132691468617952,0.2316825942466093,0.65,0.5880159969791112,0.3563334027325019,-0.02525314988268401
bert-base-uncased,distilroberta-base,500,0,1200,0.6132691468617952,0.2316825942466093,0.65,0.591175805539853,0.35949321129324374,-0.022093341321942184
bert-base-uncased,distilroberta-base,500,1,1200,0.6132691468617952,0.2316825942466093,0.696,0.6248992071539561,0.3932166129073468,0.011630060292160849
bert-base-uncased,distilroberta-base,500,2,1200,0.6132691468617952,0.2316825942466093,0.686,0.6190566963392693,0.38737410209266,0.005787549477474063
bert-base-uncased,distilroberta-base,500,3,1200,0.6132691468617952,0.2316825942466093,0.582,0.536540749671952,0.30485815542534267,-0.07672839718984326
bert-base-uncased,distilroberta-base,500,4,1200,0.6132691468617952,0.2316825942466093,0.678,0.6096408275910716,0.3779582333444623,-0.003628319270723601
bert-base-uncased,distilroberta-base,500,5,1200,0.6132691468617952,0.2316825942466093,0.66,0.5967024397924207,0.36501984554581135,-0.016566707069374575
bert-base-uncased,distilroberta-base,500,6,1200,0.6132691468617952,0.2316825942466093,0.658,0.5953734033604634,0.3636908091138541,-0.01789574350133183
bert-base-uncased,distilroberta-base,500,7,1200,0.6132691468617952,0.2316825942466093,0.632,0.5748403719431527,0.34315777769654343,-0.038428774918642494
bert-base-uncased,distilroberta-base,500,8,1200,0.6132691468617952,0.2316825942466093,0.622,0.5705176147417876,0.33883502049517833,-0.042751532120007596
bert-base-uncased,distilroberta-base,500,9,1200,0.6132691468617952,0.2316825942466093,0.654,0.595430253412515,0.3637476591659057,-0.017838893449280246
bert-base-uncased,distilroberta-base,1000,0,1200,0.6132691468617952,0.2316825942466093,0.652,0.5946427392598281,0.3629601450132188,-0.0186264076019671
bert-base-uncased,distilroberta-base,1000,1,1200,0.6132691468617952,0.2316825942466093,0.68,0.610082053956903,0.37839945971029365,-0.0031870929048922747
bert-base-uncased,distilroberta-base,1000,2,1200,0.6132691468617952,0.2316825942466093,0.646,0.591241066967884,0.3595584727212747,-0.0220280798939112
bert-base-uncased,distilroberta-base,1000,3,1200,0.6132691468617952,0.2316825942466093,0.656,0.5974178167989065,0.3657352225522972,-0.015851330062888747
bert-base-uncased,distilroberta-base,1000,4,1200,0.6132691468617952,0.2316825942466093,0.644,0.5869385054691553,0.35525591122254596,-0.026330641392639964
bert-base-uncased,distilroberta-base,1000,5,1200,0.6132691468617952,0.2316825942466093,0.654,0.5964940301063217,0.36481143585971243,-0.016775116755473496
bert-base-uncased,distilroberta-base,1000,6,1200,0.6132691468617952,0.2316825942466093,0.67,0.6051551585638285,0.3734725643172192,-0.008113988297966723
bert-base-uncased,distilroberta-base,1000,7,1200,0.6132691468617952,0.2316825942466093,0.668,0.6069843950588671,0.37530180081225784,-0.00628475180292809
bert-base-uncased,distilroberta-base,1000,8,1200,0.6132691468617952,0.2316825942466093,0.666,0.605385662859171,0.37370306861256164,-0.007883484002624286
bert-base-uncased,distilroberta-base,1000,9,1200,0.6132691468617952,0.2316825942466093,0.642,0.5841981070291636,0.35251551278255433,-0.029071039832631596
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,0,1200,0.7538170115036008,0.1657294157379263,0.492,0.4159336715786045,0.2502042558406782,-0.3378833399249963
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,1,1200,0.7538170115036008,0.1657294157379263,0.49,0.4714492845531487,0.3057198688152224,-0.2823677269504521
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,2,1200,0.7538170115036008,0.1657294157379263,0.47,0.4483554419529489,0.28262602621502264,-0.3054615695506519
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,3,1200,0.7538170115036008,0.1657294157379263,0.564,0.4918738325275444,0.32614441678961814,-0.2619431789760564
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,4,1200,0.7538170115036008,0.1657294157379263,0.592,0.5067057828045703,0.340976367066644,-0.24711122869903046
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,5,1200,0.7538170115036008,0.1657294157379263,0.522,0.45925717032119484,0.2935277545832685,-0.29455984118240597
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,6,1200,0.7538170115036008,0.1657294157379263,0.516,0.414131683918918,0.24840226818099173,-0.3396853275846828
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,7,1200,0.7538170115036008,0.1657294157379263,0.492,0.43356335577131466,0.26783394003338834,-0.32025365573228615
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,8,1200,0.7538170115036008,0.1657294157379263,0.424,0.349194249378426,0.18346483364049973,-0.4046227621251748
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,25,9,1200,0.7538170115036008,0.1657294157379263,0.566,0.5152602500761831,0.3495308343382568,-0.23855676142741766
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,0,1200,0.7538170115036008,0.1657294157379263,0.6,0.5602077207837614,0.39447830504583503,-0.19360929071983946
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,1,1200,0.7538170115036008,0.1657294157379263,0.58,0.5400152493612639,0.37428583362333756,-0.21380176214233693
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,2,1200,0.7538170115036008,0.1657294157379263,0.73,0.7159227438649758,0.5501933281270495,-0.03789426763862502
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,3,1200,0.7538170115036008,0.1657294157379263,0.69,0.6662271852487291,0.5004977695108028,-0.08758982625487166
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,4,1200,0.7538170115036008,0.1657294157379263,0.75,0.7251450487460247,0.5594156330080984,-0.028671962757576108
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,5,1200,0.7538170115036008,0.1657294157379263,0.582,0.5603475159459552,0.3946181002080289,-0.1934694955576456
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,6,1200,0.7538170115036008,0.1657294157379263,0.676,0.66505393529762,0.4993245195596937,-0.08876307620598078
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,7,1200,0.7538170115036008,0.1657294157379263,0.484,0.4192651867458877,0.25353577100796143,-0.3345518247577131
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,8,1200,0.7538170115036008,0.1657294157379263,0.57,0.5216596972777385,0.3559302815398122,-0.23215731422586228
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,50,9,1200,0.7538170115036008,0.1657294157379263,0.666,0.6163327880776934,0.4506033723397671,-0.13748422342590738
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,0,1200,0.7538170115036008,0.1657294157379263,0.662,0.6570652413105639,0.49133582557263755,-0.09675177019303693
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,1,1200,0.7538170115036008,0.1657294157379263,0.764,0.7550979056155932,0.5893684898776669,0.0012808941119923922
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,2,1200,0.7538170115036008,0.1657294157379263,0.812,0.8007611754544902,0.6350317597165639,0.046944163950889406
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,3,1200,0.7538170115036008,0.1657294157379263,0.622,0.6071804678784113,0.44145105214048497,-0.14663654362518952
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,4,1200,0.7538170115036008,0.1657294157379263,0.788,0.7704025771828772,0.6046731614449509,0.01658556567927638
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,5,1200,0.7538170115036008,0.1657294157379263,0.82,0.8140717995407867,0.6483423838028604,0.06025478803718587
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,6,1200,0.7538170115036008,0.1657294157379263,0.676,0.6474879286873054,0.4817585129493791,-0.10632908281629538
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,7,1200,0.7538170115036008,0.1657294157379263,0.74,0.7334052187308279,0.5676758029929015,-0.02041179277277294
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,100,8,1200,0.7538170115036008,0.1657294157379263,0.692,0.6653389847793527,0.4996095690414264,-0.0884780267242481
