model,target_class,source_set,prompt_style,layer,control,target_marker_rate,mean_target_step0_prob,median_target_step0_rank,mean_target_best_prob,median_target_best_rank,target_top1_any_rate,target_top5_any_rate,target_top10_any_rate,mean_generated_chars,rows
gpt2,ellipsis,in_template,copy_sentence,2,wrong_marker,0.0,0.0007235687444335781,137.0,0.0024725631810724735,17.5,0.0,0.0,0.0,89.25,12
gpt2,ellipsis,in_template,copy_sentence,3,negative_target,0.0,0.00021109517532143704,680.5,0.0005645548759882028,57.0,0.0,0.0,0.0,102.5,12
gpt2,ellipsis,in_template,copy_sentence,3,none,0.0,0.0008322365077522894,113.0,0.0016605282192661737,10.5,0.0,0.0,0.5,110.5,12
gpt2,ellipsis,in_template,copy_sentence,3,random_norm,0.0,0.0006222129001495583,188.0,0.002657155603325615,14.5,0.0,0.0,0.25,90.41666666666667,12
gpt2,ellipsis,in_template,copy_sentence,3,target,0.8333333333333334,0.002163939158587406,40.5,0.7446427251270507,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,96.58333333333333,12
gpt2,ellipsis,in_template,copy_sentence,3,wrong_marker,0.0,0.0008177240864218523,113.0,0.002919741013708214,18.5,0.0,0.0,0.0,105.16666666666667,12
gpt2,ellipsis,in_template,same_sentence,2,negative_target,0.0,0.0003449149250324505,210.5,0.0007959697795740794,60.5,0.0,0.0,0.0,96.16666666666667,12
gpt2,ellipsis,in_template,same_sentence,2,none,0.0,0.0002777357998032433,241.5,0.0012404513884879027,10.5,0.0,0.0,0.5,103.83333333333333,12
gpt2,ellipsis,in_template,same_sentence,2,random_norm,0.0,0.0004249579154323631,162.0,0.001849292993332104,15.5,0.0,0.0,0.25,111.0,12
gpt2,ellipsis,in_template,same_sentence,2,target,1.0,0.0008807661894631261,97.5,0.8149489363034567,1.0,1.0,1.0,1.0,112.16666666666667,12
gpt2,ellipsis,in_template,same_sentence,2,wrong_marker,0.0,0.00027560439533165965,187.0,0.0018772354039053123,24.0,0.0,0.0,0.08333333333333333,109.66666666666667,12
gpt2,ellipsis,in_template,same_sentence,3,negative_target,0.0,0.0002352402995408435,263.0,0.0003440447010992405,96.0,0.0,0.0,0.0,103.66666666666667,12
gpt2,ellipsis,in_template,same_sentence,3,none,0.0,0.0002777357998032433,241.5,0.0012404513884879027,10.5,0.0,0.0,0.5,103.83333333333333,12
gpt2,ellipsis,in_template,same_sentence,3,random_norm,0.0,0.0003753304590645712,263.0,0.0017213399114552885,19.5,0.0,0.08333333333333333,0.3333333333333333,109.5,12
gpt2,ellipsis,in_template,same_sentence,3,target,1.0,0.001428934056699897,60.0,0.8649057050546011,1.0,1.0,1.0,1.0,111.91666666666667,12
gpt2,ellipsis,in_template,same_sentence,3,wrong_marker,0.0,0.0003540516821279501,173.0,0.002653227730964621,23.0,0.0,0.0,0.08333333333333333,109.33333333333333,12
gpt2,exclamation,hard_out_of_template,copy_sentence,2,negative_target,0.0,4.808135357355544e-05,3365.5,0.0020539673845026605,53.5,0.0,0.0,0.0,96.33333333333333,12
gpt2,exclamation,hard_out_of_template,copy_sentence,2,none,0.0,5.45744276981471e-05,1897.5,0.0016866648469052354,20.0,0.0,0.0,0.08333333333333333,96.66666666666667,12
gpt2,exclamation,hard_out_of_template,copy_sentence,2,random_norm,0.0,5.5453954701079056e-05,2457.5,0.001593473400437991,19.5,0.0,0.0,0.16666666666666666,106.66666666666667,12
gpt2,exclamation,hard_out_of_template,copy_sentence,2,target,0.9166666666666666,7.695048210128637e-05,1186.5,0.7464035612841448,1.0,0.9166666666666666,1.0,1.0,102.16666666666667,12
gpt2,exclamation,hard_out_of_template,copy_sentence,2,wrong_marker,0.0,4.488467781508613e-05,1544.0,0.005313467763092679,9.5,0.0,0.0,0.5833333333333334,95.25,12
gpt2,exclamation,hard_out_of_template,copy_sentence,3,negative_target,0.0,3.982312174836503e-05,2944.0,0.0004319950057833921,74.5,0.0,0.0,0.0,102.58333333333333,12
gpt2,exclamation,hard_out_of_template,copy_sentence,3,none,0.0,5.45744276981471e-05,1897.5,0.0016866648469052354,20.0,0.0,0.0,0.08333333333333333,96.66666666666667,12
gpt2,exclamation,hard_out_of_template,copy_sentence,3,random_norm,0.0,5.560265606163739e-05,1571.0,0.0014098916111227784,29.0,0.0,0.0,0.08333333333333333,94.58333333333333,12
gpt2,exclamation,hard_out_of_template,copy_sentence,3,target,0.75,6.614291745184649e-05,1294.0,0.6638000849634409,1.0,0.75,1.0,1.0,98.66666666666667,12
gpt2,exclamation,hard_out_of_template,copy_sentence,3,wrong_marker,0.0,2.4792904241621727e-05,2424.0,0.007184287009295076,9.5,0.0,0.08333333333333333,0.5,96.58333333333333,12
gpt2,exclamation,hard_out_of_template,same_sentence,2,negative_target,0.0,2.258168751723133e-05,3442.0,0.00019919968068885888,92.0,0.0,0.0,0.0,100.25,12
gpt2,exclamation,hard_out_of_template,same_sentence,2,none,0.0,1.9281016155521986e-05,2804.5,0.00038125056198623497,33.0,0.0,0.0,0.0,96.75,12
gpt2,exclamation,hard_out_of_template,same_sentence,2,random_norm,0.0,2.5851051911255734e-05,2584.0,0.0007918680172830742,29.0,0.0,0.0,0.0,98.33333333333333,12
gpt2,exclamation,hard_out_of_template,same_sentence,2,target,0.8333333333333334,4.885403556424232e-05,1265.0,0.7188842495282491,1.0,0.8333333333333334,0.9166666666666666,1.0,103.83333333333333,12
gpt2,exclamation,hard_out_of_template,same_sentence,2,wrong_marker,0.0,2.9248651723416213e-05,1368.5,0.004530626116320491,11.0,0.0,0.0,0.5,102.16666666666667,12
gpt2,exclamation,hard_out_of_template,same_sentence,3,negative_target,0.0,2.5594930775696412e-05,2581.5,0.0001964969696928165,99.0,0.0,0.0,0.0,98.91666666666667,12
gpt2,exclamation,hard_out_of_template,same_sentence,3,none,0.0,1.9281016155521986e-05,2804.5,0.00038125056198623497,33.0,0.0,0.0,0.0,96.75,12
gpt2,exclamation,hard_out_of_template,same_sentence,3,random_norm,0.0,2.1353571620844985e-05,2957.0,0.0008903830942775434,28.5,0.0,0.0,0.16666666666666666,95.58333333333333,12
gpt2,exclamation,hard_out_of_template,same_sentence,3,target,0.8333333333333334,4.510238219760746e-05,1541.0,0.7600438905258974,1.0,0.8333333333333334,1.0,1.0,104.25,12
gpt2,exclamation,hard_out_of_template,same_sentence,3,wrong_marker,0.0,1.9282576583160942e-05,2329.0,0.005264601839977938,9.0,0.0,0.08333333333333333,0.6666666666666666,102.0,12
gpt2,exclamation,in_template,copy_sentence,2,negative_target,0.0,2.874474398595339e-05,3073.5,0.0016434927738373517,43.5,0.0,0.0,0.0,104.5,12
gpt2,exclamation,in_template,copy_sentence,2,none,0.0,3.871572228793715e-05,1994.0,0.0012655887815829676,17.5,0.0,0.08333333333333333,0.3333333333333333,110.5,12
gpt2,exclamation,in_template,copy_sentence,2,random_norm,0.0,4.452813391253585e-05,1739.0,0.0012279771623677032,25.0,0.0,0.0,0.25,111.16666666666667,12
gpt2,exclamation,in_template,copy_sentence,2,target,0.9166666666666666,6.054025379853556e-05,1463.5,0.7328744852954211,1.0,0.9166666666666666,0.9166666666666666,1.0,106.5,12
gpt2,exclamation,in_template,copy_sentence,2,wrong_marker,0.0,3.5436243858081674e-05,1861.0,0.006670035936015968,9.5,0.0,0.16666666666666666,0.5833333333333334,89.25,12
gpt2,exclamation,in_template,copy_sentence,3,negative_target,0.0,2.148907795174182e-05,3418.0,0.0006567193651108028,53.0,0.0,0.0,0.0,113.58333333333333,12
gpt2,exclamation,in_template,copy_sentence,3,none,0.0,3.871572228793715e-05,1994.0,0.0012655887815829676,17.5,0.0,0.08333333333333333,0.3333333333333333,110.5,12
gpt2,exclamation,in_template,copy_sentence,3,random_norm,0.0,3.8023274820867904e-05,2372.0,0.002668018925760407,24.0,0.0,0.08333333333333333,0.25,104.25,12
gpt2,exclamation,in_template,copy_sentence,3,target,1.0,5.018791565210753e-05,1327.5,0.8187314520279566,1.0,1.0,1.0,1.0,106.66666666666667,12
gpt2,exclamation,in_template,copy_sentence,3,wrong_marker,0.0,1.9939738194807433e-05,2829.0,0.01013529325913017,8.0,0.0,0.25,0.6666666666666666,105.16666666666667,12
gpt2,exclamation,in_template,same_sentence,2,negative_target,0.0,2.63881873555268e-05,2995.5,0.0006177872904421141,79.5,0.0,0.0,0.0,98.41666666666667,12
gpt2,exclamation,in_template,same_sentence,2,none,0.0,2.3592143937397243e-05,2418.5,0.0005883458846559128,20.0,0.0,0.08333333333333333,0.16666666666666666,103.83333333333333,12
gpt2,exclamation,in_template,same_sentence,2,random_norm,0.0,3.340013154229382e-05,1954.5,0.0015943916938946738,19.0,0.0,0.0,0.25,112.66666666666667,12
gpt2,exclamation,in_template,same_sentence,2,target,1.0,4.4579583876232696e-05,1238.0,0.8402622193098068,1.0,1.0,1.0,1.0,114.08333333333333,12
gpt2,exclamation,in_template,same_sentence,2,wrong_marker,0.0,2.9190018115817413e-05,1251.5,0.005238459358224645,10.0,0.0,0.0,0.5833333333333334,109.66666666666667,12
gpt2,exclamation,in_template,same_sentence,3,negative_target,0.0,3.349611552039278e-05,2378.0,0.0002373840719277117,74.0,0.0,0.0,0.0,99.0,12
gpt2,exclamation,in_template,same_sentence,3,none,0.0,2.3592143937397243e-05,2418.5,0.0005883458846559128,20.0,0.0,0.08333333333333333,0.16666666666666666,103.83333333333333,12
gpt2,exclamation,in_template,same_sentence,3,random_norm,0.0,2.2741096851556602e-05,2703.0,0.0009122987527613683,20.5,0.0,0.08333333333333333,0.16666666666666666,106.83333333333333,12
gpt2,exclamation,in_template,same_sentence,3,target,1.0,3.887603922218356e-05,1346.5,0.8931907514731089,1.0,1.0,1.0,1.0,114.08333333333333,12
gpt2,exclamation,in_template,same_sentence,3,wrong_marker,0.0,1.91677609867232e-05,2118.5,0.00849606964038685,9.5,0.0,0.08333333333333333,0.5833333333333334,109.33333333333333,12
gpt2,question,hard_out_of_template,copy_sentence,2,negative_target,0.0,0.00018724801308659758,481.5,0.0016090208737296052,32.0,0.0,0.0,0.08333333333333333,97.41666666666667,12
gpt2,question,hard_out_of_template,copy_sentence,2,none,0.0,0.00016953258545981953,525.0,0.003584062170072381,42.0,0.0,0.08333333333333333,0.25,96.66666666666667,12
