feature,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_accuracy,n
source_only,0.1,0.0,0.1,0.1,0.25,49
signed_delta_sum,0.7075081942244988,0.3019807872244003,0.0389147930505876,1.0,0.7261373299319728,49
signed_endpoint_sum,0.7075081942244988,0.3019807872244003,0.0389147930505876,1.0,0.7261373299319728,49
cyclic_endpoint_mean,0.7404140376028602,0.26641556843677583,0.1,1.0,0.7682291666666666,49
endpoint_mean,0.7519174451097931,0.2575480615479468,0.1107299409186201,1.0,0.7764136904761906,49
anticyclic_endpoint_mean,0.754693201091432,0.25022064114302034,0.1002087682672233,1.0,0.7774234693877551,49
endpoint_concat,0.8354989618736528,0.252119873972444,0.1,1.0,0.8566645408163265,49
delta_concat,0.8760394497442371,0.19823597019214906,0.1476835093011563,1.0,0.8912627551020408,49
