model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test,mean_macro_f1,min_macro_f1,max_macro_f1,n
BAAI/bge-m3,signed_delta_sum,fr,0.9713541666666666,0.9712598318046974,0.25,2304.0,384.0,,,,
BAAI/bge-m3,source_only,de,0.25,0.1,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_mean,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,cyclic_endpoint_mean,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,anticyclic_endpoint_mean,de,0.9869791666666666,0.9869703303564158,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_concat,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,delta_concat,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_endpoint_sum,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_delta_sum,de,1.0,1.0,0.25,2304.0,384.0,,,,
BAAI/bge-m3,source_only,ru,0.25,0.1,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_mean,ru,0.7708333333333334,0.7556020674177027,0.25,2304.0,384.0,,,,
BAAI/bge-m3,cyclic_endpoint_mean,ru,0.765625,0.7407385410434191,0.25,2304.0,384.0,,,,
BAAI/bge-m3,anticyclic_endpoint_mean,ru,0.7552083333333334,0.7459978962410194,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_concat,ru,0.9140625,0.9091413999186456,0.25,2304.0,384.0,,,,
BAAI/bge-m3,delta_concat,ru,0.9375,0.9351568162068028,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_endpoint_sum,ru,0.6901041666666666,0.6840775132803376,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_delta_sum,ru,0.6901041666666666,0.6840775132803376,0.25,2304.0,384.0,,,,
BAAI/bge-m3,source_only,zh,0.25,0.1,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_mean,zh,0.9479166666666666,0.947653227574068,0.25,2304.0,384.0,,,,
BAAI/bge-m3,cyclic_endpoint_mean,zh,0.9505208333333334,0.9505121588865432,0.25,2304.0,384.0,,,,
BAAI/bge-m3,anticyclic_endpoint_mean,zh,0.953125,0.9527751201734956,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_concat,zh,0.9739583333333334,0.973887498639974,0.25,2304.0,384.0,,,,
BAAI/bge-m3,delta_concat,zh,0.9921875,0.9921855921855922,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_endpoint_sum,zh,0.7526041666666666,0.7151012728929653,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_delta_sum,zh,0.7526041666666666,0.7151012728929653,0.25,2304.0,384.0,,,,
BAAI/bge-m3,source_only,ar,0.25,0.1,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_mean,ar,0.4609375,0.4383198105978675,0.25,2304.0,384.0,,,,
BAAI/bge-m3,cyclic_endpoint_mean,ar,0.4635416666666667,0.4489904795787149,0.25,2304.0,384.0,,,,
BAAI/bge-m3,anticyclic_endpoint_mean,ar,0.4401041666666667,0.4142030520193323,0.25,2304.0,384.0,,,,
BAAI/bge-m3,endpoint_concat,ar,0.5104166666666666,0.3662469733656174,0.25,2304.0,384.0,,,,
BAAI/bge-m3,delta_concat,ar,0.4947916666666667,0.3717207526588492,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_endpoint_sum,ar,0.0260416666666666,0.0389147930505876,0.25,2304.0,384.0,,,,
BAAI/bge-m3,signed_delta_sum,ar,0.0260416666666666,0.0389147930505876,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,source_only,en,0.25,0.1,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_mean,en,0.9140625,0.9142156693880832,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,cyclic_endpoint_mean,en,0.8984375,0.8983176380794977,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,anticyclic_endpoint_mean,en,0.9375,0.9379090516374896,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_concat,en,1.0,1.0,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,delta_concat,en,1.0,1.0,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_endpoint_sum,en,0.9635416666666666,0.9638475608822764,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_delta_sum,en,0.9635416666666666,0.9638475608822764,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,source_only,es,0.25,0.1,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_mean,es,0.8333333333333334,0.8292741474566585,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,cyclic_endpoint_mean,es,0.7682291666666666,0.7483584065759596,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,anticyclic_endpoint_mean,es,0.8411458333333334,0.8382348721583346,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_concat,es,0.984375,0.9843996699600736,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,delta_concat,es,0.9427083333333334,0.9414848335755232,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_endpoint_sum,es,0.6588541666666666,0.6515009123046176,0.25,2304.0,384.0,,,,
