model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,zh,0.9973958333333334,0.997395762688875,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,zh,0.9973958333333334,0.997395762688875,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,zh,0.9973958333333334,0.997395762688875,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,zh,0.8567708333333334,0.853884342547088,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_delta_sum,zh,0.8567708333333334,0.853884342547088,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,ar,0.25,0.1,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_mean,ar,0.2604166666666667,0.12085461177696717,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cyclic_endpoint_mean,ar,0.265625,0.13025283347863992,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,ar,0.25,0.10020876826722339,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,ar,0.25,0.1,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,ar,0.2708333333333333,0.14768350930115634,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,ar,0.3776041666666667,0.33343514958645465,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_delta_sum,ar,0.3776041666666667,0.33343514958645465,0.25,2304,384
