model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,100.0,en,linear,NQ_minus_QN,4,1.8927318307165957,0.8804058761683373,0.9998780494551224,8.179086816853186e-05,0.0033222591362126,-0.2262563333102148,0.249160922386885,-0.0119946440018603,-0.0200584355815221
bert-base-multilingual-cased,100.0,en,linear,NM_minus_MN,4,1.1615730936961814,0.9529091129989712,0.9998950646671094,7.615255257230539e-05,0.0033222591362126,-0.1626162978260018,0.0098754828911039,0.1169338689815403,0.037930418644174
bert-base-multilingual-cased,100.0,en,linear,NT_minus_TN,4,1.0633354645605813,0.9031631659534042,0.99989035292937,7.892673352679206e-05,0.0033222591362126,-0.2235553551710936,0.0179100695989608,0.0046460316353824,0.2005959742885768
bert-base-multilingual-cased,100.0,en,linear,QM_minus_MQ,4,1.8342034626890036,0.8852126705318454,0.9998842153746992,8.085839806983227e-05,0.0033222591362126,0.0751384715489819,-0.2432988317179169,0.1405844354722763,0.037970247972395
bert-base-multilingual-cased,100.0,en,linear,QT_minus_TQ,4,1.8072248866875884,0.8940880347600183,0.9998809963326852,8.04807937575324e-05,0.0033222591362126,0.0570777615547765,-0.2391221159562299,0.0199502256548295,0.1710585047341047
bert-base-multilingual-cased,100.0,en,linear,MT_minus_TM,4,1.191966599847385,0.9554441682899,0.9998870269553872,8.217696376954271e-05,0.0033222591362126,-0.0441761524141522,0.0101721550114737,-0.1139119322405548,0.1455978870209985
bert-base-multilingual-cased,100.0,en,affine,NQ_minus_QN,4,1.8161836893124608,0.8326490404680095,0.9998920353658822,7.906969062064827e-05,0.0033222591362126,-0.2769085368317336,0.3122852326492165,-0.0043530087274653,-0.0408519129239076
bert-base-multilingual-cased,100.0,en,affine,NM_minus_MN,4,1.1349739559266698,0.956291452323825,0.9998933823640824,7.310828663229852e-05,0.0033222591362126,-0.1564761907280298,0.0058404288035787,0.1139110654175351,0.0389299702027168
bert-base-multilingual-cased,100.0,en,affine,NT_minus_TN,4,1.0023832512890485,0.9172385176745684,0.9998947494774384,7.477245557235284e-05,0.0033222591362126,-0.2044712845769692,0.0127673696710096,0.0070628515562559,0.1844885000779757
bert-base-multilingual-cased,100.0,en,affine,QM_minus_MQ,4,1.7929252560996856,0.8528479848986238,0.9998927847490396,8.1556287249056e-05,0.0033222591362126,0.0807554563237234,-0.3006022736785456,0.1625229109498537,0.068907767910092
bert-base-multilingual-cased,100.0,en,affine,QT_minus_TQ,4,1.6908588774367783,0.853529792471291,0.9998933571132148,7.574085069190427e-05,0.0033222591362126,0.0336570623822346,-0.2887103596940176,0.0140702711142218,0.2499576247746809
bert-base-multilingual-cased,100.0,en,affine,MT_minus_TM,4,1.1569648486205757,0.9610282008905722,0.9998861831806468,8.000001175267336e-05,0.0033222591362126,-0.0375243627445838,0.0111468078418827,-0.1084105945400419,0.1325895680141912
bert-base-multilingual-cased,100.0,es,linear,NQ_minus_QN,4,1.9221921784235363,0.8887909580455147,0.9998872381524488,8.168660497708182e-05,0.0033222591362126,-0.2074696815059493,0.2450509670340294,-0.0156538405888849,-0.0316030794433556
bert-base-multilingual-cased,100.0,es,linear,NM_minus_MN,4,1.2042922969594363,0.9490164635922996,0.9998935516753764,7.888891235952717e-05,0.0033222591362126,-0.1669788625387332,0.005924608047251,0.1302074972749885,0.0334822417893372
bert-base-multilingual-cased,100.0,es,linear,NT_minus_TN,4,1.1427926773995172,0.9068648616116358,0.9998899377624328,7.939118710645143e-05,0.0033222591362126,-0.2172726278797684,0.0104818582572493,0.0007729718500023,0.2049222697835905
