ridge_alpha,method,pair,mean_closure_residual_ratio,mean_givens_spectral_matched_null,mean_p_below_givens_spectral_matched,cells
100.0,affine,MT_minus_TM,0.8560691821667348,0.9999045948129474,0.0033222591362126,35
100.0,affine,NM_minus_MN,0.8467064276924174,0.9999062969700948,0.0033222591362126,35
100.0,affine,NQ_minus_QN,0.7852628500457287,0.9998922245203791,0.0033222591362126,35
100.0,affine,NT_minus_TN,0.8044358612545665,0.9999034952388762,0.0033222591362126,35
100.0,affine,QM_minus_MQ,0.811267949434889,0.9998936114403871,0.0033222591362126,35
100.0,affine,QT_minus_TQ,0.7879780029973901,0.9998925118253573,0.0033222591362126,35
100.0,linear,MT_minus_TM,0.8360014494648843,0.9999044686227112,0.0033222591362126,35
100.0,linear,NM_minus_MN,0.8596503385637195,0.9999043553718627,0.0033222591362126,35
100.0,linear,NQ_minus_QN,0.9125021929486051,0.9998889616403243,0.0033222591362126,35
100.0,linear,NT_minus_TN,0.8205454334243203,0.9999011891531843,0.0033222591362126,35
100.0,linear,QM_minus_MQ,0.8577237134872179,0.9998890013096617,0.0033222591362126,35
100.0,linear,QT_minus_TQ,0.8619623538599452,0.9998881038447254,0.0033222591362126,35
