ridge_alpha,method,pair,mean_closure_residual_ratio,mean_random_subspace_null,mean_gaussian_norm_matched_null,mean_signed_permutation_matched_null,cells
10.0,affine,MT_minus_TM,0.9871102623621514,0.9998788331281521,0.9998774413538057,0.9997859170907946,63
10.0,affine,NM_minus_MN,0.9742092119773166,0.9998777206984103,0.9998772300797822,0.999756767921208,63
10.0,affine,NQ_minus_QN,0.9583229905102799,0.9998782335056897,0.9998772825540929,0.9997669006921012,63
10.0,affine,NT_minus_TN,0.9665127778211153,0.9998775401247253,0.9998775103827847,0.9997636599951407,63
10.0,affine,QM_minus_MQ,0.974120401656998,0.9998781341230891,0.9998775677590829,0.9997894594831763,63
10.0,affine,QT_minus_TQ,0.9625812026792113,0.9998776226218542,0.9998777479484755,0.9997980021915035,63
10.0,linear,MT_minus_TM,0.9845816073240626,0.9998778988692923,0.9998775247011416,0.9997844997421976,63
10.0,linear,NM_minus_MN,0.9761691810677101,0.9998780414235198,0.9998770679022992,0.9997563100862863,63
10.0,linear,NQ_minus_QN,0.9778120419806818,0.9998782411003776,0.9998763888776178,0.999761866858159,63
10.0,linear,NT_minus_TN,0.9643630227741096,0.9998778057786071,0.9998779387554476,0.9997570533161784,63
10.0,linear,QM_minus_MQ,0.9769763937768536,0.9998781930909718,0.9998775713848355,0.9997847056134473,63
10.0,linear,QT_minus_TQ,0.968336776887512,0.999877820968325,0.9998778558736766,0.9997908071163544,63
100.0,affine,MT_minus_TM,0.893542870861943,0.9998780459002901,0.9998767258699913,0.9998951540093785,63
100.0,affine,NM_minus_MN,0.8706674934693898,0.999877482519895,0.9998768616884789,0.9998899310493151,63
100.0,affine,NQ_minus_QN,0.8320425065054631,0.999877971120176,0.9998774681053244,0.9998862640129537,63
100.0,affine,NT_minus_TN,0.8449941159810027,0.9998778834409277,0.9998781672293191,0.9998900977710737,63
100.0,affine,QM_minus_MQ,0.8526916850300897,0.9998780173494506,0.9998773513695628,0.9998902221901597,63
100.0,affine,QT_minus_TQ,0.8363174514670587,0.9998774937403303,0.9998770887170378,0.9998910000010374,63
100.0,linear,MT_minus_TM,0.8803701162048224,0.9998778915075933,0.9998775240177316,0.9998929408770502,63
100.0,linear,NM_minus_MN,0.8784183686767006,0.9998779145874594,0.9998773585034845,0.9998879282718645,63
100.0,linear,NQ_minus_QN,0.9120966873844923,0.9998775946923398,0.999877816105716,0.9998818961971702,63
100.0,linear,NT_minus_TN,0.8556335721509634,0.9998780723474758,0.9998776356924504,0.9998875611939834,63
100.0,linear,QM_minus_MQ,0.8809365738129699,0.9998781928216961,0.9998782099319745,0.9998877393232249,63
100.0,linear,QT_minus_TQ,0.8825628031168314,0.9998778425232911,0.9998773610381012,0.9998876945657811,63
