model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace_null,gaussian_norm_matched_null_mean,gaussian_norm_matched_null_std,empirical_p_below_gaussian_norm_matched_null,signed_permutation_matched_null_mean,signed_permutation_matched_null_std,empirical_p_below_signed_permutation_matched_null,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NQ_minus_QN,4,0.5509644082382196,0.9345617632159579,0.9998779112779264,8.665186030991366e-05,0.000999000999000999,0.9998795688341365,8.200484149249909e-05,0.000999000999000999,0.9999350445522032,6.78395205508301e-05,0.000999000999000999,-0.10810122641782849,0.10962078153137102,0.049111632845509345,-0.04937644296927151
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NM_minus_MN,4,0.8401071649962354,0.7722876590050487,0.9998784007518743,8.43829564995276e-05,0.000999000999000999,0.9998729914867026,8.879706079044505e-05,0.000999000999000999,0.9999301105865054,6.872024023230736e-05,0.000999000999000999,-0.2955932325820501,0.2360453694863035,0.13401552460860444,-0.07045415886770988
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NT_minus_TN,4,0.7639637233001284,0.783858776808117,0.9998727411940176,9.015234625391652e-05,0.000999000999000999,0.9998769961920072,8.544610854540654e-05,0.000999000999000999,0.9999281986393407,7.67082098042629e-05,0.000999000999000999,-0.24822578229614387,0.22381870737703707,0.20404707794307334,-0.17617078295432498
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,QM_minus_MQ,4,0.5417143901119453,0.7278382082989926,0.9998764109801027,8.342569780750359e-05,0.000999000999000999,0.9998769232672037,8.831448680136678e-05,0.000999000999000999,0.9999308398795858,7.249215185745835e-05,0.000999000999000999,0.09103348555286105,-0.3567666910710385,0.2388331038850441,0.028056247291619808
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,QT_minus_TQ,4,0.45749502270747033,0.755869297775423,0.9998765980430708,8.826280722819938e-05,0.000999000999000999,0.9998788184673693,8.987322867885466e-05,0.000999000999000999,0.9999295396050404,7.551951708377506e-05,0.000999000999000999,0.08275995520410828,-0.3263328624959114,0.07740927048631782,0.16652603435586458
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,MT_minus_TM,4,0.4873532694086305,0.7196950239161618,0.999872969657501,8.866056888518568e-05,0.000999000999000999,0.9998809208560048,8.216411906484111e-05,0.000999000999000999,0.9999318113796695,7.073051584340497e-05,0.000999000999000999,-0.012220288208262143,-0.05032706931143436,-0.3370478283223399,0.3989057038962117
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NQ_minus_QN,4,0.6240449236514126,0.6930128740673864,0.9998820967433087,8.234990603922885e-05,0.000999000999000999,0.9998746257901031,9.009982240554216e-05,0.000999000999000999,0.9999359125757044,6.972114415990039e-05,0.000999000999000999,-0.3419812747079015,0.31868007075062327,0.03685895737145486,-0.010000271068856521
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NM_minus_MN,4,0.7363184664504661,0.7186315973264019,0.9998797745373854,8.306356486950702e-05,0.000999000999000999,0.9998780781931114,8.903465721828964e-05,0.000999000999000999,0.9999374258513676,6.629950500187223e-05,0.000999000999000999,-0.3383583234976995,0.10146504724758457,0.26771937913885857,-0.025701822179260977
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NT_minus_TN,4,0.7075263588278843,0.7197087941284557,0.9998798383368326,8.565411104208775e-05,0.000999000999000999,0.9998808508970091,8.526215477491146e-05,0.000999000999000999,0.9999333917288786,6.807071315970817e-05,0.000999000999000999,-0.3406293972482199,0.08217657373068427,0.0697075539099944,0.19319419972414167
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,QM_minus_MQ,4,0.47295723073344403,0.755007353873268,0.9998781826324912,8.484885335301904e-05,0.000999000999000999,0.9998762166995945,8.419912505599324e-05,0.000999000999000999,0.9999294004187095,7.662371956717423e-05,0.000999000999000999,0.027566663223165627,-0.3343989657201486,0.26196350937470564,0.046662227798028
