model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace_null,gaussian_norm_matched_null_mean,gaussian_norm_matched_null_std,empirical_p_below_gaussian_norm_matched_null,signed_permutation_matched_null_mean,signed_permutation_matched_null_std,empirical_p_below_signed_permutation_matched_null,coef_N,coef_Q,coef_M,coef_T
intfloat/multilingual-e5-large,10.0,en,linear,NQ_minus_QN,4,5.078746171734339,0.9768090197607711,0.9998787347121075,8.557463765053302e-05,0.000999000999000999,0.9998745143284992,8.660001372167891e-05,0.000999000999000999,0.999766784857255,0.00018282615209425887,0.000999000999000999,-0.16847507301790593,0.11562295028759967,0.05244959676604995,0.0055711184311732
intfloat/multilingual-e5-large,10.0,en,linear,NM_minus_MN,4,4.146648855238014,0.9940496100029195,0.999877949220854,9.064137109979524e-05,0.000999000999000999,0.9998706436921023,9.278763675855627e-05,0.000999000999000999,0.9997425081925609,0.000196130415256315,0.000999000999000999,-0.06714360761755947,-0.006610417551952692,0.027835919607858226,0.06686015040883361
intfloat/multilingual-e5-large,10.0,en,linear,NT_minus_TN,4,4.337000679400987,0.974634300070353,0.9998766370761761,8.459250291725086e-05,0.000999000999000999,0.9998775482942689,8.796813074051411e-05,0.000999000999000999,0.9997501134875106,0.00020692349557554363,0.000999000999000999,-0.15311199072296708,-0.0011299952275362762,0.034534712452496195,0.14471399110158154
intfloat/multilingual-e5-large,10.0,en,linear,QM_minus_MQ,4,4.0671057449490515,0.9926972343893151,0.9998763358195362,8.237437351573282e-05,0.000999000999000999,0.9998790540668427,8.998368152398552e-05,0.000999000999000999,0.9997728435106306,0.00016955657635342355,0.000999000999000999,-0.01853337880483572,-0.06595547667986533,0.06424340133778618,0.04029323634377245
intfloat/multilingual-e5-large,10.0,en,linear,QT_minus_TQ,4,4.035403193157907,0.9860994161063624,0.9998758996606791,8.292300961879813e-05,0.000999000999000999,0.9998785981073716,8.913241821132308e-05,0.000999000999000999,0.9997839446323395,0.00016631517835224307,0.000999000999000999,-0.00853969945060632,-0.0966177061584868,0.00010386393281079889,0.12272945593882696
intfloat/multilingual-e5-large,10.0,en,linear,MT_minus_TM,4,3.2792072652538407,0.9913997878243376,0.999875462808576,8.382129403637158e-05,0.000999000999000999,0.9998742306834411,9.107240905879603e-05,0.000999000999000999,0.999753815201364,0.00018809557167975317,0.000999000999000999,0.011190664352517232,0.028680347778825548,0.04404001753005895,-0.09448189220140693
intfloat/multilingual-e5-large,10.0,en,affine,NQ_minus_QN,4,5.012967527490685,0.9758689329975684,0.9998826282785621,8.49645118822657e-05,0.000999000999000999,0.9998810461016476,8.129563429542681e-05,0.000999000999000999,0.9997596390460609,0.00019187925137291545,0.000999000999000999,-0.17577090207870827,0.1123579647675296,0.052671371705082924,0.012709944592664238
intfloat/multilingual-e5-large,10.0,en,affine,NM_minus_MN,4,4.092876385321474,0.9948824746388834,0.9998821156598997,8.30847559241861e-05,0.000999000999000999,0.9998781873479319,8.961805994552662e-05,0.000999000999000999,0.9997482991564431,0.00020697132380697214,0.000999000999000999,-0.06202760553108784,-0.007621170329750633,0.021000411579319977,0.06551072197204377
intfloat/multilingual-e5-large,10.0,en,affine,NT_minus_TN,4,4.306781427289084,0.9745966874337033,0.999877846137347,8.423182420249223e-05,0.000999000999000999,0.9998763234762319,8.498411194206593e-05,0.000999000999000999,0.9997520340646411,0.00019929639464132625,0.000999000999000999,-0.15497167515012933,-0.006345982151220564,0.038534308686433066,0.14220163203012862
intfloat/multilingual-e5-large,10.0,en,affine,QM_minus_MQ,4,4.00970828217774,0.9927914813068022,0.9998768454035576,8.823382660141322e-05,0.000999000999000999,0.9998789091555761,8.76508104709362e-05,0.000999000999000999,0.9997935202231324,0.0001590164275594292,0.000999000999000999,-0.020210478853896256,-0.06489395093137193,0.06302021468777577,0.043324175351576066
