model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
BAAI/bge-m3,100.0,en,linear,N,7.884750733304338,1.9707052886171899,-66.67658323049545
BAAI/bge-m3,100.0,en,linear,Q,7.6224594223512065,1.651583137999962,-57.978009805083275
BAAI/bge-m3,100.0,en,linear,M,6.7476325543191775,1.1418675769631654,-60.48038360476494
BAAI/bge-m3,100.0,en,linear,T,7.357107639882274,1.419994699677384,-63.24268704652786
BAAI/bge-m3,100.0,en,affine,N,7.828870534955488,1.7493906641617245,-66.80448891222477
BAAI/bge-m3,100.0,en,affine,Q,7.588786003917521,1.6558128257012625,-58.15228493511677
BAAI/bge-m3,100.0,en,affine,M,6.781617958431451,1.14778526686339,-61.075992196798325
BAAI/bge-m3,100.0,en,affine,T,7.367566176142955,1.3603674753731727,-63.8838924318552
BAAI/bge-m3,100.0,es,linear,N,7.941619598561933,1.8930960050538963,-67.0042061060667
BAAI/bge-m3,100.0,es,linear,Q,7.813319425381813,2.018023625727613,-58.918490663170815
BAAI/bge-m3,100.0,es,linear,M,6.84512383455295,1.153169816646358,-61.63595221936703
BAAI/bge-m3,100.0,es,linear,T,7.427283158809114,1.4139789830659593,-64.02644237875938
BAAI/bge-m3,100.0,es,affine,N,7.896745834839117,1.7307962037946107,-67.20499461889267
BAAI/bge-m3,100.0,es,affine,Q,7.7606675674471,1.84636640580343,-59.06936660408974
BAAI/bge-m3,100.0,es,affine,M,6.88042770826724,1.1569889232502495,-62.24255013465881
BAAI/bge-m3,100.0,es,affine,T,7.434743762717829,1.3717554797592726,-64.62642742693424
BAAI/bge-m3,100.0,fr,linear,N,7.972636489200904,1.9840499397982174,-67.44237883388996
BAAI/bge-m3,100.0,fr,linear,Q,7.676708422803388,1.8751459153184198,-58.38322128355503
BAAI/bge-m3,100.0,fr,linear,M,6.796923435286398,1.1520849489603302,-61.38005009293556
BAAI/bge-m3,100.0,fr,linear,T,7.4205967083215185,1.4320701057611678,-64.14250962436199
BAAI/bge-m3,100.0,fr,affine,N,7.918894183628366,1.7953126358379312,-67.5738570690155
BAAI/bge-m3,100.0,fr,affine,Q,7.6252180001800784,1.7198219296939825,-58.51901978254318
BAAI/bge-m3,100.0,fr,affine,M,6.831072327292282,1.1558934872137578,-61.98764079809189
BAAI/bge-m3,100.0,fr,affine,T,7.436260334906819,1.368222864897167,-64.81862051784992
BAAI/bge-m3,100.0,de,linear,N,7.927416443915458,1.9616109558245918,-67.5862292572856
BAAI/bge-m3,100.0,de,linear,Q,7.68970263703121,1.9005606497956857,-58.11657336354256
BAAI/bge-m3,100.0,de,linear,M,6.791516197022901,1.1324783823092899,-61.52438645064831
BAAI/bge-m3,100.0,de,linear,T,7.396793744934328,1.405908526804534,-64.08075162768364
BAAI/bge-m3,100.0,de,affine,N,7.88391048276938,1.7822205049221367,-67.77111291885376
BAAI/bge-m3,100.0,de,affine,Q,7.657245687208731,1.8058495697032182,-58.35806964337826
BAAI/bge-m3,100.0,de,affine,M,6.825520343350722,1.1046594191018,-62.18338391184807
BAAI/bge-m3,100.0,de,affine,T,7.420234761202755,1.4052657817548082,-64.76577019691467
BAAI/bge-m3,100.0,ru,linear,N,8.14800738565045,1.8824614894221676,-71.53331892192364
BAAI/bge-m3,100.0,ru,linear,Q,7.881054011161587,2.0493110148812765,-62.58605694770813
BAAI/bge-m3,100.0,ru,linear,M,7.09619864450448,1.103389562549754,-65.22451691329479
BAAI/bge-m3,100.0,ru,linear,T,7.6648463964586675,1.3654682870895298,-68.09106256067753
BAAI/bge-m3,100.0,ru,affine,N,8.083527979610457,1.6487910413473028,-71.67308728396893
BAAI/bge-m3,100.0,ru,affine,Q,7.838271114222605,1.8998457107597186,-62.758447259664536
BAAI/bge-m3,100.0,ru,affine,M,7.1322659809798115,1.1050606797111413,-65.82790432870388
BAAI/bge-m3,100.0,ru,affine,T,7.681351874519436,1.3173544123770529,-68.72999411821365
BAAI/bge-m3,100.0,zh,linear,N,8.056357510755268,1.9574797330889884,-68.92752453684807
BAAI/bge-m3,100.0,zh,linear,Q,7.775300290699656,1.8857683682233632,-59.155268505215645
BAAI/bge-m3,100.0,zh,linear,M,6.876787299301444,1.1681675759227805,-61.989665016531944
BAAI/bge-m3,100.0,zh,linear,T,7.519643496805471,1.4227348340082768,-65.26807755231857
BAAI/bge-m3,100.0,zh,affine,N,7.997559416918837,1.7302015014783854,-69.0193408280611
BAAI/bge-m3,100.0,zh,affine,Q,7.745882818012231,1.8340270868393183,-59.28645537793636
BAAI/bge-m3,100.0,zh,affine,M,6.9098296511678505,1.175728792181071,-62.56391145288944
BAAI/bge-m3,100.0,zh,affine,T,7.530236479596865,1.3912742312215025,-65.92276358604431
BAAI/bge-m3,100.0,ar,linear,N,8.19666670979842,1.9645150929719297,-72.19630724191666
BAAI/bge-m3,100.0,ar,linear,Q,7.804637806709819,2.011401934298112,-62.459485083818436
BAAI/bge-m3,100.0,ar,linear,M,7.19683138829356,1.1641188968297276,-66.10819712281227
BAAI/bge-m3,100.0,ar,linear,T,7.581453822103155,1.4115009119630764,-67.73411221802235
BAAI/bge-m3,100.0,ar,affine,N,8.124276819863265,1.7346237078464368,-72.29911132156849
BAAI/bge-m3,100.0,ar,affine,Q,7.7657060146293455,1.8761001259287324,-62.733830243349075
BAAI/bge-m3,100.0,ar,affine,M,7.22817058045605,1.1636083443459708,-66.7633261680603
BAAI/bge-m3,100.0,ar,affine,T,7.590013095299719,1.3735134896680454,-68.46208316087723
