ridge_alpha,method,mean_target_cosine,mean_mse,cells
10.0,affine,0.6952325327410585,1.8200033949170675,252
10.0,linear,0.7379427385964205,1.3612685208200574,252
100.0,affine,0.6403969608483806,1.2569309836345917,252
100.0,linear,0.7116095646925614,1.0346149228088362,252
