ridge_alpha,method,mean_closure_residual_ratio,mean_random_subspace_null,mean_gaussian_norm_matched_null,mean_signed_permutation_matched_null,mean_p_below_random_subspace,mean_p_below_gaussian_norm_matched,mean_p_below_signed_permutation_matched,cells
10.0,affine,0.9704761411678454,0.9998780140336535,0.9998774633463373,0.9997767845623207,0.003631289345574961,0.0035810750096463397,0.008433365576222622,378
10.0,linear,0.9747065039684883,0.9998780002051822,0.9998773912491696,0.9997725404554372,0.0021090021090020106,0.002058787773073389,0.00898572327143746,378
100.0,affine,0.8550426872191578,0.9998778156785116,0.9998772771632858,0.9998904448389864,0.0009990009990009,0.0009990009990009,0.0009990009990009,378
100.0,linear,0.88166968689113,0.999877918079976,0.9998776508815763,0.999887626738179,0.0009990009990009,0.0009990009990009,0.0009990009990009,378
