model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace_null,gaussian_norm_matched_null_mean,gaussian_norm_matched_null_std,empirical_p_below_gaussian_norm_matched_null,signed_permutation_matched_null_mean,signed_permutation_matched_null_std,empirical_p_below_signed_permutation_matched_null,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/LaBSE,10.0,en,linear,NQ_minus_QN,4,5.46152681250394,0.9926097559807433,0.9998831607373447,8.289122203949262e-05,0.000999000999000999,0.9998744797413132,8.946864999440149e-05,0.000999000999000999,0.9995028408220472,0.00044174760064587644,0.000999000999000999,-0.08393422280077628,0.08891863823640511,0.024836528639184337,-0.020449488008550985
sentence-transformers/LaBSE,10.0,en,linear,NM_minus_MN,4,5.168272227490144,0.9991323429296364,0.9998791020413641,8.20274847345451e-05,0.000999000999000999,0.9998832110771787,8.309331550293744e-05,0.000999000999000999,0.9995821909281396,0.00035498178111236813,0.11188811188811189,-0.003408609290008269,-0.006223842404341684,-0.03003113821242547,0.024909755391085805
sentence-transformers/LaBSE,10.0,en,linear,NT_minus_TN,4,5.22339658427121,0.9957584806299957,0.9998809876817742,8.69275466858089e-05,0.000999000999000999,0.9998797746725465,8.781768553390737e-05,0.000999000999000999,0.9996137590244808,0.00032275906701174803,0.000999000999000999,-0.0683780667645931,-0.015964874834495907,0.011827467690762048,0.05495110705646314
sentence-transformers/LaBSE,10.0,en,linear,QM_minus_MQ,4,5.0399950607586605,0.9921871714893021,0.9998777803012806,8.500265203730067e-05,0.000999000999000999,0.9998749279847245,8.542587532250971e-05,0.000999000999000999,0.9994889896113021,0.0004907349226708976,0.000999000999000999,0.028402578032187913,-0.09400448462574379,-0.01829840470435258,0.06431972333357405
sentence-transformers/LaBSE,10.0,en,linear,QT_minus_TQ,4,5.646572300296244,0.9937454179923462,0.999875459357503,8.817495432129613e-05,0.000999000999000999,0.9998802803376322,8.488280476458706e-05,0.000999000999000999,0.9995555025957987,0.0004327057547722021,0.000999000999000999,0.04555033262037182,-0.09952808247223915,-0.005546960189833697,0.03352808848402249
sentence-transformers/LaBSE,10.0,en,linear,MT_minus_TM,4,4.439003628917387,0.9953774952549774,0.9998807969735122,8.567714413610333e-05,0.000999000999000999,0.9998755958976063,8.877536773147152e-05,0.000999000999000999,0.9996263099872605,0.00033425116613005636,0.000999000999000999,0.03649742459209747,0.004370550806941827,0.00856018436141668,-0.0702664204484667
sentence-transformers/LaBSE,10.0,en,affine,NQ_minus_QN,4,5.530981828168917,0.9879458726756802,0.999879225494895,8.523834346517381e-05,0.000999000999000999,0.9998765557773815,9.116826086110095e-05,0.000999000999000999,0.9995380937732882,0.00040740786231485004,0.000999000999000999,-0.09125271808844213,0.1307276884187018,0.016860537266337006,-0.029214563745239543
sentence-transformers/LaBSE,10.0,en,affine,NM_minus_MN,4,5.233189149793509,0.9991565140236603,0.9998798634499323,8.612561520252435e-05,0.000999000999000999,0.9998773862058815,8.915935940591786e-05,0.000999000999000999,0.9995620397677987,0.0003759818457963212,0.12287712287712288,-0.014976670940143391,-0.010022233108142774,-0.01981237916698909,0.02976239524584829
sentence-transformers/LaBSE,10.0,en,affine,NT_minus_TN,4,5.248589788347281,0.9959492227409005,0.9998799298198928,8.169681633885671e-05,0.000999000999000999,0.9998803555578785,8.828352335116307e-05,0.000999000999000999,0.9996371820118042,0.0003122436097865666,0.000999000999000999,-0.07171592724059034,-0.009047203510094179,0.0156601728810662,0.049657251390760306
sentence-transformers/LaBSE,10.0,en,affine,QM_minus_MQ,4,5.0434669847696165,0.9911978550182899,0.9998826855583091,7.879695338737117e-05,0.000999000999000999,0.999880249420387,8.520524975525353e-05,0.000999000999000999,0.9994790073139292,0.000474804579111544,0.000999000999000999,0.028741953750456187,-0.10276853940363849,-0.018082635812302256,0.06842366841762217
sentence-transformers/LaBSE,10.0,en,affine,QT_minus_TQ,4,5.560481060445321,0.994517408992633,0.9998780560498396,8.50451428132615e-05,0.000999000999000999,0.9998760732647957,8.63747211403645e-05,0.000999000999000999,0.9995787638765607,0.00037622751552446077,0.000999000999000999,0.046012003014514906,-0.09394994403186219,-0.002656401075999568,0.029323934573454603
sentence-transformers/LaBSE,10.0,en,affine,MT_minus_TM,4,4.440397108007843,0.9967652470068349,0.9998731904129667,9.041372033951867e-05,0.000999000999000999,0.9998782176513896,8.530380096596232e-05,0.000999000999000999,0.9996364264552683,0.0003260284252454028,0.000999000999000999,0.028469755468032584,-0.000463635952031808,0.011622020801099479,-0.05816945945009833
sentence-transformers/LaBSE,10.0,es,linear,NQ_minus_QN,4,5.051586629754392,0.9988979525214022,0.9998747243922651,9.116125980212284e-05,0.000999000999000999,0.999881943057077,8.692542159349595e-05,0.000999000999000999,0.9996038622495819,0.00034529783305312735,0.04395604395604396,-0.022830958587131314,0.029556612220090497,0.0031351576275981895,-0.0236864184910218
sentence-transformers/LaBSE,10.0,es,linear,NM_minus_MN,4,4.586387042308185,0.9950215296673119,0.9998818011558611,8.156857125277803e-05,0.000999000999000999,0.9998783457032286,8.879267881921527e-05,0.000999000999000999,0.9995316825798499,0.00042467268897913683,0.000999000999000999,0.06715000534975525,0.0005837196331897193,-0.05044915304017399,-0.015291602666545832
sentence-transformers/LaBSE,10.0,es,linear,NT_minus_TN,4,4.964283764187671,0.9975665993760656,0.9998728545510703,8.760551234747811e-05,0.000999000999000999,0.9998784512269525,8.49367789537592e-05,0.000999000999000999,0.9995890531622421,0.0003633019207701864,0.000999000999000999,-0.0060906563687345835,-0.051435361029170415,0.001391491223303595,0.02243887985786297
sentence-transformers/LaBSE,10.0,es,linear,QM_minus_MQ,4,4.642886399989274,0.9970252280752562,0.999880513816732,8.789667903917836e-05,0.000999000999000999,0.9998726285479476,9.002510824226749e-05,0.000999000999000999,0.9995626731084412,0.00040801285051250946,0.001998001998001998,0.04536639889979219,-0.03190357822238282,-0.034357973903041066,0.023685481771352778
sentence-transformers/LaBSE,10.0,es,linear,QT_minus_TQ,4,5.167240332451104,0.9922011746932641,0.9998769654048738,8.329443396382098e-05,0.000999000999000999,0.9998774701199489,8.956596965004765e-05,0.000999000999000999,0.9996436901348517,0.00029275297501760536,0.000999000999000999,0.03167969661120912,-0.10862080209079071,-0.005419866013825426,0.05498459407601958
sentence-transformers/LaBSE,10.0,es,linear,MT_minus_TM,4,4.580988140555276,0.9944147265852397,0.9998730197503685,8.974182270718923e-05,0.000999000999000999,0.9998788593499608,8.623352970864134e-05,0.000999000999000999,0.999566509550203,0.00040629244494086447,0.000999000999000999,0.026370604411934062,0.006724237619761892,0.023203109465518765,-0.08028607648128953
sentence-transformers/LaBSE,10.0,es,affine,NQ_minus_QN,4,4.9209922058754385,0.9969223137963746,0.9998829069435449,8.164289300139329e-05,0.000999000999000999,0.9998777847624654,8.481899906042894e-05,0.000999000999000999,0.9996251386594841,0.00033304934031272226,0.000999000999000999,-0.02618836698039154,0.06680554583827768,-0.004908503620033625,-0.03286785578771782
sentence-transformers/LaBSE,10.0,es,affine,NM_minus_MN,4,4.682427529770376,0.9959087783617429,0.9998773135841121,8.941496423979712e-05,0.000999000999000999,0.9998758140895296,8.689783967218105e-05,0.000999000999000999,0.9995518740239145,0.00040480401612083636,0.000999000999000999,0.064215224783642,-0.0030009369865667754,-0.045684976853499606,-0.011663364116804265
sentence-transformers/LaBSE,10.0,es,affine,NT_minus_TN,4,4.936636783699127,0.9980683398828308,0.9998848327186867,8.316340875878901e-05,0.000999000999000999,0.9998740305057736,8.192463243538047e-05,0.000999000999000999,0.9996172645524048,0.0003389964246259869,0.004995004995004995,-0.0005692836673843432,-0.04961773919339842,8.317363225979011e-05,0.0249730419647779
sentence-transformers/LaBSE,10.0,es,affine,QM_minus_MQ,4,4.640352543537628,0.9971654943471273,0.9998804092524939,8.097231682650989e-05,0.000999000999000999,0.9998793573727348,8.699072543742384e-05,0.000999000999000999,0.9995693491192092,0.00040953947368139115,0.001998001998001998,0.04041653355400745,-0.03115962164639557,-0.037288514965719215,0.026411066861794064
