model,num_layers,hidden_dim,path_length,displacement,trajectory_efficiency,mean_adjacent_cosine,curvature_proxy_1_minus_cos
bert-base-uncased,13,768,54.33753700256348,9.852536010742188,0.18144276967055428,0.056162051113576375,0.9438379488864236
distilgpt2,7,768,609.4173767089844,151.41344757080077,0.2502835456962488,0.504345070719719,0.49565492928028104
gpt2,13,768,1070.5621032714844,217.8410186767578,0.20511560125912812,0.6083527965301817,0.3916472034698183
