model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
distilbert-base-multilingual-cased,en,triple_label_from_single_endpoint_delta,4,0.7269965277777778,0.7264961729949819,0.25,13824,2304
distilbert-base-multilingual-cased,en,endpoint_position_from_endpoint_delta,6,0.2921006944444444,0.2707242743831107,0.1666666666666666,13824,2304
distilbert-base-multilingual-cased,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5516493055555556,0.5493939903976772,0.5,13824,2304
distilbert-base-multilingual-cased,es,triple_label_from_single_endpoint_delta,4,0.8090277777777778,0.8086924288086816,0.25,13824,2304
distilbert-base-multilingual-cased,es,endpoint_position_from_endpoint_delta,6,0.2829861111111111,0.233596149784088,0.1666666666666666,13824,2304
distilbert-base-multilingual-cased,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5004340277777778,0.3967997841866203,0.5,13824,2304
distilbert-base-multilingual-cased,fr,triple_label_from_single_endpoint_delta,4,0.5403645833333334,0.506363511580381,0.25,13824,2304
distilbert-base-multilingual-cased,fr,endpoint_position_from_endpoint_delta,6,0.2521701388888889,0.2216306405901811,0.1666666666666666,13824,2304
distilbert-base-multilingual-cased,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5425347222222222,0.5411184210526316,0.5,13824,2304
distilbert-base-multilingual-cased,ru,triple_label_from_single_endpoint_delta,4,0.4956597222222222,0.4902999944164534,0.25,13824,2304
distilbert-base-multilingual-cased,ru,endpoint_position_from_endpoint_delta,6,0.2252604166666666,0.1869330947913476,0.1666666666666666,13824,2304
distilbert-base-multilingual-cased,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4995659722222222,0.4619760670050946,0.5,13824,2304
distilbert-base-multilingual-cased,zh,triple_label_from_single_endpoint_delta,4,0.69140625,0.6933539322341173,0.25,13824,2304
distilbert-base-multilingual-cased,zh,endpoint_position_from_endpoint_delta,6,0.2230902777777778,0.1555482302008501,0.1666666666666666,13824,2304
distilbert-base-multilingual-cased,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5338541666666666,0.4864503189429887,0.5,13824,2304
intfloat/multilingual-e5-large,ar,triple_label_from_single_endpoint_delta,4,0.4965277777777778,0.3758063087010455,0.25,13824,2304
intfloat/multilingual-e5-large,ar,endpoint_position_from_endpoint_delta,6,0.1215277777777777,0.0890958966557765,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5021701388888888,0.4523370230516035,0.5,13824,2304
intfloat/multilingual-e5-large,de,triple_label_from_single_endpoint_delta,4,0.9796006944444444,0.9795672157545712,0.25,13824,2304
intfloat/multilingual-e5-large,de,endpoint_position_from_endpoint_delta,6,0.4466145833333333,0.4081595666266707,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6228298611111112,0.6228263795626791,0.5,13824,2304
intfloat/multilingual-e5-large,en,triple_label_from_single_endpoint_delta,4,0.9691840277777778,0.9689340357708328,0.25,13824,2304
intfloat/multilingual-e5-large,en,endpoint_position_from_endpoint_delta,6,0.4127604166666667,0.4153331995749487,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6310763888888888,0.6307734075406387,0.5,13824,2304
intfloat/multilingual-e5-large,es,triple_label_from_single_endpoint_delta,4,0.9309895833333334,0.931134550469188,0.25,13824,2304
intfloat/multilingual-e5-large,es,endpoint_position_from_endpoint_delta,6,0.4392361111111111,0.4345657249750561,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5924479166666666,0.590028362238485,0.5,13824,2304
intfloat/multilingual-e5-large,fr,triple_label_from_single_endpoint_delta,4,0.9483506944444444,0.9485462212972362,0.25,13824,2304
intfloat/multilingual-e5-large,fr,endpoint_position_from_endpoint_delta,6,0.44140625,0.4336292851363925,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6519097222222222,0.64755859375,0.5,13824,2304
intfloat/multilingual-e5-large,ru,triple_label_from_single_endpoint_delta,4,0.7282986111111112,0.7175630928486714,0.25,13824,2304
intfloat/multilingual-e5-large,ru,endpoint_position_from_endpoint_delta,6,0.3090277777777778,0.3027051381675609,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5030381944444444,0.4973545225574848,0.5,13824,2304
intfloat/multilingual-e5-large,zh,triple_label_from_single_endpoint_delta,4,0.9088541666666666,0.9089593967823102,0.25,13824,2304
intfloat/multilingual-e5-large,zh,endpoint_position_from_endpoint_delta,6,0.4075520833333333,0.3968880197894337,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6019965277777778,0.6008589747731419,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,ar,triple_label_from_single_endpoint_delta,4,0.5442708333333334,0.4674193926018743,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,ar,endpoint_position_from_endpoint_delta,6,0.1588541666666666,0.1193877494632241,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4986979166666667,0.342492884739827,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,de,triple_label_from_single_endpoint_delta,4,0.9622395833333334,0.9619577385322744,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,de,endpoint_position_from_endpoint_delta,6,0.4396701388888889,0.3932979844913906,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.63671875,0.63631254541501,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,en,triple_label_from_single_endpoint_delta,4,0.9991319444444444,0.999131941828046,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,en,endpoint_position_from_endpoint_delta,6,0.4305555555555556,0.4257069490725663,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6371527777777778,0.6371503170458783,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,es,triple_label_from_single_endpoint_delta,4,0.92578125,0.9258007617146572,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,es,endpoint_position_from_endpoint_delta,6,0.43359375,0.4240704008721967,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5954861111111112,0.5948116643205688,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,fr,triple_label_from_single_endpoint_delta,4,0.9709201388888888,0.9709376775519716,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,fr,endpoint_position_from_endpoint_delta,6,0.4396701388888889,0.4342102044149299,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6510416666666666,0.648174259736471,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,ru,triple_label_from_single_endpoint_delta,4,0.6566840277777778,0.6237985170793297,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,ru,endpoint_position_from_endpoint_delta,6,0.2847222222222222,0.26936690685904,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5286458333333334,0.4816121720898819,0.5,13824,2304
intfloat/multilingual-e5-large-instruct,zh,triple_label_from_single_endpoint_delta,4,0.9205729166666666,0.9190040776849708,0.25,13824,2304
intfloat/multilingual-e5-large-instruct,zh,endpoint_position_from_endpoint_delta,6,0.3927951388888889,0.3603827208398253,0.1666666666666666,13824,2304
intfloat/multilingual-e5-large-instruct,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5846354166666666,0.58428387117696,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,ar,triple_label_from_single_endpoint_delta,4,0.4049479166666667,0.3773512815108175,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,ar,endpoint_position_from_endpoint_delta,6,0.1623263888888889,0.1084705957689761,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5,0.3333333333333333,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,triple_label_from_single_endpoint_delta,4,0.7764756944444444,0.7650697550207897,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,endpoint_position_from_endpoint_delta,6,0.3198784722222222,0.293358878017781,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6163194444444444,0.61624541771175,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,triple_label_from_single_endpoint_delta,4,0.96484375,0.9649348829705882,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,endpoint_position_from_endpoint_delta,6,0.2921006944444444,0.2816566847064328,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5737847222222222,0.558698170838746,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,triple_label_from_single_endpoint_delta,4,0.8246527777777778,0.8174897469946345,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,endpoint_position_from_endpoint_delta,6,0.3337673611111111,0.3235770539539015,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5659722222222222,0.5619785186965212,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,triple_label_from_single_endpoint_delta,4,0.8793402777777778,0.8802517506856206,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,endpoint_position_from_endpoint_delta,6,0.2916666666666667,0.2544642852600635,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5616319444444444,0.5203403525551177,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,triple_label_from_single_endpoint_delta,4,0.4548611111111111,0.397549839243288,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,endpoint_position_from_endpoint_delta,6,0.1640625,0.1124031378334661,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5008680555555556,0.3827160493827161,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,triple_label_from_single_endpoint_delta,4,0.8559027777777778,0.8580269665880444,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,endpoint_position_from_endpoint_delta,6,0.3454861111111111,0.3028835761285366,0.1666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5785590277777778,0.5664532572534621,0.5,13824,2304
sentence-transformers/LaBSE,ar,triple_label_from_single_endpoint_delta,4,0.5004340277777778,0.3800920097455154,0.25,13824,2304
sentence-transformers/LaBSE,ar,endpoint_position_from_endpoint_delta,6,0.1605902777777778,0.160878452030043,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4848090277777778,0.4806166173557377,0.5,13824,2304
sentence-transformers/LaBSE,de,triple_label_from_single_endpoint_delta,4,0.9548611111111112,0.9545159254275082,0.25,13824,2304
sentence-transformers/LaBSE,de,endpoint_position_from_endpoint_delta,6,0.4826388888888889,0.4545089611287491,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6046006944444444,0.6018065828686513,0.5,13824,2304
sentence-transformers/LaBSE,en,triple_label_from_single_endpoint_delta,4,0.9587673611111112,0.9584850376950091,0.25,13824,2304
sentence-transformers/LaBSE,en,endpoint_position_from_endpoint_delta,6,0.4817708333333333,0.4734232758856353,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6566840277777778,0.6557345183729947,0.5,13824,2304
sentence-transformers/LaBSE,es,triple_label_from_single_endpoint_delta,4,0.9401041666666666,0.9393530667512264,0.25,13824,2304
sentence-transformers/LaBSE,es,endpoint_position_from_endpoint_delta,6,0.4370659722222222,0.4352566141989548,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5928819444444444,0.5457714952041384,0.5,13824,2304
