model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
distilbert-base-multilingual-cased,en,QMT,remove_endpoint_position,0.6055638609475005,1.0,6.0,96
distilbert-base-multilingual-cased,en,QMT,remove_sign,0.5898959228912642,1.0,1.0,96
distilbert-base-multilingual-cased,en,QMT,remove_triple_label,0.5910935119466262,1.0,4.0,96
distilbert-base-multilingual-cased,en,QMT,remove_triple_plus_position_plus_sign,0.6111459188259517,1.0,11.0,96
distilbert-base-multilingual-cased,es,NMT,raw,0.7524513719973939,1.0,0.0,96
distilbert-base-multilingual-cased,es,NMT,remove_endpoint_position,0.753983129852763,1.0,6.0,96
distilbert-base-multilingual-cased,es,NMT,remove_sign,0.7527705505177201,1.0,1.0,96
distilbert-base-multilingual-cased,es,NMT,remove_triple_label,0.7496577102674173,1.0,4.0,96
distilbert-base-multilingual-cased,es,NMT,remove_triple_plus_position_plus_sign,0.7541672898393577,1.0,11.0,96
distilbert-base-multilingual-cased,es,NQM,raw,0.5517375040215874,1.0,0.0,96
distilbert-base-multilingual-cased,es,NQM,remove_endpoint_position,0.5680864414587953,1.0,6.0,96
distilbert-base-multilingual-cased,es,NQM,remove_sign,0.5556168699541051,1.0,1.0,96
distilbert-base-multilingual-cased,es,NQM,remove_triple_label,0.547023634542746,1.0,4.0,96
distilbert-base-multilingual-cased,es,NQM,remove_triple_plus_position_plus_sign,0.5645736008010899,1.0,11.0,96
distilbert-base-multilingual-cased,es,NQT,raw,0.6491106618305169,1.0,0.0,96
distilbert-base-multilingual-cased,es,NQT,remove_endpoint_position,0.671647408168946,1.0,6.0,96
distilbert-base-multilingual-cased,es,NQT,remove_sign,0.6499785709028678,1.0,1.0,96
distilbert-base-multilingual-cased,es,NQT,remove_triple_label,0.6484069820555477,1.0,4.0,96
distilbert-base-multilingual-cased,es,NQT,remove_triple_plus_position_plus_sign,0.6667615922148253,1.0,11.0,96
distilbert-base-multilingual-cased,es,QMT,raw,0.6016070080748536,1.0,0.0,96
distilbert-base-multilingual-cased,es,QMT,remove_endpoint_position,0.6182320027951569,1.0,6.0,96
distilbert-base-multilingual-cased,es,QMT,remove_sign,0.6008723644175838,1.0,1.0,96
distilbert-base-multilingual-cased,es,QMT,remove_triple_label,0.602355655809256,1.0,4.0,96
distilbert-base-multilingual-cased,es,QMT,remove_triple_plus_position_plus_sign,0.6178530403409089,1.0,11.0,96
distilbert-base-multilingual-cased,fr,NMT,raw,0.7886302822954719,1.0,0.0,96
distilbert-base-multilingual-cased,fr,NMT,remove_endpoint_position,0.7885567930639121,1.0,6.0,96
distilbert-base-multilingual-cased,fr,NMT,remove_sign,0.7884895777319229,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NMT,remove_triple_label,0.7883644330042876,1.0,4.0,96
distilbert-base-multilingual-cased,fr,NMT,remove_triple_plus_position_plus_sign,0.7884812590956333,1.0,11.0,96
distilbert-base-multilingual-cased,fr,NQM,raw,0.5050976441631635,1.0,0.0,96
distilbert-base-multilingual-cased,fr,NQM,remove_endpoint_position,0.5055964137715476,1.0,6.0,96
distilbert-base-multilingual-cased,fr,NQM,remove_sign,0.5019837679339132,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NQM,remove_triple_label,0.5120699109070369,1.0,4.0,96
distilbert-base-multilingual-cased,fr,NQM,remove_triple_plus_position_plus_sign,0.5124637759666456,1.0,11.0,96
distilbert-base-multilingual-cased,fr,NQT,raw,0.6987947830785427,1.0,0.0,96
distilbert-base-multilingual-cased,fr,NQT,remove_endpoint_position,0.700449639572374,1.0,6.0,96
distilbert-base-multilingual-cased,fr,NQT,remove_sign,0.6964209968915668,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NQT,remove_triple_label,0.691919224350304,1.0,4.0,96
distilbert-base-multilingual-cased,fr,NQT,remove_triple_plus_position_plus_sign,0.6950504436599014,1.0,11.0,96
distilbert-base-multilingual-cased,fr,QMT,raw,0.6166430559551124,1.0,0.0,96
distilbert-base-multilingual-cased,fr,QMT,remove_endpoint_position,0.6200675302303903,1.0,6.0,96
distilbert-base-multilingual-cased,fr,QMT,remove_sign,0.6167970551797198,1.0,1.0,96
distilbert-base-multilingual-cased,fr,QMT,remove_triple_label,0.6103667344730249,1.0,4.0,96
distilbert-base-multilingual-cased,fr,QMT,remove_triple_plus_position_plus_sign,0.6152144806596253,1.0,11.0,96
distilbert-base-multilingual-cased,ru,NMT,raw,0.8024816829526232,1.0,0.0,96
distilbert-base-multilingual-cased,ru,NMT,remove_endpoint_position,0.8033752483099238,1.0,6.0,96
distilbert-base-multilingual-cased,ru,NMT,remove_sign,0.8025386294197691,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NMT,remove_triple_label,0.8023349151875508,1.0,4.0,96
distilbert-base-multilingual-cased,ru,NMT,remove_triple_plus_position_plus_sign,0.8034537030130747,1.0,11.0,96
distilbert-base-multilingual-cased,ru,NQM,raw,0.42856143220396187,1.0,0.0,96
distilbert-base-multilingual-cased,ru,NQM,remove_endpoint_position,0.4285013414547234,1.0,6.0,96
distilbert-base-multilingual-cased,ru,NQM,remove_sign,0.42870705798764136,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NQM,remove_triple_label,0.4233753460602863,1.0,4.0,96
distilbert-base-multilingual-cased,ru,NQM,remove_triple_plus_position_plus_sign,0.4240257621025823,1.0,11.0,96
distilbert-base-multilingual-cased,ru,NQT,raw,0.6888875062150727,1.0,0.0,96
distilbert-base-multilingual-cased,ru,NQT,remove_endpoint_position,0.6883538149195064,1.0,6.0,96
distilbert-base-multilingual-cased,ru,NQT,remove_sign,0.689788573156317,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NQT,remove_triple_label,0.6918550055793288,1.0,4.0,96
distilbert-base-multilingual-cased,ru,NQT,remove_triple_plus_position_plus_sign,0.6896472009666618,1.0,11.0,96
distilbert-base-multilingual-cased,ru,QMT,raw,0.6987792005408114,1.0,0.0,96
distilbert-base-multilingual-cased,ru,QMT,remove_endpoint_position,0.6980534131415667,1.0,6.0,96
distilbert-base-multilingual-cased,ru,QMT,remove_sign,0.6992788639967151,1.0,1.0,96
distilbert-base-multilingual-cased,ru,QMT,remove_triple_label,0.706699775747838,1.0,4.0,96
distilbert-base-multilingual-cased,ru,QMT,remove_triple_plus_position_plus_sign,0.7079316320074928,1.0,11.0,96
distilbert-base-multilingual-cased,zh,NMT,raw,0.8181818218507534,1.0,0.0,96
distilbert-base-multilingual-cased,zh,NMT,remove_endpoint_position,0.8181818181807324,1.0,6.0,96
distilbert-base-multilingual-cased,zh,NMT,remove_sign,0.81818181818075,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NMT,remove_triple_label,0.8181818181807495,1.0,4.0,96
distilbert-base-multilingual-cased,zh,NMT,remove_triple_plus_position_plus_sign,0.8181818181807329,1.0,11.0,96
distilbert-base-multilingual-cased,zh,NQM,raw,0.5191532468233461,1.0,0.0,96
distilbert-base-multilingual-cased,zh,NQM,remove_endpoint_position,0.5271290639770805,1.0,6.0,96
distilbert-base-multilingual-cased,zh,NQM,remove_sign,0.5181840288620413,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NQM,remove_triple_label,0.5207800641538528,1.0,4.0,96
distilbert-base-multilingual-cased,zh,NQM,remove_triple_plus_position_plus_sign,0.5209815007682915,1.0,11.0,96
distilbert-base-multilingual-cased,zh,NQT,raw,0.6226710314287979,1.0,0.0,96
distilbert-base-multilingual-cased,zh,NQT,remove_endpoint_position,0.6253108900181372,1.0,6.0,96
distilbert-base-multilingual-cased,zh,NQT,remove_sign,0.6234226618513165,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NQT,remove_triple_label,0.625523879081087,1.0,4.0,96
distilbert-base-multilingual-cased,zh,NQT,remove_triple_plus_position_plus_sign,0.6251465820200927,1.0,11.0,96
distilbert-base-multilingual-cased,zh,QMT,raw,0.5189753863182572,1.0,0.0,96
distilbert-base-multilingual-cased,zh,QMT,remove_endpoint_position,0.5221210967993636,1.0,6.0,96
distilbert-base-multilingual-cased,zh,QMT,remove_sign,0.5193160127527674,1.0,1.0,96
distilbert-base-multilingual-cased,zh,QMT,remove_triple_label,0.5173821435536627,1.0,4.0,96
distilbert-base-multilingual-cased,zh,QMT,remove_triple_plus_position_plus_sign,0.5179555939231771,1.0,11.0,96
