triple,residualization,mean_ratio_to_exact_null,mean_frac_below_null,mean_subspace_rank,n_cells
NMT,raw,0.7389243054190361,1.0,0.0,14
NMT,remove_endpoint_position,0.7390027227951251,1.0,6.0,14
NMT,remove_sign,0.7384596725310892,1.0,1.0,14
NMT,remove_triple_label,0.7380214897507825,1.0,4.0,14
NMT,remove_triple_plus_position_plus_sign,0.737624244790764,1.0,11.0,14
NQM,raw,0.5557272277455181,1.0,0.0,14
NQM,remove_endpoint_position,0.5578050563558703,1.0,6.0,14
NQM,remove_sign,0.5469219015113624,1.0,1.0,14
NQM,remove_triple_label,0.5568927796503095,1.0,4.0,14
NQM,remove_triple_plus_position_plus_sign,0.5590176975441421,1.0,11.0,14
NQT,raw,0.6986872494364677,1.0,0.0,14
NQT,remove_endpoint_position,0.6996659996665393,1.0,6.0,14
NQT,remove_sign,0.6939075268926818,1.0,1.0,14
NQT,remove_triple_label,0.7019618218268737,1.0,4.0,14
NQT,remove_triple_plus_position_plus_sign,0.703537006046402,1.0,11.0,14
QMT,raw,0.6210423081108681,1.0,0.0,14
QMT,remove_endpoint_position,0.6338078930809673,1.0,6.0,14
QMT,remove_sign,0.6221271069231223,1.0,1.0,14
QMT,remove_triple_label,0.6148854887919685,1.0,4.0,14
QMT,remove_triple_plus_position_plus_sign,0.6294685904999918,1.0,11.0,14
