,precision,recall,f1-score,support
formalization,1.0,1.0,1.0,800.0
future,1.0,0.9975,0.9987484355444305,800.0
negation,1.0,0.99875,0.9993746091307066,800.0
passive,0.9378663540445487,1.0,0.9679370840895342,800.0
question,1.0,1.0,1.0,800.0
uncertainty,1.0,0.9375,0.967741935483871,800.0
accuracy,0.9889583333333334,0.9889583333333334,0.9889583333333334,0.9889583333333334
macro avg,0.9896443923407582,0.9889583333333333,0.9889670107080902,4800.0
weighted avg,0.9896443923407581,0.9889583333333334,0.9889670107080903,4800.0
