model,layer,class,n,mean_pairwise_cosine,median_pairwise_cosine,std_pairwise_cosine,p10_pairwise_cosine,p90_pairwise_cosine,centroid_norm,mean_delta_norm,centroid_to_mean_norm,resultant_length_unit_deltas
gpt2,0,question,100.0,0.976179301738739,0.9753052592277527,0.007742829620838165,0.9669458270072937,0.9869594573974609,23.0219669342041,23.298723220825195,0.9881213968680178,0.9881384372711182
gpt2,0,negation,100.0,0.47857120633125305,0.5758121013641357,0.29775750637054443,0.08795799314975739,0.8329681158065796,2.441375255584717,3.3803985118865967,0.7222152201875943,0.6955468654632568
gpt2,1,question,100.0,0.9813716411590576,0.9804714918136597,0.006477465387433767,0.9736620783805847,0.9912741184234619,30.37007713317871,30.654123306274414,0.9907338347191109,0.9907360672950745
gpt2,1,negation,100.0,0.5705879330635071,0.6792424321174622,0.2618446350097656,0.22419148683547974,0.8707109689712524,3.097170352935791,3.928459882736206,0.7883930205182079,0.758209764957428
gpt2,2,question,100.0,0.969275176525116,0.9688193798065186,0.010039073415100574,0.9570288062095642,0.9828088283538818,35.675148010253906,36.2302360534668,0.9846788731270008,0.984673798084259
gpt2,2,negation,100.0,0.5620653629302979,0.6127750277519226,0.21435129642486572,0.2662099599838257,0.8171533942222595,4.9042558670043945,6.37607479095459,0.769165360789218,0.7526252269744873
gpt2,3,question,100.0,0.936535656452179,0.9344708919525146,0.022412749007344246,0.9092885851860046,0.9664494395256042,39.40745544433594,40.7066650390625,0.9680836149686839,0.9680755734443665
gpt2,3,negation,100.0,0.566543459892273,0.5632237792015076,0.16764430701732635,0.3442748188972473,0.7855826020240784,7.937496662139893,10.368560791015625,0.7655350460033934,0.7555646896362305
gpt2,4,question,100.0,0.9006486535072327,0.8987282514572144,0.033882174640893936,0.8580116033554077,0.9445329308509827,42.32548522949219,44.5692138671875,0.9496574329450282,0.9495484232902527
gpt2,4,negation,100.0,0.5425169467926025,0.532233476638794,0.17274336516857147,0.3285859525203705,0.7800295948982239,12.103992462158203,16.1735897064209,0.7483800864165723,0.7396565675735474
gpt2,5,question,100.0,0.874772310256958,0.86973637342453,0.04141131788492203,0.8244878053665161,0.9293099045753479,45.50288009643555,48.604827880859375,0.936180253697672,0.9359618425369263
gpt2,5,negation,100.0,0.4834926426410675,0.4653928279876709,0.17393377423286438,0.27162104845046997,0.7195996046066284,13.099469184875488,18.564725875854492,0.7056106980772666,0.6990405321121216
gpt2,6,question,100.0,0.8368853330612183,0.8324771523475647,0.05457828566431999,0.7686015963554382,0.9093040227890015,52.53972244262695,57.360572814941406,0.9159553307135101,0.9157055020332336
gpt2,6,negation,100.0,0.4713588058948517,0.4570082426071167,0.1793433129787445,0.24730224907398224,0.7122966647148132,18.43459129333496,26.639657974243164,0.6919980470904675,0.6903949975967407
gpt2,7,question,100.0,0.820360541343689,0.8193233013153076,0.061281513422727585,0.7430644631385803,0.8997721076011658,58.511009216308594,64.50872802734375,0.9070246927129959,0.9067286252975464
gpt2,7,negation,100.0,0.44277381896972656,0.43587246537208557,0.1936120092868805,0.19623348116874695,0.695540726184845,21.229040145874023,31.693984985351562,0.6698129047415485,0.6695865392684937
gpt2,8,question,100.0,0.8075686693191528,0.8075015544891357,0.067148856818676,0.7220954298973083,0.8937808275222778,71.34078979492188,79.23431396484375,0.9003774529628019,0.8997182846069336
gpt2,8,negation,100.0,0.4292856752872467,0.4249853491783142,0.2005380094051361,0.1774347722530365,0.6915780305862427,25.785066604614258,39.056819915771484,0.6601937039477543,0.6595398187637329
gpt2,9,question,100.0,0.789588212966919,0.7907570004463196,0.07465684413909912,0.6946632862091064,0.8839573860168457,81.61931610107422,91.68289184570312,0.8902349659567218,0.8897709250450134
gpt2,9,negation,100.0,0.41085630655288696,0.41072341799736023,0.20895487070083618,0.13960376381874084,0.6780139207839966,28.95811653137207,44.869930267333984,0.6453791293821864,0.6455600261688232
gpt2,10,question,100.0,0.7932392954826355,0.7969689965248108,0.07447499781847,0.6947367191314697,0.8854402899742126,97.63880920410156,109.38493347167969,0.8926166164317306,0.891799807548523
gpt2,10,negation,100.0,0.38836637139320374,0.38548725843429565,0.21618787944316864,0.11449399590492249,0.6740312576293945,33.04796600341797,52.50550842285156,0.6294190266146271,0.6280785799026489
gpt2,11,question,100.0,0.9585819244384766,0.9736418724060059,0.0501960851252079,0.9138391613960266,0.9921743869781494,79.28207397460938,80.5475082397461,0.9842895914126706,0.9792833924293518
gpt2,11,negation,100.0,0.13727951049804688,0.27622783184051514,0.6935383081436157,-0.8445867896080017,0.9546845555305481,9.244234085083008,30.047826766967773,0.3076506716034814,0.381977379322052
