model,true_f1,shuffle_mean_f1,shuffle_std_f1,shuffle_max_f1,p_empirical
bert-base-uncased,0.6896892911010558,0.16702751208756234,0.08325085549603957,0.4195604395604396,0.009900990099009901
distilroberta-base,0.7968253968253968,0.18997343227110355,0.1235971663174274,0.5595503911293386,0.009900990099009901
roberta-base,0.5276190476190477,0.16691754394750435,0.10296069076945542,0.49564270152505446,0.009900990099009901
gpt2,0.3910086118814772,0.15248723313097773,0.09927986341431619,0.44909090909090904,0.019801980198019802
distilgpt2,0.5758998895841001,0.18665679995642923,0.10554990366009764,0.47989417989417993,0.009900990099009901
