model,normalized_bracket_norm,mean_composition_gap,mean_empirical_bracket_norm
bert-base-uncased,0.04668712247996199,0.6761438604665791,0.6761438604665793
distilgpt2,0.05683102368289337,4.402913015003037,4.402913015003037
distilroberta-base,0.053084021006855484,0.09440893486959709,0.09440893486959709
gpt2,0.039665100239251926,10.243440011832918,10.243440011832918
roberta-base,0.09113578990828777,0.24582387707670575,0.24582387707670575
