model,language,triple,basis_rank,jacobi_coeff_norm,jacobi_embedding_norm,relative_jacobi_embedding_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NQM,4,0.24141271888155993,0.0722541055070785,0.27961103263710113,-0.03412243211641908,-0.020722138055134565,0.21037084609270096,-0.11149197537451982
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NQT,4,1.1225883754477681,0.46497416902266986,1.3099841634444664,0.2956083985045552,-0.24923621909692883,0.26083334907889366,-1.0211109668016434
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NMT,4,0.2186930578700589,0.059806576662426586,0.42487296525077606,0.07017543900292367,-0.026576045842375606,0.1609871513210237,-0.12758884049253538
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,QMT,4,0.6549086622079008,0.14980686073726743,0.8136471661653193,-0.529765801038593,0.036515139508992434,-0.051300862804055214,0.3798531531356275
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NQM,4,0.056333908410272304,0.05618719890832556,0.29561932595990836,0.004658765454223612,-0.032346719919587485,-0.039687846205197275,-0.02302975716884248
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NQT,4,0.8211290807084585,0.3164541733276653,0.798982873298092,0.04892905037559103,-0.01872584130614996,-0.8150629024021327,0.08473914803471416
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NMT,4,0.08413989491565922,0.04103831605561441,0.22426951244026527,0.00047389554310939275,-0.013633187481900677,0.07885985670145601,-0.025972226310841506
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,QMT,4,0.047755485720929025,0.019619868304473355,0.09725782320090413,-0.004973220835381653,0.0023765868390910327,0.047422053568880074,0.0011636843519227114
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NQM,4,0.05665053300100344,0.08127563491253598,0.27587359114130955,-0.019026756890525576,-0.02694171020993963,0.044564757496118546,-0.011635809030849487
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NQT,4,0.1676734146595783,0.18135106714219898,0.3134294604602945,-0.05423640625667758,0.14660405507311225,-0.04611515440046787,0.03941357368603349
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NMT,4,0.17126934386532208,0.0804965753356543,0.42168214268974064,0.0037447484355652705,0.04595389770111069,-0.16288562770932913,-0.025993779621785507
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,QMT,4,0.2713868309674198,0.14638239891748947,0.42361514848491444,-0.0032207538424700033,-0.015289548653527163,0.2569492786133196,-0.08592867210245458
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NQM,4,0.3350976673312949,0.1739680711657845,0.6029292291063466,0.06409510091179982,-0.02415604778798297,0.2508612032979727,-0.21134665061254054
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NQT,4,0.6273042706619871,0.33218183287691533,0.7118859494696429,0.13910714723169804,-0.0705959431361407,0.5464952178299427,-0.26555421156808734
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NMT,4,0.07201745843703126,0.052679769635945235,0.23717512317874997,-0.021150483946257737,0.013832750213623513,0.06274479115381837,-0.024716746411286294
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,QMT,4,0.16842722523612907,0.0809425725909694,0.3200069336757383,-0.01564484659320442,0.006100898106524255,0.154231223044917,-0.06556277797790244
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NQM,4,0.15160680185996941,0.17157379378016482,0.6305403692557789,0.07274868033709936,0.012640604341868311,0.02820132354827365,-0.12937214673729613
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NQT,4,0.3929813226880934,0.36691736303069666,0.7392579818115358,0.16947970551700564,-0.019097641576081514,-0.3521153438196052,0.03689192503225058
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NMT,4,0.04928376783160138,0.04587688810781495,0.2746599805010617,-0.020701656785604428,-0.0032970901102089556,0.04104826331604272,0.017449941362428945
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,QMT,4,0.023085733260465872,0.04658094467600364,0.13171314969245607,-0.015987500104529317,-0.015499376388106612,-0.0006571950798388571,0.006057090620743111
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,NQM,4,1.0773173743401878,0.5609673793589711,1.6224367574746315,-0.6858885468100198,0.3145672813134297,0.5191100059746532,-0.5672229311603587
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,NQT,4,1.1911937308862688,0.5364816962282118,1.0111249509969003,-0.5575295011512935,0.3084024197887629,0.8006508180405945,-0.609876688264194
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,NMT,4,0.4279448451178897,0.1875191443393616,0.6710484325188584,-0.07647942996118218,0.11189354365342297,0.3147419991437346,0.25632985803349584
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,QMT,4,0.047737905581717005,0.0194058713769124,0.08454608659397933,0.010038920503575355,-0.040172130306018516,-0.01913752924883738,0.014074182938202284
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,NQM,4,0.08296484336388066,0.05371604411009695,0.21810093886045623,-0.004525833297520876,0.0071071842685341835,0.06762234214693308,-0.04732218128629029
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,NQT,4,0.10860468242256473,0.09190673171513485,0.2457824355114605,0.011112594569567591,-0.003478124039247632,0.04068892076611519,-0.10001900652423501
