model,language,operator,centroid_norm,n
intfloat/multilingual-e5-large,zh,T,3.624911785125733,160
sentence-transformers/LaBSE,ar,N,2.8582937717437744,160
sentence-transformers/LaBSE,ar,Q,5.6172051429748535,160
sentence-transformers/LaBSE,ar,M,2.354072332382202,160
sentence-transformers/LaBSE,ar,T,3.65366005897522,160
sentence-transformers/LaBSE,de,N,6.854275703430176,160
sentence-transformers/LaBSE,de,Q,10.472725868225098,160
sentence-transformers/LaBSE,de,M,5.905600070953369,160
sentence-transformers/LaBSE,de,T,6.568429946899414,160
sentence-transformers/LaBSE,en,N,5.948514461517334,160
sentence-transformers/LaBSE,en,Q,7.584127902984619,160
sentence-transformers/LaBSE,en,M,4.968733310699463,160
sentence-transformers/LaBSE,en,T,6.378324508666992,160
sentence-transformers/LaBSE,es,N,5.504231452941895,160
sentence-transformers/LaBSE,es,Q,6.729609966278076,160
sentence-transformers/LaBSE,es,M,4.591115951538086,160
sentence-transformers/LaBSE,es,T,5.071703910827637,160
sentence-transformers/LaBSE,fr,N,6.848325252532959,160
sentence-transformers/LaBSE,fr,Q,10.397384643554688,160
sentence-transformers/LaBSE,fr,M,3.949884653091431,160
sentence-transformers/LaBSE,fr,T,4.167054653167725,160
sentence-transformers/LaBSE,ru,N,3.9530556201934814,160
sentence-transformers/LaBSE,ru,Q,8.518630027770996,160
sentence-transformers/LaBSE,ru,M,3.378476619720459,160
sentence-transformers/LaBSE,ru,T,4.197606086730957,160
sentence-transformers/LaBSE,zh,N,4.559506893157959,160
sentence-transformers/LaBSE,zh,Q,6.734583854675293,160
sentence-transformers/LaBSE,zh,M,4.093250751495361,160
sentence-transformers/LaBSE,zh,T,4.267377853393555,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,N,0.3669125139713287,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,Q,0.7089847922325134,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,M,0.2452821284532547,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,T,0.426372617483139,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,N,1.9593580961227417,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,Q,1.0925273895263672,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,M,0.3834367990493774,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,T,0.911697506904602,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,N,2.6726205348968506,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,Q,1.5002837181091309,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,M,0.4499195218086242,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,T,1.1957476139068604,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,N,2.2505998611450195,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,Q,0.9688421487808228,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,M,0.3669040203094482,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,T,0.6516178250312805,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,N,2.228302001953125,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,Q,1.1977112293243408,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,M,0.3361913561820984,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,T,0.8118349313735962,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,N,0.698963463306427,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,Q,0.6414371132850647,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,M,0.3082212805747986,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,T,0.5076793432235718,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,N,2.200591802597046,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,Q,1.1343599557876587,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,M,0.3235954046249389,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,T,0.9210124611854552,160
xlm-roberta-base,ar,N,0.3779491186141968,160
xlm-roberta-base,ar,Q,0.5282023549079895,160
xlm-roberta-base,ar,M,0.2894397974014282,160
xlm-roberta-base,ar,T,0.4248351156711578,160
xlm-roberta-base,de,N,0.5772939324378967,160
xlm-roberta-base,de,Q,0.6467252969741821,160
xlm-roberta-base,de,M,0.2907391786575317,160
xlm-roberta-base,de,T,0.3225783407688141,160
xlm-roberta-base,en,N,0.5417048931121826,160
xlm-roberta-base,en,Q,0.5541160702705383,160
xlm-roberta-base,en,M,0.4847439527511596,160
xlm-roberta-base,en,T,0.5356197953224182,160
xlm-roberta-base,es,N,0.5107529759407043,160
xlm-roberta-base,es,Q,0.6718794703483582,160
xlm-roberta-base,es,M,0.3830586373806,160
