model,language,triple,basis_rank,jacobi_coeff_norm,jacobi_embedding_norm,relative_jacobi_embedding_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
bert-base-multilingual-cased,ar,NQM,4,0.8682031199965506,0.908365851522546,1.2297089053520447,0.5457171125453897,-0.10323491724557243,-0.14442345601855777,-0.6515012723393738
bert-base-multilingual-cased,ar,NQT,4,0.9394753955722525,1.4413877775869872,1.3354291250342296,-0.5378102351023699,0.03589670569635928,0.6944537870585918,-0.3313903047237545
bert-base-multilingual-cased,ar,NMT,4,0.19025258707686896,0.19012580633912876,0.43099733055571887,0.12084491578571033,-0.022496011119073955,-0.00954301399178803,-0.1448979419656098
bert-base-multilingual-cased,ar,QMT,4,0.8286210686750521,0.8083724684409228,1.2452194829507512,0.558034956746269,-0.08793541797604121,-0.25028634374029934,-0.5521177147165872
bert-base-multilingual-cased,de,NQM,4,0.13003839534854517,0.29519276726003035,0.3299220811637034,-0.11368299351306632,0.01827451353892684,0.059775073372293264,-0.008896291867131367
bert-base-multilingual-cased,de,NQT,4,0.17276530605308624,0.5679081363495635,0.5524476385902443,-0.012547376798465848,-0.006290089571848512,-0.032109457068145275,-0.1691739691887051
bert-base-multilingual-cased,de,NMT,4,0.031438961820931775,0.08366416926532497,0.17187430780624965,0.016555528942262754,-0.011192294936336111,0.02233128377702087,-0.009506265341769904
bert-base-multilingual-cased,de,QMT,4,0.18370046055115968,0.47075962282343203,0.6025693290085498,-0.044373424258083105,-0.023799803107976913,0.12267260486260056,-0.12712930352427065
bert-base-multilingual-cased,en,NQM,4,0.23123113665056785,0.5845243516557728,0.49863818753112366,-0.0871436451561749,-0.016742512525524944,0.2113287835381925,0.030555804492905736
bert-base-multilingual-cased,en,NQT,4,0.3680990076076988,1.257082482574541,0.8082125756731493,0.08467186521738768,0.016314389533363283,-0.128689453471452,-0.3339167858939618
bert-base-multilingual-cased,en,NMT,4,0.10118082008098353,0.28783328132027636,0.29193595797578936,0.026462879846803844,0.008176848328730557,-0.09010020503774285,-0.03677453665295616
bert-base-multilingual-cased,en,QMT,4,0.25809154433335807,0.7165318721987554,0.7165239284820686,-0.19066098984330893,-0.028997210261877626,0.10699862090405077,0.134052561072167
bert-base-multilingual-cased,es,NQM,4,0.2385708552840829,0.3957869190898687,0.42527576476340756,0.008100100531009957,-0.013026928441831842,0.21313234430272132,-0.10609120750450529
bert-base-multilingual-cased,es,NQT,4,0.4653447591913698,1.008558912556197,0.7934032303412318,0.059323477325960994,-0.044269300007727,0.061923901143018156,-0.45522755791898817
bert-base-multilingual-cased,es,NMT,4,0.061034184193765634,0.12774145724060798,0.19194569249927199,0.025623126071877778,-0.005562279184232466,-0.02153106266632676,-0.050735603290377185
bert-base-multilingual-cased,es,QMT,4,0.0777204316119784,0.1417175638237262,0.23232961315575792,-0.03839271527249366,-0.008415262491325848,0.062456233077682555,-0.024389899772359058
bert-base-multilingual-cased,fr,NQM,4,0.18307337074468574,0.22582423062119725,0.17482298738017593,-0.049022115039406344,-0.011459317291155457,0.1753900325857103,-0.014822679571807384
bert-base-multilingual-cased,fr,NQT,4,0.3831115639189808,1.0759880278936607,0.7043943106096842,0.07860669435467571,0.07396665518172085,0.33119091764092445,0.15948971128091216
bert-base-multilingual-cased,fr,NMT,4,0.10666938090771617,0.26932749096444053,0.42629162704513635,0.06536892772419378,0.012076936080120504,0.08154279855079949,-0.017611920135095716
bert-base-multilingual-cased,fr,QMT,4,0.1287883486352203,0.3967716626326898,0.5481917680751861,-0.11199316062266007,-0.02204682125011459,0.037679956993088126,-0.046239909512223676
bert-base-multilingual-cased,ru,NQM,4,0.23019858825071784,0.3920723276260716,0.7040519599448876,0.018057016597595066,0.03606283868430182,0.0410352642138605,-0.22289215540513396
bert-base-multilingual-cased,ru,NQT,4,0.5968451560201493,1.0976953896429904,1.0704316045974294,-0.23316323346080026,0.10117529561830452,0.2116313141741557,-0.49682471078267554
bert-base-multilingual-cased,ru,NMT,4,0.05469861500852,0.09296865077021725,0.1631047742720491,-0.00022762482331017964,-0.0032927608781392337,-0.027380587496736553,0.047237144546670606
bert-base-multilingual-cased,ru,QMT,4,0.06427845144780715,0.11096097636941268,0.30671435417891896,-0.0007056706381263211,0.010590714191494044,0.019084805404418148,-0.06045517616439611
bert-base-multilingual-cased,zh,NQM,4,0.10141463819448789,0.31295237313816066,0.26041761108057293,-0.0026652604719856754,0.00467436108738184,-0.016206340776989236,-0.09996664490608964
bert-base-multilingual-cased,zh,NQT,4,0.5082801341388753,1.2361141746818567,0.7728824176559832,0.012461379716114607,0.07306366066040937,-0.3372695160214789,-0.372967000992503
bert-base-multilingual-cased,zh,NMT,4,0.008789053949813526,0.029307135337351183,0.067869955648611,0.004956426564604044,0.0010497965849936008,-0.005452483892440796,0.00467436108738184
bert-base-multilingual-cased,zh,QMT,4,0.12338804050262912,0.3407970078740895,0.42610698857993407,-0.018887025769799948,-0.004956426564604044,0.02699551172554493,0.11880473466590047
