model,language,triple,basis_rank,jacobi_coeff_norm,jacobi_embedding_norm,relative_jacobi_embedding_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
xlm-roberta-base,ar,NQM,4,0.1125877895820425,0.04759916638616072,0.29311957640947833,-0.08464150388317648,0.008375356381293386,-0.07347314286744222,-0.006586111601791345
xlm-roberta-base,ar,NQT,4,0.815357921156248,0.41081073265532264,1.754641965016964,-0.5432327202288434,-0.12902936688624322,0.2655459098605206,-0.5315482513397001
xlm-roberta-base,ar,NMT,4,0.013735578744029467,0.0037490639469032103,0.06984539970840702,0.0050988660696020816,0.006979419456911273,0.00588596542365849,-0.00890566130692605
xlm-roberta-base,ar,QMT,4,0.09914761025863555,0.043082156616630785,0.31806814486475266,0.020975422085030004,-0.010079834872158244,-0.019106260500848293,0.09446495660813525
xlm-roberta-base,de,NQM,4,0.3560764070003203,0.2196928788806071,0.6717940278812085,-0.2897205287263205,0.060973788447881816,-0.14692671917146072,-0.13246569054899737
xlm-roberta-base,de,NQT,4,1.4989221078615802,0.9286371397998368,2.275323560026845,-1.4158459716418292,0.4359041457355488,-0.15410782711114734,0.16848152235615999
xlm-roberta-base,de,NMT,4,0.19804624919130795,0.10658305274351756,1.3783814897231896,-0.1632832738396246,0.06337314084521495,0.014732463518157601,0.0912561715231277
xlm-roberta-base,de,QMT,4,0.7272945620404144,0.1588297855995919,0.311741993885246,0.2890120465926884,0.14721816088786,-0.1560366997437086,-0.6319879574293736
xlm-roberta-base,en,NQM,4,0.38877267401950244,0.0966869729772408,0.47602859010199683,-0.30296788830310106,-0.03707319148816168,0.09934649709612131,0.2193410648033023
xlm-roberta-base,en,NQT,4,0.9979060934770048,0.6911979932301398,1.8631516701083226,-0.8973426558077335,0.20278612500987947,-0.32758904295042157,-0.20531910751014948
xlm-roberta-base,en,NMT,4,0.21971484525080315,0.11162440794453686,0.5904989193741319,-0.14430414512753487,0.0548471522051841,-0.13973735505715013,0.07011553621850908
xlm-roberta-base,en,QMT,4,0.20272316180082575,0.0901517677877742,0.2535387074178144,0.06280093174427748,0.04414253681898117,-0.06403473950922489,-0.1763624446466565
xlm-roberta-base,es,NQM,4,0.3491484214933141,0.06920117410558753,0.2595407918193334,-0.17541555501520634,-0.029888829798437655,0.2884108948055655,-0.0840227165754186
xlm-roberta-base,es,NQT,4,0.5289345968178117,0.3054743218338521,0.957115629991126,-0.4183368240483105,0.12735434621572495,0.1351811341010034,-0.2650906275957823
xlm-roberta-base,es,NMT,4,0.206477766003245,0.1332840209850713,1.1410564836313486,-0.005307577957864851,-0.1269998621137347,0.14579021465033293,0.07225749653298408
xlm-roberta-base,es,QMT,4,0.47453997829539585,0.10495857255754709,0.3060478104546565,0.3150403369218111,-0.0631780861876905,-0.11613394785672426,-0.3293314632610418
xlm-roberta-base,fr,NQM,4,0.08329687070120212,0.023186811025552843,0.09260602683526116,0.007623573066666722,0.023899668754893355,0.049475850828457624,-0.06213852122891694
xlm-roberta-base,fr,NQT,4,1.4442508269745749,0.52916703092419,1.1706935908241545,0.42006937600672245,0.2435748465359211,-1.2122294059954584,0.616906258626841
xlm-roberta-base,fr,NMT,4,0.08647517970323582,0.028669892665998477,0.2033162597849279,0.03984562853293028,0.0009385711455252022,-0.07408957206644118,0.02000342437531799
xlm-roberta-base,fr,QMT,4,0.10803692350447602,0.046365654532923205,0.34802986651477213,0.04372845287434757,-0.0322741792188026,0.07948489376576617,-0.04899314511567354
xlm-roberta-base,ru,NQM,4,0.5385446083831259,0.12329991574301857,0.37471655858394126,-0.5169731257483363,0.027596221974818036,0.11483068112283945,0.09392255148850381
xlm-roberta-base,ru,NQT,4,0.7922231130570858,0.3909616517693501,0.9225738964011019,-0.4574619708582759,0.5140387911815196,-0.3905081544071436,0.04016850236803293
xlm-roberta-base,ru,NMT,4,0.11572448030100392,0.04718960231446331,0.3897309409190586,0.07779005670454353,-0.055039559956640005,0.05209599307272583,-0.03996894750162028
xlm-roberta-base,ru,QMT,4,0.485040745366694,0.2021971620682691,0.6376417542190118,-0.43926459294743836,-0.038851252233143896,0.07497815834358335,-0.1875633173622191
xlm-roberta-base,zh,NQM,4,0.5278454330116706,0.20782032525959118,0.800252674604611,-0.31024270167108625,0.09474501758813858,0.151695866137743,-0.3877911977469921
xlm-roberta-base,zh,NQT,4,0.7317676911111921,0.2912354194545606,0.9276698265474089,-0.03819788689725101,0.2457330843899399,-0.5837968587875366,-0.364446640945971
xlm-roberta-base,zh,NMT,4,0.17361023988389518,0.06226940992400415,0.715594450457487,-0.009858117438852787,0.05260136350989342,-0.13527679443359375,0.09474501758813858
xlm-roberta-base,zh,QMT,4,0.13263263224811067,0.053614479976086954,0.28275005140618314,-0.04170631803572178,0.009858117438852787,0.05053951404988766,0.11489374749362469
