model,language,pair,basis_rank,commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/LaBSE,ar,NQ_minus_QN,4,4.956246852874756,0.7909401059150696,0.983966407035243,0.01115274942060623,0.000999000999000999,1.233608365058899,0.0899985060095787,-1.2337703704833984,0.11814288049936295
sentence-transformers/LaBSE,ar,NM_minus_MN,4,0.5933049917221069,0.7959763407707214,0.9844601875098186,0.011355414870564165,0.000999000999000999,0.21150416135787964,-0.0051849838346242905,-0.171617791056633,-0.06197749450802803
sentence-transformers/LaBSE,ar,NT_minus_TN,4,3.518663167953491,0.9060925841331482,0.9843066384171653,0.01156411142084585,0.000999000999000999,-0.9130822420120239,0.012089346535503864,0.6439998745918274,0.4287348687648773
sentence-transformers/LaBSE,ar,QM_minus_MQ,4,4.390145778656006,0.9401323199272156,0.9841171253680604,0.011035569155974548,0.007992007992007992,-0.20229187607765198,-0.10851530730724335,0.7824323177337646,-0.15842771530151367
sentence-transformers/LaBSE,ar,QT_minus_TQ,4,3.6022393703460693,0.9171004295349121,0.9842112107387176,0.010974856665694721,0.000999000999000999,-0.13266654312610626,-0.02825242094695568,0.6721116304397583,0.05479157716035843
sentence-transformers/LaBSE,ar,MT_minus_TM,4,0.630388081073761,0.72315913438797,0.9844604567743479,0.01101062963033847,0.000999000999000999,0.04631529003381729,0.004874409642070532,0.18021146953105927,-0.1670386642217636
sentence-transformers/LaBSE,de,NQ_minus_QN,4,9.041265487670898,0.8707355260848999,0.9841436796422437,0.011053775864587173,0.000999000999000999,0.386478990316391,0.19978828728199005,-0.39379891753196716,-0.2964489459991455
sentence-transformers/LaBSE,de,NM_minus_MN,4,2.5128769874572754,0.8741775155067444,0.983934344059103,0.011022264416037887,0.000999000999000999,0.05129778012633324,-0.03167470172047615,-0.19128380715847015,-0.017124038189649582
sentence-transformers/LaBSE,de,NT_minus_TN,4,8.645075798034668,0.9739255905151367,0.984136327425545,0.011058397899282235,0.16283716283716285,0.00825205072760582,0.08247926086187363,0.06583982706069946,0.19594858586788177
sentence-transformers/LaBSE,de,QM_minus_MQ,4,7.5684685707092285,0.9494681358337402,0.9845820129650035,0.011023170302766462,0.013986013986013986,0.05479161813855171,0.11070197820663452,0.34302061796188354,-0.10074703395366669
sentence-transformers/LaBSE,de,QT_minus_TQ,4,8.425396919250488,0.9213603734970093,0.9841918836052803,0.010895018415880382,0.000999000999000999,0.24220511317253113,0.047230951488018036,0.45763081312179565,-0.25055956840515137
sentence-transformers/LaBSE,de,MT_minus_TM,4,1.7352697849273682,0.9091074466705322,0.9837726035179805,0.012349628650845752,0.001998001998001998,0.011516881175339222,0.013100712560117245,0.12383338809013367,-0.048806000500917435
sentence-transformers/LaBSE,en,NQ_minus_QN,4,7.795346736907959,0.8783368468284607,0.9837616332154512,0.011120955724543993,0.000999000999000999,0.45233863592147827,0.07693690806627274,-0.5476958155632019,-0.16043755412101746
sentence-transformers/LaBSE,en,NM_minus_MN,4,2.34531831741333,0.8112801909446716,0.9838971670955019,0.011537888081765495,0.000999000999000999,0.07577618211507797,-0.029512498527765274,-0.25726407766342163,-0.03828717768192291
sentence-transformers/LaBSE,en,NT_minus_TN,4,6.385522842407227,0.832624614238739,0.984393902656675,0.01052945003343894,0.000999000999000999,-0.15926027297973633,-0.049622517079114914,0.20293079316616058,0.5167270302772522
sentence-transformers/LaBSE,en,QM_minus_MQ,4,6.470479965209961,0.949624240398407,0.984053952614387,0.010924715209171895,0.014985014985014986,0.0589095801115036,0.020195093005895615,0.3336908519268036,0.099946990609169
