triple,mean_relative_jacobi_embedding_norm,std_relative_jacobi_embedding_norm,cells
NMT,0.30938794025809047,0.2651121992531925,49
NQM,0.4311008958260796,0.29484909619130956,49
NQT,0.8531744936543147,0.5029384745679589,49
QMT,0.3329751616249809,0.2259379054503531,49
