model,language,pair,basis_rank,commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NQ_minus_QN,4,0.7393409609794617,0.7549527287483215,0.9847472723978121,0.011001702010531886,0.000999000999000999,1.4716910123825073,0.09445590525865555,-0.6771348714828491,-0.2397894561290741
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NM_minus_MN,4,0.07190550863742828,0.7169227600097656,0.983795490284532,0.010743762862155394,0.000999000999000999,0.06804602593183517,-0.003596806200221181,-0.18161948025226593,0.03820391371846199
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,NT_minus_TN,4,0.5332817435264587,0.79991614818573,0.9847466210926975,0.010707042991533449,0.000999000999000999,-1.047322392463684,0.10488142818212509,-0.2115718573331833,0.8435080647468567
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,QM_minus_MQ,4,0.48232772946357727,0.8671112060546875,0.9835510212926861,0.012096084425035309,0.000999000999000999,-0.4310184717178345,-0.11341571062803268,0.46644899249076843,-0.1320946365594864
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,QT_minus_TQ,4,0.7113237380981445,0.9308238625526428,0.9847788155861991,0.01054908525142422,0.000999000999000999,-0.1476697474718094,-0.0730619952082634,0.9496148824691772,-0.2635677456855774
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,MT_minus_TM,4,0.06640085577964783,0.6193463206291199,0.9843064927955848,0.010597935593467086,0.000999000999000999,0.022384945303201675,-0.003738176543265581,0.146995410323143,-0.12052424252033234
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NQ_minus_QN,4,0.7027038335800171,0.8920784592628479,0.9844924190243494,0.010957893170359584,0.000999000999000999,0.16798420250415802,-0.08379320055246353,0.17150913178920746,-0.09896110743284225
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NM_minus_MN,4,0.14546525478363037,0.8738048672676086,0.983787020416586,0.011754773759783775,0.000999000999000999,0.014470795169472694,-0.02315869927406311,-0.15948240458965302,0.0011962890857830644
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,NT_minus_TN,4,1.3484927415847778,0.9392588138580322,0.9838283435821126,0.011161296085245834,0.005994005994005994,-0.14430619776248932,0.17099329829216003,0.8968650698661804,0.06299901753664017
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,QM_minus_MQ,4,0.6520847678184509,0.9602946639060974,0.9846586045403514,0.010904670634813166,0.03796203796203796,-0.02061520144343376,-0.05651185289025307,0.3631398677825928,-0.09639876335859299
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,QT_minus_TQ,4,0.7589465975761414,0.8433257341384888,0.983892810839287,0.010982649696236836,0.000999000999000999,-0.04794548451900482,-0.054216835647821426,0.995369017124176,-0.18182267248630524
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,MT_minus_TM,4,0.13562741875648499,0.9935259819030762,0.9841394155524685,0.011204442767593959,0.7992007992007992,0.0005676812143065035,0.011957081034779549,0.02070672996342182,-0.019031036645174026
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NQ_minus_QN,4,1.0034685134887695,0.8251945376396179,0.9846741366896071,0.01059414377844801,0.000999000999000999,0.16426998376846313,0.1383489966392517,-0.6334781050682068,-0.05708207190036774
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NM_minus_MN,4,0.14717747271060944,0.9355774521827698,0.9844281234472083,0.010494752077432098,0.000999000999000999,0.008937361650168896,-0.022244660183787346,-0.05181659758090973,-0.02177613601088524
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,NT_minus_TN,4,1.0937341451644897,0.9076583981513977,0.9846164436504445,0.010796643676200812,0.000999000999000999,0.15982982516288757,-0.28669503331184387,-0.22433917224407196,0.05123034864664078
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,QM_minus_MQ,4,0.6385406255722046,0.9097771048545837,0.9842670600258859,0.010912752846995985,0.000999000999000999,0.0030570675153285265,-0.17591169476509094,0.5763787031173706,0.03458300977945328
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,QT_minus_TQ,4,0.9992411136627197,0.7037089467048645,0.9842408515472054,0.010797348160625919,0.000999000999000999,-0.0050847576931118965,0.030118200927972794,1.0314511060714722,-0.4683700501918793
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,MT_minus_TM,4,0.12073054164648056,0.859745442867279,0.9840005817929552,0.011331356696716375,0.000999000999000999,0.007588802836835384,0.011157657019793987,0.08204010874032974,0.013537924736738205
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NQ_minus_QN,4,0.8681547045707703,0.8029910326004028,0.9844315114727256,0.010997615375666686,0.000999000999000999,0.18165162205696106,-0.1483077108860016,-0.8750559687614441,0.24934370815753937
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NM_minus_MN,4,0.2053062915802002,0.8525763154029846,0.9839987679133252,0.011893704452223536,0.000999000999000999,0.005489323753863573,0.0032200978603214025,-0.27677786350250244,-0.05136067420244217
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,NT_minus_TN,4,1.224698781967163,0.9261857271194458,0.9842926197708971,0.010721369780290608,0.001998001998001998,-0.23568443953990936,0.0941416546702385,-0.31102773547172546,0.25501763820648193
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,QM_minus_MQ,4,0.6164876222610474,0.9204860925674438,0.985016590994052,0.01040714198756803,0.000999000999000999,-0.030311932787299156,0.04411126673221588,0.41254669427871704,-0.2830263078212738
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,QT_minus_TQ,4,0.7496964931488037,0.8277433514595032,0.9837101492126217,0.011870123932781572,0.000999000999000999,0.015909701585769653,0.028773609548807144,0.6079663038253784,-0.6132935285568237
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,MT_minus_TM,4,0.15690822899341583,0.784757673740387,0.9836954825239307,0.011122412132657172,0.000999000999000999,-0.0032856313046067953,-0.0446280874311924,0.2548646628856659,0.04865154251456261
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NQ_minus_QN,4,0.833167552947998,0.834007740020752,0.9835802307298712,0.010646398740694714,0.000999000999000999,0.21105068922042847,-0.008729353547096252,0.010724831372499466,-0.26473599672317505
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NM_minus_MN,4,0.13431324064731598,0.8792788982391357,0.984070531805266,0.011511584782664864,0.000999000999000999,0.003053083783015609,0.0005129813216626644,-0.1793747991323471,-0.016954850405454636
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,NT_minus_TN,4,1.1989086866378784,0.9566815495491028,0.9834171903092767,0.011725737213559021,0.03896103896103896,-0.16533389687538147,0.012979086488485336,0.10821221768856049,0.03771467134356499
