model,language,pair,basis_rank,commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
BAAI/bge-m3,ar,NQ_minus_QN,4,9.710749626159668,0.8637501001358032,0.9846189386254,0.0104038511716267,0.0009990009990009,1.1296848058700562,0.0307330358773469,0.0467505119740963,-0.1545663475990295
BAAI/bge-m3,ar,NM_minus_MN,4,0.8484258651733398,0.607656717300415,0.9846771296772184,0.0108307370666577,0.0009990009990009,0.1476525068283081,-0.0114517770707607,-0.2310569584369659,-0.0111707113683223
BAAI/bge-m3,ar,NT_minus_TN,4,4.434253215789795,0.6875789761543274,0.9848886536636412,0.0108919436767498,0.0009990009990009,-1.2107106447219849,-0.0441027283668518,0.1330374330282211,1.2307112216949463
BAAI/bge-m3,ar,QM_minus_MQ,4,9.528058052062988,0.9131016731262208,0.9839974680649572,0.0114785148687715,0.0009990009990009,-0.3281141817569732,-0.1767259687185287,0.2776229381561279,-0.234380841255188
BAAI/bge-m3,ar,QT_minus_TQ,4,9.361886024475098,0.9903733134269714,0.98485134451039,0.0105957637231937,0.6363636363636364,-0.0615483708679676,-0.0519719272851944,0.1243283972144126,0.304900586605072
BAAI/bge-m3,ar,MT_minus_TM,4,0.7716629505157471,0.7126108407974243,0.9844619291415844,0.0105725598392624,0.0009990009990009,0.0419386141002178,-0.0025233821943402,0.1792368590831756,-0.1139460355043411
BAAI/bge-m3,de,NQ_minus_QN,4,6.14165735244751,0.751167356967926,0.9843086026390634,0.0112741632293232,0.0009990009990009,0.5003868937492371,-0.2169655263423919,-0.2776128649711609,0.1212623640894889
BAAI/bge-m3,de,NM_minus_MN,4,0.9362035393714904,0.9531001448631288,0.9839085617535768,0.0110407776440162,0.0249750249750249,0.0042122732847929,-0.0389936566352844,-0.0409424863755703,0.0127995144575834
BAAI/bge-m3,de,NT_minus_TN,4,7.242493629455566,0.9871071577072144,0.9838760969289784,0.011724607257209,0.5214785214785215,-0.0213732942938804,-0.027119968086481,0.1117121875286102,0.2321891486644745
BAAI/bge-m3,de,QM_minus_MQ,4,3.726171970367432,0.9325246810913086,0.98429674095375,0.011093150816267,0.0009990009990009,-0.0748345106840133,0.1000895053148269,0.1572224199771881,-0.2358318716287613
BAAI/bge-m3,de,QT_minus_TQ,4,5.201683044433594,0.8192225098609924,0.9838697092455762,0.0110830712924208,0.0009990009990009,0.0082153566181659,-0.2504816651344299,0.5667104125022888,-0.2761647999286651
BAAI/bge-m3,de,MT_minus_TM,4,0.9533315896987916,0.8868506550788879,0.9839176827668528,0.0111347049973389,0.0009990009990009,0.0153528815135359,-0.0051274667493999,0.0803361237049102,-0.0680684819817543
BAAI/bge-m3,en,NQ_minus_QN,4,8.44686222076416,0.7767458558082581,0.9837807173938096,0.0111206851264639,0.0009990009990009,0.5050429701805115,-0.1019908338785171,-0.4857309460639953,0.0070608644746243
BAAI/bge-m3,en,NM_minus_MN,4,0.5744252800941467,0.9739506840705872,0.9852361989840182,0.010283980845313,0.1378621378621378,0.0058274799957871,-0.0276188161224126,0.0069090225733816,0.0120788188651204
BAAI/bge-m3,en,NT_minus_TN,4,4.324385166168213,0.9030539989471436,0.9842506272906568,0.01063997368753,0.0009990009990009,0.0153236184269189,-0.1617010831832885,0.2357362955808639,0.351175457239151
BAAI/bge-m3,en,QM_minus_MQ,4,3.633877515792847,0.9812394380569458,0.984414989395994,0.0109010849732259,0.3146853146853147,-0.0600380823016166,0.1097347363829612,0.0488359853625297,-0.0437177829444408
BAAI/bge-m3,en,QT_minus_TQ,4,4.72793436050415,0.8210767507553101,0.9841670093074738,0.0111335737968862,0.0009990009990009,-0.075458787381649,0.0675021037459373,0.5280256271362305,-0.3983849883079529
BAAI/bge-m3,en,MT_minus_TM,4,0.691277265548706,0.985376238822937,0.9841457297369504,0.0116277137476598,0.4505494505494505,-0.0025242979172617,0.0067543047480285,0.0071695614606142,-0.0217338167130947
BAAI/bge-m3,es,NQ_minus_QN,4,8.927504539489746,0.7415005564689636,0.98428400255472,0.0109306535720688,0.0009990009990009,0.5271250605583191,-0.3793320655822754,-0.4925732016563415,0.6577489972114563
BAAI/bge-m3,es,NM_minus_MN,4,0.8259949684143066,0.9399617910385132,0.9844047592401342,0.0109778827966631,0.0069930069930069,0.003704136237502,-0.0203829649835824,-0.1015223339200019,0.0199532285332679
BAAI/bge-m3,es,NT_minus_TN,4,4.574987411499023,0.954105019569397,0.9841574059841598,0.0115756032279118,0.0299700299700299,-0.092825248837471,-0.047598373144865,-0.1275609731674194,0.3453066349029541
BAAI/bge-m3,es,QM_minus_MQ,4,3.9727418422698975,0.92164945602417,0.9846683605074114,0.0105804151810334,0.0009990009990009,-0.0194568559527397,0.1008623167872428,0.1929170042276382,-0.4314208924770355
BAAI/bge-m3,es,QT_minus_TQ,4,3.439061403274536,0.8917036652565002,0.9837346578968506,0.0111716527187541,0.0009990009990009,-0.0271155629307031,0.0191092193126678,0.3908906877040863,-0.3623247146606445
BAAI/bge-m3,es,MT_minus_TM,4,0.7932330369949341,0.8743391036987305,0.984449659548657,0.0116318067787875,0.0009990009990009,0.0014009914593771,-0.003878470044583,0.1411736905574798,-0.014728763140738
BAAI/bge-m3,fr,NQ_minus_QN,4,8.281314849853516,0.8025878071784973,0.9843323895563934,0.0106795384039465,0.0009990009990009,0.525885820388794,-0.1929011046886444,-0.6664454936981201,0.1246775984764099
BAAI/bge-m3,fr,NM_minus_MN,4,0.9175322651863098,0.8448670506477356,0.9837520106751274,0.0109279588192322,0.0009990009990009,0.0037476923316717,-0.0151458187028765,-0.1542844623327255,-0.0218452922999858
BAAI/bge-m3,fr,NT_minus_TN,4,5.294837474822998,0.9893462657928468,0.9842962629085612,0.01057626588789,0.6273726273726273,-0.0326799117028713,-0.0386197417974472,-0.0061121433973312,0.1999028474092483
BAAI/bge-m3,fr,QM_minus_MQ,4,3.775724887847901,0.9342623353004456,0.9843370801942942,0.0108793006080827,0.0029970029970029,-0.1105293035507202,0.0770165026187896,0.0264442525804042,-0.2245574444532394
BAAI/bge-m3,fr,QT_minus_TQ,4,4.4091901779174805,0.7885018587112427,0.9842673691347658,0.0109864642038239,0.0009990009990009,-0.0234930887818336,-0.046010784804821,0.4896271824836731,-0.5519077181816101
BAAI/bge-m3,fr,MT_minus_TM,4,0.7376450896263123,0.8278270959854126,0.9835588706056836,0.0117850230915096,0.0009990009990009,-0.0125812096521258,0.00011732904386,0.1138916760683059,-0.0585815459489822
BAAI/bge-m3,ru,NQ_minus_QN,4,12.16552734375,0.8843422532081604,0.984707363734262,0.0103482491156186,0.0009990009990009,0.7906169891357422,0.0235605482012033,-0.4499229788780212,0.2647514045238495
