pair,mean_closure_residual_ratio,std_closure_residual_ratio,mean_random_subspace_null,mean_empirical_p,cells
MT_minus_TM,0.7665731286515995,0.32539380115418903,0.9863781427396813,0.08919651776794625,49
NM_minus_MN,0.7715483624107984,0.3261889832938044,0.9865676954864901,0.057575077983241164,49
NQ_minus_QN,0.8530234609331403,0.06875503439901291,0.9841583967825458,0.010275438846867324,49
NT_minus_TN,0.8848732235480328,0.0776907703349514,0.9842199177075094,0.05294705294705286,49
QM_minus_MQ,0.9045256132982216,0.09778282906671605,0.9842571737585091,0.10352912393728714,49
QT_minus_TQ,0.8776752839283067,0.10389214914916073,0.9841915504674589,0.0773716079838528,49
