model,triple,mean_jacobi_norm,mean_relative_jacobi_norm,mean_null_relative_jacobi_norm,mean_jacobi_to_null_mean_ratio,mean_null_percentile_smaller_is_better,n,relative_jacobi_norm_ci95_low,relative_jacobi_norm_ci95_high,jacobi_to_null_mean_ratio_ci95_low,jacobi_to_null_mean_ratio_ci95_high
bert-base-uncased,NMT,5.2947073698043825,0.3047995591163635,0.39452137390807274,0.7749509760021874,0.35222000000000003,100,0.3004615200012922,0.309027392283082,0.7669240959949565,0.7828908468832236
bert-base-uncased,NQM,5.061222896575928,0.2694838209450245,0.31264342929169536,0.8627643067692397,0.38496,100,0.265985088147223,0.2727436354830861,0.8532712880727393,0.8720378144425021
bert-base-uncased,NQT,6.87855176448822,0.3719332218170166,0.333167067797333,1.1169610533865588,0.7005199999999999,100,0.3674437910616398,0.37625285612046716,1.1082129210830634,1.125851363496137
bert-base-uncased,QMT,5.0572021961212155,0.2759958429634571,0.403565388853997,0.6832512468759756,0.10179,100,0.2711552347801626,0.28065715067461133,0.6772826811301476,0.68918151349229
distilroberta-base,NMT,2.7801567459106447,0.35215878158807756,0.31057158070772883,1.1338063323163192,0.70655,100,0.3484942191913724,0.3557863661944866,1.12760002751883,1.1403849565213382
distilroberta-base,NQM,2.242960374355316,0.284676174223423,0.2629646067637205,1.0820986013479297,0.77767,100,0.2808989278003573,0.2882239188849926,1.0735386888968266,1.0913581966215222
distilroberta-base,NQT,2.2167600548267363,0.27768062949180605,0.2570105887332559,1.0803364198514083,0.62741,100,0.2751994252577424,0.2801593257859349,1.0765429773946247,1.0841021901581422
distilroberta-base,QMT,1.4034644281864166,0.18494781970977783,0.29310956292793156,0.6310591818947429,0.09965,100,0.18324766540154813,0.18657619233056902,0.6267086305912333,0.6356357016077205
roberta-base,NMT,3.3788479018211364,0.43151293575763705,0.34446635347247123,1.253230229183155,0.80568,100,0.42550575553625825,0.43709957544505595,1.2423457556740554,1.2637091555069644
roberta-base,NQM,2.326592981815338,0.3122226333618164,0.3185739172530174,0.9799036871741716,0.64747,100,0.30855857787281277,0.315834691978991,0.9742599435545308,0.9852863243754404
roberta-base,NQT,2.6094740557670595,0.3451836594939232,0.3196102274416387,1.0804574558053044,0.7059099999999999,100,0.34129725260287525,0.34895854004472493,1.0738784295130424,1.0870612747549524
roberta-base,QMT,1.6524436497688293,0.2190444999933243,0.3516383836345375,0.6229395292745867,0.10134,100,0.2159794933833182,0.22221447724103927,0.6168327856764887,0.6287441766272315
