model,language,mean_adjacent_norm,std_adjacent_norm_across_steps,cv_adjacent_norm_across_steps,cos_hate_dislike_to_dislike_neutral,cos_dislike_neutral_to_neutral_like,cos_neutral_like_to_like_love,cos_hate_dislike_to_neutral_like,cos_dislike_neutral_to_like_love
BAAI/bge-m3,ar,7.74968957901001,0.7425933480262756,0.0958223342895507,-0.2180885225534439,-0.9860804677009584,-0.2565349042415619,0.2076708525419235,0.2623807191848755
BAAI/bge-m3,de,8.237993240356445,3.1056058406829834,0.3769857287406921,-0.3519116342067718,-0.4864743649959564,0.15147365629673,0.1971576511859893,0.0093536814674735
BAAI/bge-m3,en,7.967582702636719,4.577848434448242,0.5745592713356018,-0.0517810061573982,-0.5423448085784912,0.1169356107711792,0.1112094521522522,0.0001896244939416
BAAI/bge-m3,es,8.856992721557617,3.3697350025177,0.3804604113101959,-0.1305481195449829,-0.5472757816314697,-0.1009175926446914,-0.003782388055697,-0.0026736822910606
BAAI/bge-m3,fr,8.925766944885254,4.380547046661377,0.4907754361629486,-0.3869270086288452,-0.5687093734741211,-0.1376962661743164,0.2599475681781769,0.1221172139048576
BAAI/bge-m3,ru,8.042959213256836,1.0477018356323242,0.1302632242441177,-0.1496752053499221,-0.3167738020420074,-0.4426632523536682,-0.1655115783214569,-0.1748486459255218
BAAI/bge-m3,zh,6.928506374359131,0.6073586344718933,0.0876608341932296,-0.4499717354774475,-0.9170387983322144,-0.4827513992786407,0.4009523689746856,0.4050601124763489
bert-base-multilingual-cased,ar,4.167724132537842,0.4908096492290497,0.1177644282579422,-0.5482247471809387,-0.8870450854301453,-0.5421009063720703,0.2369918078184127,0.5961969494819641
bert-base-multilingual-cased,de,4.771750926971436,1.01494300365448,0.2126982361078262,-0.3616586327552795,-0.8675336837768555,-0.3289013504981994,0.0717337355017662,0.157126635313034
bert-base-multilingual-cased,en,4.411756992340088,1.1483227014541626,0.2602869272232055,-0.1578941196203231,-0.7978752851486206,-0.1221278831362724,-0.1150701940059661,-0.0731102377176284
bert-base-multilingual-cased,es,4.356970310211182,0.7140721082687378,0.1638918966054916,-0.5342149138450623,-0.8632173538208008,-0.321856826543808,0.3155220448970794,0.270446240901947
bert-base-multilingual-cased,fr,5.0769124031066895,0.965387523174286,0.1901524811983108,-0.5960813760757446,-0.8606746792793274,-0.404571384191513,0.3532426357269287,0.3313491642475128
bert-base-multilingual-cased,ru,3.9215080738067623,0.3535545468330383,0.0901577994227409,-0.5359477400779724,-0.4778975248336792,-0.5380622744560242,-0.0075951470062136,-0.1385397762060165
bert-base-multilingual-cased,zh,4.448859214782715,0.47458016872406,0.1066745743155479,-0.6222581267356873,-0.8344969749450684,-0.6696993708610535,0.2147103697061538,0.5963318943977356
distilbert-base-multilingual-cased,ar,2.4680771827697754,0.3556102514266968,0.1440839320421219,-0.519684910774231,-0.8888339400291443,-0.54763263463974,0.2103930115699768,0.458181083202362
distilbert-base-multilingual-cased,de,3.113198518753052,0.524787425994873,0.1685685664415359,-0.4681363403797149,-0.8447164297103882,-0.3135856688022613,0.1782512962818145,0.1874083280563354
