model,language,mean_adjacent_norm,std_adjacent_norm_across_steps,cv_adjacent_norm_across_steps,cos_hate_dislike_to_dislike_neutral,cos_dislike_neutral_to_neutral_like,cos_neutral_like_to_like_love,cos_hate_dislike_to_neutral_like,cos_dislike_neutral_to_like_love
xlm-roberta-base,ar,0.7115925550460815,0.07870084792375565,0.11059819161891937,-0.4252268373966217,-0.9497765898704529,-0.4089623689651489,0.2797992527484894,0.4699519872665405
xlm-roberta-base,de,0.9600728750228882,0.23379342257976532,0.24351632595062256,-0.2615644037723541,-0.953368604183197,-0.5550506711006165,0.10067007690668106,0.5447955131530762
xlm-roberta-base,en,0.642175555229187,0.2717968821525574,0.4232438802719116,0.14367106556892395,-0.8733581900596619,-0.04698581248521805,-0.4551093280315399,0.02633661963045597
xlm-roberta-base,es,0.7262610793113708,0.23790033161640167,0.3275686204433441,-0.15882880985736847,-0.8791515231132507,-0.032695118337869644,-0.08274493366479874,0.046470969915390015
xlm-roberta-base,fr,0.8649805188179016,0.2469479739665985,0.28549543023109436,-0.1868387907743454,-0.7272841930389404,-0.045210257172584534,-0.3052041828632355,0.004695365205407143
xlm-roberta-base,ru,0.6625264883041382,0.07156059145927429,0.10801167041063309,-0.6220785975456238,-0.6434929966926575,-0.2868175208568573,0.12869231402873993,-0.06589502096176147
xlm-roberta-base,zh,0.8539525866508484,0.1401861608028412,0.1641615331172943,-0.5775724649429321,-0.8708839416503906,-0.6387966871261597,0.27992627024650574,0.5575883388519287
